ensg,gene,n_reg,coef_beta,se_beta,p_beta,signed_log10p,fdr
ENSG00000142892,PIGK,10843,0.04035695347180126,0.009544525871754863,2.3741400022577293e-05,4.624493674423042,0.24410907503213972
ENSG00000171757,LRRC34,10844,0.03827668153345982,0.009541885633099306,6.0755261857979504e-05,4.216416102965457,0.31234280121187263
ENSG00000185000,DGAT1,10843,0.036699281495368816,0.009543724442529647,0.00012105263254487811,3.9170257614698145,0.41488772260881224
ENSG00000122694,GLIPR2,10843,0.03532316049549456,0.009547426493930394,0.0002168732469836027,3.66379401831312,0.4459781450970806
ENSG00000123684,LPGAT1,10843,0.03323637755318349,0.009545535982368144,0.0004998751463726877,3.301138455688947,0.48663486487864277
ENSG00000164483,SAMD3,10843,0.033157643421382915,0.009552868420278403,0.000520616953283901,3.283481693703218,0.48663486487864277
ENSG00000198890,PRMT6,10843,0.03244456056041289,0.009544372924638346,0.000677922957086538,3.168819658955009,0.5808669870636487
ENSG00000085365,SCAMP1,10843,0.031799475566011134,0.009544119717535554,0.0008656252724294677,3.0626700725743357,0.6282858269448935
ENSG00000176783,RUFY1,10843,0.03023877455422583,0.009546949497035688,0.001542481816953236,2.81177994680423,0.6282858269448935
ENSG00000186654,PRR5,10843,0.030225680213600656,0.009546673887598908,0.0015492801976397423,2.809870030088405,0.6282858269448935
ENSG00000173264,GPR137,10843,0.029850722005690236,0.009544887542522923,0.00176824076795646,2.752458600705452,0.6282858269448935
ENSG00000080603,SRCAP,10843,0.029566173215984096,0.009545123508183226,0.0019564850379678355,2.708523468976106,0.6282858269448935
ENSG00000126247,CAPNS1,10843,0.029286671414665545,0.009545128056041345,0.0021586046257529904,2.66582689660883,0.6282858269448935
ENSG00000181830,SLC35C1,10843,0.029230870432354734,0.009544744568714904,0.0022002751424061644,2.657523007651799,0.6282858269448935
ENSG00000005436,GCFC2,10843,0.02917150284805908,0.009551949579771844,0.002263718639905102,2.6451775530712607,0.6282858269448935
ENSG00000107281,NPDC1,10843,0.02900365158481732,0.009545640003923038,0.002383895136613125,2.6227128523680037,0.6282858269448935
ENSG00000140939,NOL3,10843,0.028929221600509064,0.009544841902613881,0.0024442164051542248,2.611860345318325,0.6282858269448935
ENSG00000064547,LPAR2,10843,0.02863261632059052,0.009545333229984325,0.0027090803267423654,2.5671781175420403,0.6424680999829876
ENSG00000125249,RAP2A,10843,0.028488629899585147,0.00954475265041251,0.002844502235466613,2.5459937205882706,0.6424680999829876
ENSG00000100106,TRIOBP,10844,0.028187459418645856,0.00955303625175028,0.0031780667296954414,2.4978369881751283,0.6424680999829876
ENSG00000112357,PEX7,10843,0.028157400352497856,0.009545569104504426,0.00318672175638323,2.496655854613088,0.6424680999829876
ENSG00000142197,DOP1B,10843,0.028100957269234537,0.009546308767083586,0.0032505838278865614,2.48803862964938,0.6427404407371081
ENSG00000156509,FBXO43,10843,0.027984143212417472,0.009550074805070584,0.0033939176583977736,2.4692986985349243,0.6432111496321061
ENSG00000197417,SHPK,10843,0.027859832510738373,0.009545217782774503,0.0035219282310520166,2.4532194982198647,0.6432111496321061
ENSG00000080845,DLGAP4,10843,0.02775410535613927,0.009546031879914913,0.0036518917353125556,2.4374821061249508,0.6432111496321061
