gene,kNN_max_score,nearest_fda_target,FDA_drugs_targeting_nearest_gene,is_fda_target,n_downstream_z3,culture_condition
PTPRC,0.7613784074783325,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1287,Stim8hr
MTA3,0.75270676612854,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,707,Stim8hr
UBE2E2,0.7466073036193848,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,953,Stim8hr
CARMIL2,0.7346684336662292,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1355,Stim8hr
APPL2,0.7168781161308289,CD3D,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,395,Stim8hr
ARHGAP27,0.7162620425224304,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,628,Stim8hr
NDFIP2,0.6744981408119202,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,533,Stim8hr
HACD4,0.6657058000564575,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,429,Stim8hr
XRRA1,0.6646379828453064,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1245,Stim8hr
MALT1,0.6542553901672363,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,879,Stim8hr
BCL10,0.6458469033241272,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,2057,Stim8hr
ZNF790,0.6308071613311768,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,270,Stim8hr
UBL7,0.6259490847587585,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,294,Stim8hr
CD28,0.6174976825714111,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,806,Stim8hr
EFR3A,0.6152898669242859,CD3D,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,1240,Stim8hr
NATD1,0.6058785915374756,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,510,Stim8hr
KIF16B,0.6022002100944519,CD3D,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,339,Stim8hr
MTMR3,0.6019002199172974,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,708,Stim8hr
TENT2,0.6017186641693115,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,728,Stim8hr
NCAPG2,0.595577597618103,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,924,Stim8hr
DEF8,0.5954018235206604,AHR,TAPINAROF,False,177,Stim8hr
SENP5,0.5926322937011719,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,3295,Stim8hr
PRDX4,0.5845166444778442,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,114,Stim8hr
EIF1AX,0.5765281915664673,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1445,Stim8hr
ORAI1,0.5742663741111755,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,787,Stim8hr
ATF7IP2,0.5738531351089478,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1466,Stim8hr
CCDC138,0.5674446225166321,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,571,Stim8hr
CAMSAP1,0.5566073656082153,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,554,Stim8hr
RWDD2B,0.5548847913742065,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,432,Stim8hr
MED12,0.5522308349609375,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,2619,Stim8hr
SLC7A6,0.5500152707099915,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,254,Stim8hr
SNAP29,0.5468612313270569,CD3D,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,369,Stim8hr
THAP12,0.5457438230514526,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,773,Stim8hr
TADA2B,0.5412947535514832,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,4080,Stim8hr
TMED9,0.535936176776886,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1486,Stim8hr
RBM33,0.5351366400718689,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,534,Stim8hr
RNF19B,0.5325901508331299,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,357,Stim8hr
WAS,0.5317103266716003,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,354,Stim8hr
MOSPD2,0.5278553366661072,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,991,Stim8hr
KCTD21,0.5260190963745117,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,353,Stim8hr
TAF6L,0.5252094864845276,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,2917,Stim8hr
DOLPP1,0.5226406455039978,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1522,Stim8hr
DDX60L,0.5181052684783936,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,206,Stim8hr
RELL2,0.5176697373390198,HDAC3,BELINOSTAT; ENTINOSTAT; GIVINOSTAT; GIVINOSTAT HYDROCHLORIDE; PANOBINOSTAT; PANOBINOSTAT LACTATE; ROMIDEPSIN; VORINOSTAT,False,462,Stim8hr
MED19,0.5124219655990601,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,2187,Stim8hr
UBIAD1,0.5116769671440125,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,172,Stim8hr
GALK2,0.5095057487487793,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,206,Stim8hr
ARID4B,0.5076509118080139,CD3D,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,242,Stim8hr
STX16,0.5046041011810303,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,663,Stim8hr
STIP1,0.5031397342681885,AHR,TAPINAROF,False,566,Stim8hr
COG6,0.5004669427871704,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,670,Stim8hr
SUPT20H,0.4986827671527862,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,2427,Stim8hr
TESPA1,0.4955617785453796,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1030,Stim8hr
MEST,0.4935978055000305,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,459,Stim8hr
LRIG1,0.492595762014389,LCK,DASATINIB ANHYDROUS; PAZOPANIB; PAZOPANIB HYDROCHLORIDE,False,165,Stim8hr
CD274,0.4902504980564117,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,True,219,Stim8hr
