gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
VAV1,0.7769622802734375,ITK,False,2158,Stim48hr
ZAP70,0.7562594413757324,CD3E,False,1593,Stim48hr
PLCG1,0.7535853385925293,CD3E,False,1326,Stim48hr
LAT,0.751605212688446,CD3G,False,1911,Stim48hr
TMX1,0.7175703048706055,ITK,False,1070,Stim48hr
BCL10,0.6842515468597412,ITK,False,1655,Stim48hr
GRSF1,0.68353271484375,NDUFAF3,False,913,Stim48hr
MTG1,0.6824256181716919,NDUFAF3,False,1035,Stim48hr
CD28,0.6804859042167664,ITK,False,926,Stim48hr
CARMIL2,0.6799432039260864,ITK,False,1017,Stim48hr
CD3G,0.6775830984115601,CD3E,True,886,Stim48hr
CD3E,0.6775830984115601,CD3G,True,1021,Stim48hr
PTPRC,0.6767808794975281,ITK,False,1882,Stim48hr
MALT1,0.6539227366447449,ITK,False,764,Stim48hr
ITK,0.6531534194946289,CD3G,True,1412,Stim48hr
GTPBP10,0.6511008739471436,NDUFAF3,False,553,Stim48hr
NDUFAF3,0.6504268646240234,NDUFA8,True,995,Stim48hr
NDUFA8,0.6504268646240234,NDUFAF3,True,602,Stim48hr
MIPEP,0.6416715383529663,NDUFAF3,False,1172,Stim48hr
RPUSD3,0.6385691165924072,NDUFAF3,False,656,Stim48hr
RCC1L,0.6243681907653809,NDUFAF3,False,635,Stim48hr
NPC2,0.623896062374115,NDUFA8,False,1404,Stim48hr
TFAM,0.6229690313339233,NDUFAF3,False,1711,Stim48hr
ANKRD61,0.6211462020874023,ITK,False,594,Stim48hr
CD247,0.6185084581375122,CD3G,False,569,Stim48hr
POLG,0.6087628602981567,NDUFAF3,False,877,Stim48hr
CALCOCO2,0.6068853139877319,CD3E,False,392,Stim48hr
ISCA2,0.6027844548225403,NDUFA8,False,826,Stim48hr
NUBPL,0.6023585200309753,NDUFAF3,False,298,Stim48hr
ACAD9,0.6019386053085327,NDUFAF3,False,386,Stim48hr
CLCC1,0.5925908088684082,ITK,False,902,Stim48hr
LCK,0.5886335372924805,CD3G,True,596,Stim48hr
LIG3,0.5862928032875061,NDUFAF3,False,626,Stim48hr
RTN4IP1,0.5844483375549316,NDUFAF3,False,452,Stim48hr
TFB1M,0.5807582139968872,NDUFAF3,False,494,Stim48hr
PTCD2,0.5752183794975281,NDUFAF3,False,436,Stim48hr
TMEM140,0.5742728114128113,ITK,False,230,Stim48hr
MCAT,0.5728365182876587,NDUFAF3,False,446,Stim48hr
NDUFS8,0.5727114081382751,NDUFA8,True,549,Stim48hr
NDUFA6,0.5683835744857788,NDUFAF3,True,219,Stim48hr
MTIF2,0.5666473507881165,NDUFAF3,False,253,Stim48hr
NSUN4,0.5641902685165405,NDUFAF3,False,578,Stim48hr
ATP5PO,0.5638486742973328,NDUFAF3,False,622,Stim48hr
LRP5,0.5637363195419312,ITK,False,273,Stim48hr
TRUB2,0.5635619759559631,NDUFAF3,False,206,Stim48hr
DNAJC8,0.5631638765335083,ITK,False,976,Stim48hr
NDUFA9,0.557200014591217,NDUFAF3,True,340,Stim48hr
NDUFB6,0.5558815002441406,NDUFAF3,True,181,Stim48hr
TWNK,0.5543416142463684,NDUFAF3,False,456,Stim48hr
LRPPRC,0.5532498359680176,NDUFAF3,False,1093,Stim48hr
ATP5MF,0.553187906742096,NDUFAF3,False,421,Stim48hr
IBA57,0.5526733994483948,NDUFA8,False,572,Stim48hr
CARS2,0.547956645488739,NDUFAF3,False,605,Stim48hr
ZNF649,0.5473583340644836,INSR,False,623,Stim48hr
FAM118B,0.5472787618637085,NDUFAF3,False,263,Stim48hr
OXA1L,0.5459029674530029,NDUFAF3,False,874,Stim48hr
NDUFS5,0.5446250438690186,NDUFAF3,True,255,Stim48hr
SIK3,0.5422360301017761,ITK,False,971,Stim48hr
CYB5RL,0.5410197973251343,NDUFAF3,False,307,Stim48hr
RNASEH1,0.5407257676124573,NDUFAF3,False,414,Stim48hr
CD2,0.5375123620033264,ITK,True,576,Stim48hr
ATP5F1A,0.5361640453338623,ITK,False,559,Stim48hr
HS3ST3B1,0.5356868505477905,ITK,False,224,Stim48hr
NUDCD1,0.5345412492752075,ITK,False,1115,Stim48hr
NKAPD1,0.5344797372817993,ITK,False,483,Stim48hr
PMVK,0.5317246317863464,NDUFAF3,False,2155,Stim48hr
DOLPP1,0.5316874384880066,ITK,False,750,Stim48hr
LRBA,0.5313912034034729,CD3E,False,243,Stim48hr
TSFM,0.5305654406547546,NDUFAF3,False,307,Stim48hr
ATP5ME,0.5304479598999023,NDUFAF3,False,439,Stim48hr
STAT6,0.5298922061920166,IL4R,False,706,Stim48hr
VPS33B,0.5296412110328674,ITK,False,175,Stim48hr
GATB,0.5287231206893921,NDUFAF3,False,268,Stim48hr
AURKAIP1,0.527842104434967,NDUFAF3,False,118,Stim48hr
UBE2V2,0.5275923609733582,RXRB,False,686,Stim48hr
KAT2B,0.5262582898139954,ITK,False,150,Stim48hr
DCAF4,0.523534893989563,ITK,False,164,Stim48hr
NCAPG2,0.5230646729469299,ITK,False,647,Stim48hr
GAS2L1,0.5215541124343872,NDUFAF3,False,333,Stim48hr
MOV10,0.5198554396629333,RXRB,False,742,Stim48hr
PLEKHG1,0.5194143652915955,NDUFAF3,False,370,Stim48hr
EML2,0.5158695578575134,ITK,False,294,Stim48hr
PEX5,0.5155022740364075,ITK,False,230,Stim48hr
NDUFAF6,0.5151984691619873,NDUFAF3,False,142,Stim48hr
COX18,0.5147243738174438,NDUFAF3,False,310,Stim48hr
RBM10,0.5145378708839417,NDUFAF3,False,771,Stim48hr
WARS2,0.5139683485031128,NDUFAF3,False,556,Stim48hr
CTPS2,0.5137754082679749,ITK,False,70,Stim48hr
TBC1D10C,0.5117456316947937,ITK,False,101,Stim48hr
NDUFB2,0.511201024055481,NDUFA8,True,195,Stim48hr
PDCD5,0.5111202001571655,ITK,False,510,Stim48hr
NDUFC1,0.5088332295417786,NDUFAF3,True,207,Stim48hr
TMEM263,0.5059115290641785,ITK,False,221,Stim48hr
PPP3R1,0.5052986741065979,ITK,False,377,Stim48hr
MRM2,0.503636360168457,NDUFAF3,False,116,Stim48hr
ATP5F1E,0.5032249093055725,NDUFAF3,False,289,Stim48hr
NGRN,0.5030529499053955,NDUFAF3,False,218,Stim48hr
QRSL1,0.5019171833992004,NDUFAF3,False,241,Stim48hr
CAMSAP1,0.5002915263175964,ITK,False,375,Stim48hr
PARK7,0.49970075488090515,INSR,False,186,Stim48hr
PITRM1,0.4993024170398712,NDUFA8,False,481,Stim48hr
SENP5,0.49857303500175476,CD274,False,1597,Stim48hr
NDFIP2,0.4967763125896454,ITK,False,168,Stim48hr
SLIRP,0.495450496673584,NDUFAF3,False,143,Stim48hr
KNOP1,0.4952065348625183,ITK,False,133,Stim48hr
MITD1,0.4948509633541107,NDUFAF3,False,253,Stim48hr
NFU1,0.4947526752948761,NDUFAF3,False,256,Stim48hr
COQ6,0.4941234290599823,NDUFAF3,False,459,Stim48hr
SND1,0.49368393421173096,ITK,False,271,Stim48hr
PKN3,0.4919951558113098,ITK,False,174,Stim48hr
ECSIT,0.49102964997291565,NDUFAF3,False,440,Stim48hr
BCAT2,0.4909355342388153,CD3E,False,294,Stim48hr
RBFA,0.48984795808792114,NDUFAF3,False,693,Stim48hr
FARS2,0.4889458119869232,NDUFAF3,False,320,Stim48hr
HTT,0.4883212149143219,ITK,False,200,Stim48hr
MTCH2,0.4880589544773102,CD3E,False,484,Stim48hr
GNE,0.4880184829235077,ITK,False,273,Stim48hr
OAZ3,0.48736482858657837,NDUFAF3,False,200,Stim48hr
WDR54,0.4867895245552063,CD2,False,237,Stim48hr
NDUFB9,0.4863976538181305,NDUFAF3,True,196,Stim48hr
NDUFAF4,0.4856513440608978,NDUFAF3,True,100,Stim48hr
DOP1B,0.48562461137771606,RXRB,False,1675,Stim48hr
STIP1,0.4839745759963989,AHR,False,820,Stim48hr
CNOT6L,0.4838634729385376,ITK,False,152,Stim48hr
C2orf15,0.483401358127594,NDUFAF3,False,266,Stim48hr
UBIAD1,0.4804131090641022,ITK,False,168,Stim48hr
TPGS2,0.4796965718269348,ITK,False,254,Stim48hr
SHMT1,0.4795406460762024,ITK,False,90,Stim48hr
FITM2,0.4787267744541168,CD3G,False,314,Stim48hr
MRC2,0.47849953174591064,CD3E,False,803,Stim48hr
DHX30,0.47762417793273926,NDUFAF3,False,251,Stim48hr
RAC2,0.4776145815849304,ITK,False,571,Stim48hr
PDSS2,0.4768538475036621,NDUFAF3,False,837,Stim48hr
PARL,0.47677335143089294,ITK,False,240,Stim48hr
NDUFB4,0.4757866859436035,NDUFA8,True,234,Stim48hr
ATF7IP2,0.4749886989593506,CD3E,False,815,Stim48hr
GADD45GIP1,0.47423484921455383,NDUFAF3,False,350,Stim48hr
INSIG1,0.4737582206726074,RXRB,False,442,Stim48hr
TPRG1L,0.47363319993019104,ITK,False,105,Stim48hr
MEN1,0.4735836982727051,ITK,False,1271,Stim48hr
RMDN3,0.4729814827442169,NDUFAF3,False,155,Stim48hr
EIF1,0.4718594551086426,ITK,False,373,Stim48hr
CSF2,0.4706251323223114,ITK,False,141,Stim48hr
MTPAP,0.4684365689754486,NDUFA8,False,502,Stim48hr
POLG2,0.4683035910129547,NDUFA8,False,417,Stim48hr
ITPRIPL2,0.46679815649986267,ITK,False,88,Stim48hr
DOCK2,0.46630969643592834,NDUFAF3,False,432,Stim48hr
CMTM6,0.4662931561470032,ITK,False,73,Stim48hr
NIPSNAP1,0.4662203788757324,ITK,False,62,Stim48hr
AHSA1,0.46450725197792053,RXRB,False,91,Stim48hr
AASDH,0.46331802010536194,ITK,False,125,Stim48hr
LHPP,0.4631144404411316,ITK,False,93,Stim48hr
RTKN2,0.46226221323013306,RXRB,False,165,Stim48hr
SENP1,0.4622619152069092,ITK,False,298,Stim48hr
PARS2,0.4621897041797638,NDUFAF3,False,390,Stim48hr
DEF6,0.4617948830127716,ITK,False,154,Stim48hr
CDC25C,0.4614444971084595,ITK,False,78,Stim48hr
HACD4,0.4614371955394745,ITK,False,70,Stim48hr
NDUFV1,0.46121591329574585,NDUFAF3,True,124,Stim48hr
NDUFV2,0.46109119057655334,NDUFAF3,True,100,Stim48hr
MLYCD,0.46050170063972473,ITK,False,365,Stim48hr
RIDA,0.46027642488479614,CD3E,False,402,Stim48hr
MAF,0.45985379815101624,ITK,False,166,Stim48hr
H2AJ,0.45800018310546875,INSR,False,165,Stim48hr
COQ10B,0.457562655210495,ITK,False,118,Stim48hr
DOT1L,0.45745572447776794,ITK,False,363,Stim48hr
STX16,0.4569145739078522,PSMB9,False,403,Stim48hr
LAMTOR2,0.4565707743167877,CD3E,False,1201,Stim48hr
ZNF160,0.4564874768257141,INSR,False,106,Stim48hr
BCS1L,0.45557254552841187,IMPDH2,False,825,Stim48hr
CHTF18,0.4550956189632416,NDUFAF3,False,503,Stim48hr
RNF19B,0.4549456238746643,ITK,False,179,Stim48hr
EXT1,0.4532625675201416,ITK,False,83,Stim48hr
STRIP2,0.45261821150779724,ITK,False,85,Stim48hr
NOA1,0.4523123502731323,NDUFAF3,False,137,Stim48hr
N4BP3,0.45199477672576904,RXRB,False,141,Stim48hr
NR1H2,0.45174962282180786,ITK,False,86,Stim48hr
FAM98B,0.4511790871620178,CD3E,False,792,Stim48hr
G6PC3,0.45108264684677124,ITK,False,87,Stim48hr
TEFM,0.4509223401546478,NDUFAF3,False,158,Stim48hr
CRLS1,0.4504964053630829,ITK,False,493,Stim48hr
ATAD3A,0.44994625449180603,NDUFAF3,False,427,Stim48hr
ZSCAN32,0.44963282346725464,ITK,False,116,Stim48hr
MED12,0.44912391901016235,PSMB9,False,1277,Stim48hr
TM2D1,0.4487619996070862,RXRB,False,593,Stim48hr
OTUD7B,0.4483821392059326,ITK,False,81,Stim48hr
VEZT,0.4480423927307129,CD3E,False,261,Stim48hr
LCP1,0.4474870562553406,NDUFAF3,False,112,Stim48hr
NRBP1,0.4467821419239044,RXRB,False,449,Stim48hr
CTSO,0.446740984916687,ITK,False,180,Stim48hr
STAT5B,0.44651544094085693,IL2RB,False,656,Stim48hr
ROBO3,0.44628939032554626,ITK,False,135,Stim48hr
ARHGAP30,0.446068674325943,RRM2B,False,740,Stim48hr
NDUFS2,0.4460674524307251,NDUFAF3,True,169,Stim48hr
FAM161B,0.4459967017173767,NDUFAF3,False,202,Stim48hr
NADK2,0.44593632221221924,ITK,False,175,Stim48hr
RUFY1,0.44508564472198486,ITK,False,119,Stim48hr
