gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
SYNJ1,0.4450395107269287,NDUFAF3,False,60,Stim48hr
METTL1,0.4449855089187622,CD3E,False,733,Stim48hr
VARS2,0.44495391845703125,NDUFA8,False,664,Stim48hr
CYB5R4,0.4444696307182312,CD3E,False,633,Stim48hr
COLGALT1,0.44397592544555664,ITK,False,257,Stim48hr
CUL4A,0.44390469789505005,ITK,True,156,Stim48hr
RRAGA,0.44303569197654724,ITK,False,961,Stim48hr
STYXL1,0.442897766828537,NDUFAF3,False,392,Stim48hr
MYO9A,0.4426127076148987,ITK,False,357,Stim48hr
STARD5,0.4417056441307068,ITK,False,68,Stim48hr
GCFC2,0.4403740167617798,RXRB,False,112,Stim48hr
PRKCQ,0.4403691291809082,CD3E,True,187,Stim48hr
TIMMDC1,0.43920883536338806,NDUFAF3,False,186,Stim48hr
HMBS,0.43879085779190063,NDUFAF3,False,448,Stim48hr
TENT2,0.4382152259349823,ITK,False,162,Stim48hr
RAB21,0.4381856918334961,INSR,False,188,Stim48hr
AIFM1,0.4381260871887207,NDUFA8,False,598,Stim48hr
TNRC6A,0.43811526894569397,ITK,False,811,Stim48hr
TMEM44,0.4380226135253906,ITK,False,171,Stim48hr
RNFT1,0.43760648369789124,ITK,False,194,Stim48hr
IFT172,0.4371878504753113,INSR,False,185,Stim48hr
RASAL3,0.4371316134929657,NDUFAF3,False,486,Stim48hr
KIF14,0.43681496381759644,ITK,False,137,Stim48hr
FNDC3B,0.4365691840648651,NDUFAF3,False,70,Stim48hr
FCHO1,0.4362665116786957,CD3E,False,227,Stim48hr
XRRA1,0.43607059121131897,ITK,False,129,Stim48hr
ADPRM,0.4357590973377228,NDUFAF3,False,345,Stim48hr
EARS2,0.43559545278549194,NDUFAF3,False,318,Stim48hr
ALG8,0.4354022145271301,ITK,False,435,Stim48hr
TSPYL2,0.43518081307411194,ITK,False,92,Stim48hr
TARS2,0.4350801408290863,NDUFAF3,False,504,Stim48hr
DMAC2,0.43503010272979736,NDUFAF3,False,75,Stim48hr
MTERF3,0.4348917007446289,NDUFAF3,False,335,Stim48hr
NIPBL,0.4348682165145874,RXRB,False,379,Stim48hr
COG6,0.43466058373451233,ITK,False,438,Stim48hr
ITPR1,0.4345148503780365,RXRB,False,230,Stim48hr
SLC25A26,0.43442535400390625,NDUFAF3,False,238,Stim48hr
RXRB,0.43438097834587097,INSR,True,311,Stim48hr
INSR,0.43438097834587097,RXRB,True,310,Stim48hr
FN3K,0.43414977192878723,RXRB,False,201,Stim48hr
RAD50,0.4338734745979309,INSR,False,489,Stim48hr
TFB2M,0.43366965651512146,NDUFAF3,False,76,Stim48hr
CCNC,0.43249449133872986,CD274,False,2383,Stim48hr
ELOF1,0.43221423029899597,ITK,False,2536,Stim48hr
MTRF1L,0.43213433027267456,NDUFAF3,False,116,Stim48hr
CATSPERG,0.432124525308609,NDUFA8,False,244,Stim48hr
RPE,0.4318901598453522,CD3E,False,284,Stim48hr
PFKM,0.4311908185482025,ITK,False,63,Stim48hr
DAPK2,0.43099161982536316,RXRB,False,260,Stim48hr
UBR4,0.43023380637168884,ITK,False,355,Stim48hr
FTL,0.4299505352973938,ITK,False,21,Stim48hr
HCCS,0.4298222064971924,IMPDH2,False,764,Stim48hr
WWP2,0.42941462993621826,ITK,False,62,Stim48hr
LRRC8A,0.4292494058609009,RXRB,False,347,Stim48hr
TBRG1,0.42876437306404114,ITK,False,146,Stim48hr
STAT4,0.4286440908908844,ITK,False,48,Stim48hr
AUP1,0.42822355031967163,CD3E,False,211,Stim48hr
DDX60L,0.42795050144195557,ITK,False,136,Stim48hr
SHOC2,0.4274654984474182,ITK,False,435,Stim48hr
TMEM126A,0.4255061447620392,NDUFAF3,False,62,Stim48hr
AIP,0.4254889190196991,AHR,False,265,Stim48hr
BRK1,0.4252907335758209,NDUFAF3,False,325,Stim48hr
TBX21,0.42503613233566284,ITK,False,340,Stim48hr
TUFM,0.4247182607650757,NDUFAF3,False,361,Stim48hr
ERCC4,0.4245428740978241,IMPDH2,False,663,Stim48hr
CYB5R1,0.42442405223846436,NDUFAF3,False,44,Stim48hr
NSUN6,0.4243520498275757,RXRB,False,252,Stim48hr
ZNF142,0.4241238236427307,NDUFAF3,False,224,Stim48hr
NR4A3,0.42369934916496277,ITK,False,303,Stim48hr
CEP89,0.4236888587474823,ITK,False,174,Stim48hr
C11orf54,0.422999769449234,CD3E,False,463,Stim48hr
IL4I1,0.42291656136512756,INSR,False,284,Stim48hr
SUGT1,0.42238155007362366,ITK,False,276,Stim48hr
APOBR,0.4221859872341156,ITK,False,35,Stim48hr
PARP14,0.42214930057525635,ITK,False,189,Stim48hr
DDT,0.42214375734329224,INSR,False,61,Stim48hr
ACTR2,0.4217868745326996,NDUFA8,False,656,Stim48hr
BCDIN3D,0.42167630791664124,RXRB,False,137,Stim48hr
DEPDC1,0.4216693341732025,ITK,False,54,Stim48hr
ZNF785,0.42157337069511414,PRKCA,False,203,Stim48hr
ACOT7,0.42116478085517883,CD3E,False,541,Stim48hr
PSMD10,0.4210130274295807,INSR,False,57,Stim48hr
ZNF837,0.420830100774765,IMPDH2,False,484,Stim48hr
SERGEF,0.42078110575675964,RXRB,False,207,Stim48hr
KMT2E,0.4207535982131958,NDUFS8,False,510,Stim48hr
C1QBP,0.4204447567462921,NDUFAF3,False,52,Stim48hr
MTFMT,0.4203447997570038,NDUFS8,False,95,Stim48hr
ZFAND2A,0.42017096281051636,ITK,False,24,Stim48hr
DHX36,0.41994380950927734,CD3E,False,1350,Stim48hr
BACH2,0.41989749670028687,ITK,False,64,Stim48hr
PRORP,0.4197434186935425,NDUFAF3,False,151,Stim48hr
MIGA2,0.4192480742931366,NDUFAF3,False,149,Stim48hr
PSMB9,0.4191547632217407,ITK,True,203,Stim48hr
RELCH,0.4191294014453888,ITK,False,80,Stim48hr
TESK2,0.41905373334884644,ITK,False,171,Stim48hr
SLC25A51,0.4186115562915802,NDUFB4,False,159,Stim48hr
ADCY4,0.41856521368026733,RXRB,False,209,Stim48hr
ATPAF1,0.4184983968734741,ITK,False,107,Stim48hr
DCAF5,0.4184766113758087,CD3E,False,211,Stim48hr
GDAP2,0.41834086179733276,IMPDH2,False,645,Stim48hr
C1D,0.4182054400444031,IMPDH2,False,578,Stim48hr
PNPT1,0.4181472659111023,IMPDH2,False,638,Stim48hr
NDUFA3,0.417837530374527,NDUFAF3,True,117,Stim48hr
SOCS4,0.4177697002887726,ITK,False,277,Stim48hr
TAF6L,0.4168468713760376,PSMB9,False,2091,Stim48hr
PRKRA,0.41623613238334656,ITK,False,166,Stim48hr
RNF8,0.41611364483833313,ITK,False,260,Stim48hr
EFHD2,0.4159829020500183,ITK,False,152,Stim48hr
YIPF3,0.4155980348587036,ITK,False,169,Stim48hr
AASS,0.41534388065338135,ITK,False,121,Stim48hr
DYNC2LI1,0.41524553298950195,RXRB,False,64,Stim48hr
USF1,0.41518542170524597,RXRB,False,71,Stim48hr
DPH6,0.4151226282119751,NDUFAF3,False,437,Stim48hr
SMIM7,0.41504964232444763,INSR,False,177,Stim48hr
CCDC134,0.4148585796356201,ITK,False,165,Stim48hr
COA3,0.4145120680332184,IMPDH2,False,379,Stim48hr
RTRAF,0.4143473505973816,CD3E,False,442,Stim48hr
TRMT10C,0.41426047682762146,NDUFAF3,False,293,Stim48hr
ARPC2,0.41421306133270264,CD3E,False,543,Stim48hr
NATD1,0.414187490940094,ITK,False,169,Stim48hr
ANKRD49,0.4141668975353241,CD3E,False,311,Stim48hr
CD52,0.4141135811805725,ITK,True,24,Stim48hr
HRAS,0.41394636034965515,NDUFAF3,False,160,Stim48hr
TLN1,0.41370275616645813,ITK,False,190,Stim48hr
TMEM222,0.4135451912879944,ITK,False,40,Stim48hr
PRCP,0.41341525316238403,INSR,False,79,Stim48hr
PGAP2,0.4123218059539795,ITK,False,243,Stim48hr
HECTD3,0.4121606647968292,ITK,False,115,Stim48hr
SESN1,0.41198691725730896,ITK,False,78,Stim48hr
DDRGK1,0.4117152988910675,RXRB,False,795,Stim48hr
PPP2R3C,0.4116624891757965,ITK,False,129,Stim48hr
VHL,0.4115239977836609,NDUFS8,False,310,Stim48hr
MMAB,0.4114586412906647,ITK,False,510,Stim48hr
FOXRED1,0.41096290946006775,NDUFAF3,False,100,Stim48hr
BICDL1,0.4105435609817505,ITK,False,152,Stim48hr
UQCRB,0.4101882576942444,IMPDH2,False,409,Stim48hr
GPI,0.4100661873817444,ITK,False,948,Stim48hr
STARD9,0.40965041518211365,ITK,False,73,Stim48hr
HINT3,0.4095876216888428,ITK,False,73,Stim48hr
SLC38A10,0.4093089997768402,RXRB,False,120,Stim48hr
WDR59,0.4091393053531647,IMPDH2,False,740,Stim48hr
MDFIC,0.4088733196258545,INSR,False,19,Stim48hr
DTWD1,0.4086524248123169,NDUFAF3,False,197,Stim48hr
RASA3,0.4085676670074463,ITK,False,141,Stim48hr
PPM1D,0.4082699716091156,ITK,False,153,Stim48hr
SNAP23,0.4080190360546112,CD3E,False,224,Stim48hr
NUP188,0.4072778522968292,CD3E,False,417,Stim48hr
PPP3CA,0.407039076089859,ITK,True,76,Stim48hr
FRS3,0.40691670775413513,PRKCA,False,323,Stim48hr
SLC5A3,0.40677610039711,NDUFAF3,False,185,Stim48hr
TM2D2,0.4066850244998932,ITK,False,140,Stim48hr
DNAAF5,0.4056662321090698,ITK,False,184,Stim48hr
CTDSP2,0.4055100679397583,NDUFAF3,False,167,Stim48hr
TAF15,0.40532851219177246,ITK,False,74,Stim48hr
ACVR2A,0.40532350540161133,ITK,False,89,Stim48hr
ATP13A3,0.4052566885948181,RXRB,False,135,Stim48hr
BBS9,0.4051588177680969,ITK,False,60,Stim48hr
MOSPD2,0.40466421842575073,CD274,False,465,Stim48hr
SELENOI,0.4046544134616852,ITK,False,95,Stim48hr
CCDC136,0.4044497311115265,NDUFAF3,False,236,Stim48hr
USP24,0.40426164865493774,ITK,False,199,Stim48hr
MTFR1,0.4042581021785736,NDUFAF3,False,74,Stim48hr
TP53INP2,0.4038282334804535,AHR,False,974,Stim48hr
MTHFD2,0.40374767780303955,CD3E,False,496,Stim48hr
GALK2,0.40372103452682495,ITK,False,51,Stim48hr
GRK6,0.4031648635864258,NDUFS8,False,154,Stim48hr
RYK,0.40295761823654175,ITK,False,43,Stim48hr
ASF1A,0.4027675986289978,ITK,False,106,Stim48hr
H2BC8,0.40256813168525696,ITK,False,25,Stim48hr
ATXN7L3,0.40251535177230835,ITK,False,396,Stim48hr
ZCCHC7,0.40233099460601807,NDUFAF3,False,72,Stim48hr
MFSD10,0.4023212492465973,RXRB,False,78,Stim48hr
L2HGDH,0.4020049273967743,CD3E,False,147,Stim48hr
FLT3LG,0.4019378125667572,ITK,False,99,Stim48hr
CHD7,0.40082815289497375,PSMB9,False,641,Stim48hr
LMNB1,0.4005740284919739,ITK,False,119,Stim48hr
GGA3,0.4002995491027832,RXRB,False,191,Stim48hr
PTPDC1,0.39998382329940796,RXRB,False,84,Stim48hr
ZCWPW1,0.39964327216148376,RXRB,False,188,Stim48hr
ARHGAP27,0.399580717086792,CD3G,False,123,Stim48hr
TADA2B,0.3995494246482849,CD274,False,3499,Stim48hr
DCK,0.39953866600990295,RXRB,False,330,Stim48hr
ASAP2,0.3989301025867462,NDUFAF3,False,67,Stim48hr
CCDC32,0.39858704805374146,ITK,False,30,Stim48hr
COX15,0.398586243391037,NDUFAF3,False,236,Stim48hr
TMEM248,0.39847084879875183,ITK,False,63,Stim48hr
LRP11,0.3984421193599701,PRKCA,False,106,Stim48hr
UQCRC2,0.3983061611652374,ITK,False,163,Stim48hr
CKAP4,0.3980255126953125,INSR,False,54,Stim48hr
N4BP2L1,0.3976953625679016,ITK,False,49,Stim48hr
STX10,0.3973774015903473,ITK,False,131,Stim48hr
RB1,0.39719799160957336,ITK,False,23,Stim48hr
PPP1R14B,0.39698728919029236,NDUFAF3,False,142,Stim48hr
MRRF,0.3967270255088806,NDUFAF3,False,270,Stim48hr
KCTD2,0.3963779807090759,NDUFA6,False,86,Stim48hr
FANCL,0.39622628688812256,IMPDH2,False,308,Stim48hr
SLTM,0.3961120545864105,RXRB,False,263,Stim48hr
AMDHD2,0.3956717550754547,ITK,False,56,Stim48hr
SUPT20H,0.39451920986175537,PSMB9,False,1921,Stim48hr
SRR,0.3944074213504791,CD3E,False,267,Stim48hr
KCNC4,0.39439740777015686,NDUFAF3,True,33,Stim48hr
MAPK12,0.3941071033477783,NDUFAF3,False,138,Stim48hr
ZNF74,0.39400362968444824,ITK,False,47,Stim48hr
IREB2,0.3931806683540344,RXRB,False,133,Stim48hr
PHF6,0.39315715432167053,ITK,False,224,Stim48hr
ZNF790,0.3926330506801605,ITK,False,36,Stim48hr
TIMM8B,0.3924716114997864,NDUFA8,False,396,Stim48hr
RAB1A,0.39244210720062256,CD3E,False,134,Stim48hr
KDM5D,0.39234599471092224,ITK,False,25,Stim48hr
COA6,0.3920181095600128,NDUFA8,False,156,Stim48hr
HAPSTR1,0.3919876515865326,ITK,False,614,Stim48hr
TBCCD1,0.3914119005203247,RXRB,False,88,Stim48hr
CABLES2,0.3911324441432953,NDUFAF3,False,106,Stim48hr
MDM4,0.39107245206832886,ITK,False,131,Stim48hr
ARNT,0.390959233045578,AHR,False,1694,Stim48hr
KLHL36,0.3909056782722473,ITK,False,32,Stim48hr
FOXP4,0.3906570076942444,ITK,False,51,Stim48hr
SLAMF6,0.3906126916408539,ITK,False,45,Stim48hr
NDUFS7,0.3903862535953522,NDUFAF3,True,129,Stim48hr
GSS,0.3903317451477051,ITK,False,314,Stim48hr
HSD17B10,0.3903193771839142,NDUFAF3,False,271,Stim48hr
ZNF567,0.39029526710510254,CD2,False,51,Stim48hr
SZRD1,0.3902895748615265,CD3E,False,275,Stim48hr
ERCC6L2,0.39001062512397766,ITK,False,89,Stim48hr
CBFB,0.38991397619247437,RXRB,False,647,Stim48hr
COX19,0.38953110575675964,IMPDH2,False,370,Stim48hr
EWSR1,0.3893027901649475,ITK,False,940,Stim48hr
E2F1,0.38924187421798706,NDUFAF3,False,269,Stim48hr
H4C9,0.38885360956192017,ITK,False,12,Stim48hr
FANCB,0.38884875178337097,IMPDH2,False,268,Stim48hr
MTX2,0.3887462913990021,ITK,False,202,Stim48hr
COPRS,0.3884955644607544,PSMB9,False,366,Stim48hr
BZW2,0.38818007707595825,INSR,False,161,Stim48hr
PDXP,0.38807249069213867,ITK,False,46,Stim48hr
ARL1,0.38738319277763367,INSR,False,183,Stim48hr
ENTPD1,0.38738298416137695,CD3E,False,120,Stim48hr
STARD7,0.3873318135738373,NDUFA8,False,174,Stim48hr
ITGA4,0.3872068524360657,ITK,True,54,Stim48hr
DMAC1,0.3869531750679016,NDUFAF3,False,192,Stim48hr
HIPK3,0.3864051401615143,ITK,False,90,Stim48hr
KIF5C,0.3863728940486908,NDUFAF3,False,171,Stim48hr
TECPR1,0.3863688111305237,RXRB,False,37,Stim48hr
NDUFB7,0.38628190755844116,NDUFAF3,True,134,Stim48hr
SBDS,0.3859984576702118,RXRB,False,121,Stim48hr
PARD6A,0.3859637677669525,THRA,False,97,Stim48hr
