universe,N,a,b,c,d,p_tgt_iei,p_tgt_non,RR,OR,OR_lo,OR_hi,p
All genes (HPA-20k proxy),20283,72,433,651,19127,0.14257425742574256,0.032915360501567396,4.331541725601132,4.885516331243814,3.7617180962500982,6.34504479393161,4.202060459278409e-24
Immune-expressed nTPM>=1,12857,63,383,369,12042,0.1412556053811659,0.02973168963016679,4.751011702942141,5.368018849901293,4.033201447455587,7.144603796340104,8.279720050172099e-23
Immune-expressed nTPM>=5,9557,57,330,291,8879,0.14728682170542637,0.03173391494002181,4.641306374703642,5.270259293970634,3.8870838752961028,7.145622249678881,3.2493710446383256e-20
Druggable genome,4463,65,146,558,3694,0.3080568720379147,0.13123236124176857,2.3474154478588054,2.94729218834389,2.1714029706002265,4.000423394959138,7.847064761092213e-11
Druggable ∩ immune-expr(>=1),2372,56,122,282,1912,0.3146067415730337,0.12853236098450319,2.447685074507929,3.1121962562492733,2.2147767751477136,4.37324684189268,6.792439079028276e-10
