gene,rank,polarization_score,abs_score,direction,signs_agree,z_Stim8hr,z_Stim48hr,z_Rest,z_Rest_abs,coef_Stim8hr,coef_Stim48hr,known_regulator,regulator_type
NAB2,1,-70.51320232559594,70.51320232559594,toward_signature_neg,True,-48.04743609752081,-51.67329095769504,-16.69124934961984,16.69124934961984,-0.0354026775739379,-0.0196141120770487,False,
HPS1,2,-70.27512118119873,70.27512118119873,toward_signature_neg,True,-27.409507714022908,-71.9745217578411,-52.26246548794914,52.26246548794914,-0.0230902089336757,-0.0369016944942191,False,
GORASP2,3,-67.46293247692084,67.46293247692084,toward_signature_neg,True,-45.291665046097044,-50.11532902022476,-47.80467401431544,47.80467401431544,-0.0336519785963894,-0.0334365249051819,False,
FBXO32,4,-64.88563921318995,64.88563921318995,toward_signature_neg,True,-51.36278983421364,-40.3993611443271,-113.04210144074966,113.04210144074966,-0.0408073347299083,-0.0252658526509235,False,
AKR1C3,5,-63.1337652800404,63.1337652800404,toward_signature_neg,True,-60.47173174648079,-28.812895356231962,-60.40469745542994,60.40469745542994,-0.023279279189086,-0.017719615787835,False,
RARA,6,-62.260975499832604,62.260975499832604,toward_signature_neg,True,-41.539674588347566,-46.510641370094696,-53.17157758424055,53.17157758424055,-0.038817088766836,-0.0464096479237962,True,Th2 regulator
SAAL1,7,-61.38088743970371,61.38088743970371,toward_signature_neg,True,-30.291453646926417,-56.51422984079895,-25.225373870456053,25.225373870456053,-0.0200933985775967,-0.0189637810652869,False,
BPNT1,8,-59.86777353201102,59.86777353201102,toward_signature_neg,True,-54.01644008388001,-30.649377194171002,-32.78591641951527,32.78591641951527,-0.024148235426868,-0.0223374774982718,False,
RSBN1L,9,59.8043794218248,59.8043794218248,toward_signature_pos,True,37.946014170247004,46.63015029740407,71.6267580414388,71.6267580414388,0.0295251029897836,0.0244019705491181,False,
ZNF202,10,59.52128309187807,59.52128309187807,toward_signature_pos,True,34.11449529488147,50.06131050350088,11.470544251744487,11.470544251744487,0.0256078127470344,0.0345741796135267,False,
SLC39A1,11,-59.37167796898908,59.37167796898908,toward_signature_neg,True,-25.335240339264367,-58.628991865327905,-58.04143037002093,58.04143037002093,-0.0159307102503476,-0.0378601619684612,False,
SDHD,12,-59.16654213860591,59.16654213860591,toward_signature_neg,True,-29.66138379708508,-54.01274253405064,-5.833624214308411,5.833624214308411,-0.0190948091618723,-0.0275055279490837,False,
IL4R,13,-56.67940518054313,56.67940518054313,toward_signature_neg,True,-25.697815326879745,-54.45896818668422,-9.800942341771123,9.800942341771123,-0.0287513567538349,-0.0270915367722926,True,Th2 regulator
CKLF-CMTM1,14,56.32166334514415,56.32166334514415,toward_signature_pos,True,59.985837553471605,19.665022604642882,48.17131852129699,48.17131852129699,0.019523158155015,0.0128001834614756,False,
C2CD5,15,-56.29566185756749,56.29566185756749,toward_signature_neg,True,-32.312557908229394,-47.30153059351229,-19.092976876165658,19.092976876165658,-0.0254416277650935,-0.030934429527416,False,
COMMD1,16,-55.97308025636943,55.97308025636943,toward_signature_neg,True,-55.57697885598039,-23.580910370374976,-37.93583069861627,37.93583069861627,-0.0246872194807596,-0.0106284182193253,False,
TET2,17,55.333158090213935,55.333158090213935,toward_signature_pos,True,32.46590956058184,45.78699305953326,16.31004102938415,16.31004102938415,0.0220573581745765,0.0348092483293691,False,
CDKAL1,18,-55.253211538901226,55.253211538901226,toward_signature_neg,True,-37.55207812159975,-40.58776300138397,-27.929953782571488,27.929953782571488,-0.0430299835271278,-0.0341367333248997,False,
DCAF6,19,-54.38006532793886,54.38006532793886,toward_signature_neg,True,-26.36064351120661,-50.54438239829944,-41.007754464775765,41.007754464775765,-0.0196042846316409,-0.0216636437150284,False,
EIF2AK4,20,-54.28657428485692,54.28657428485692,toward_signature_neg,True,-28.049515530267055,-48.723294078152115,-53.360853376528055,53.360853376528055,-0.0265459510581226,-0.017966842475115,False,
FAM71F2,21,-54.1148983618413,54.1148983618413,toward_signature_neg,True,-46.2938234937711,-30.236199695986453,-20.536953728250012,20.536953728250012,-0.0332776270071459,-0.0219613702481298,False,
STAT6,22,-53.54171889719518,53.54171889719518,toward_signature_neg,True,-29.264514465258245,-46.45491055192302,10.426170087107872,10.426170087107872,-0.0322686448509341,-0.028859253178787,True,Th2 regulator
NLRC5,23,52.41472283245767,52.41472283245767,toward_signature_pos,True,38.78748129870644,35.338130598981934,29.856968644500892,29.856968644500892,0.0246497461507948,0.0222756265199709,False,
IFITM2,24,52.203703798511256,52.203703798511256,toward_signature_pos,True,47.40787906963985,26.41930684832263,8.137663427784265,8.137663427784265,0.015276718915823,0.0096142023293449,False,
FRS3,25,52.15389823096582,52.15389823096582,toward_signature_pos,True,45.8406793030757,27.916070905782334,45.363421691560816,45.363421691560816,0.0240414845865053,0.0219276374827122,False,
PIGP,26,-51.99687889907068,51.99687889907068,toward_signature_neg,True,-24.55605515947287,-48.9786361806643,-18.98037098667458,18.98037098667458,-0.0142162810289747,-0.0380544035590162,False,
IRGQ,27,-51.88749232864707,51.88749232864707,toward_signature_neg,True,-34.00546632019246,-39.374529048510155,-79.87242977032085,79.87242977032085,-0.0239277404049579,-0.0342206497913017,False,
ADAM9,28,-51.624360896117736,51.624360896117736,toward_signature_neg,True,-34.582963804139396,-38.42490752399358,-15.544695959366852,15.544695959366852,-0.0314264895753199,-0.0278207292121263,False,
