gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
CD6,0.4559136927127838,LCK,False,125,Stim8hr
KPNA4,0.4512042701244354,CD3G,False,123,Stim8hr
RAB9A,0.45076313614845276,CD3G,False,130,Stim8hr
EML2,0.4493657350540161,CD3E,False,307,Stim8hr
TSPYL5,0.44936519861221313,CD274,False,1254,Stim8hr
PRPSAP1,0.44892042875289917,CD3E,False,80,Stim8hr
PEX6,0.4479295313358307,CD274,False,414,Stim8hr
TADA1,0.44604530930519104,CD274,False,2160,Stim8hr
NFKBIL1,0.44446900486946106,CD3E,False,550,Stim8hr
DIPK1A,0.44445091485977173,CD3D,False,191,Stim8hr
MFGE8,0.4429853558540344,CD3E,False,73,Stim8hr
TIA1,0.4423207938671112,CD3E,False,266,Stim8hr
RNFT1,0.44193747639656067,CD3E,False,353,Stim8hr
PHF19,0.4408401846885681,CD3E,False,292,Stim8hr
BLOC1S4,0.44050487875938416,CD3E,False,150,Stim8hr
SLC5A6,0.43953803181648254,CD3G,False,735,Stim8hr
CRYZL1,0.4394475817680359,CD3G,False,486,Stim8hr
TRIM21,0.4394173324108124,CD3G,False,107,Stim8hr
SLC17A5,0.43587160110473633,CD3G,False,271,Stim8hr
COX6C,0.4348795711994171,IMPDH2,False,784,Stim8hr
ZNF613,0.4342571794986725,CD274,False,841,Stim8hr
TXNDC12,0.4319317042827606,LCK,False,107,Stim8hr
ARPC2,0.42988720536231995,LCK,False,639,Stim8hr
NKAPD1,0.4295753240585327,CD3E,False,434,Stim8hr
ALG3,0.42933040857315063,CD3E,False,174,Stim8hr
UBAC1,0.4289739727973938,CD3E,False,127,Stim8hr
ALG8,0.42888540029525757,ITK,False,399,Stim8hr
RBM10,0.42732131481170654,NDUFB11,False,358,Stim8hr
CDCA2,0.4269901216030121,CD274,False,200,Stim8hr
HEXD,0.4262992739677429,CD274,False,308,Stim8hr
DNAJC8,0.4258643686771393,ITK,False,679,Stim8hr
CAD,0.42569488286972046,IMPDH2,False,410,Stim8hr
CRTAP,0.42345285415649414,ITK,False,207,Stim8hr
GPR15,0.42226168513298035,CD3E,False,314,Stim8hr
NFIX,0.4222453236579895,CD3E,False,118,Stim8hr
RAB11FIP1,0.4221148192882538,SLAMF7,False,429,Stim8hr
RAVER1,0.4220125377178192,ITK,False,273,Stim8hr
PGBD2,0.42186641693115234,CD3D,False,93,Stim8hr
UBE2L3,0.4214514493942261,CD274,False,1639,Stim8hr
ATP2A2,0.421429306268692,LCK,False,2002,Stim8hr
CARD11,0.4200427532196045,LCK,False,339,Stim8hr
ATP6V0E1,0.41988906264305115,CD3G,False,103,Stim8hr
TARS2,0.41867154836654663,IMPDH2,False,985,Stim8hr
CACNB1,0.41823121905326843,CD3E,True,83,Stim8hr
TMEM214,0.41754215955734253,CD3E,False,440,Stim8hr
METTL2A,0.41662582755088806,CD3G,False,78,Stim8hr
RFT1,0.41542747616767883,CD3E,False,353,Stim8hr
SACM1L,0.41353899240493774,ITK,False,189,Stim8hr
CEP170,0.41331946849823,CD3E,False,53,Stim8hr
PDIA3,0.41315212845802307,ITK,False,303,Stim8hr
NPHP4,0.4127887189388275,CD3E,False,233,Stim8hr
GZMB,0.41247549653053284,CD3E,False,353,Stim8hr
RTRAF,0.41242995858192444,PARP2,False,1347,Stim8hr
BCAP29,0.4122621417045593,CD274,False,176,Stim8hr
KIF14,0.41207069158554077,CD3E,False,93,Stim8hr
FAM204A,0.4118731617927551,CD3E,False,178,Stim8hr
CHMP4A,0.41142159700393677,CD3E,False,172,Stim8hr
AP1S2,0.41131946444511414,CD3E,False,212,Stim8hr
CNOT6L,0.40989214181900024,CD3E,False,116,Stim8hr
CREBBP,0.4095364212989807,CD3G,False,1608,Stim8hr
ITM2A,0.40865880250930786,CD3E,False,177,Stim8hr
BHLHE40,0.4084201157093048,PRKCA,False,1090,Stim8hr
DIS3L2,0.4071861207485199,CD3E,False,438,Stim8hr
BRWD1,0.40579718351364136,CD3E,False,146,Stim8hr
MED13,0.40557074546813965,CD274,False,233,Stim8hr
NCKAP1L,0.4055204689502716,AHR,False,713,Stim8hr
KAT6A,0.4032604396343231,ITK,False,376,Stim8hr
PNPT1,0.4030604660511017,IMPDH2,False,652,Stim8hr
NABP1,0.4018935561180115,CD3E,False,361,Stim8hr
ATG12,0.4014151692390442,CD3E,False,222,Stim8hr
CDIPT,0.40045392513275146,LCK,False,335,Stim8hr
MSL1,0.400248646736145,CD3E,False,128,Stim8hr
AKR1A1,0.40012818574905396,CD3G,False,117,Stim8hr
DCAKD,0.39911723136901855,CD3G,False,821,Stim8hr
VPS35,0.39890941977500916,ITK,False,256,Stim8hr
BOD1,0.3988863229751587,CD3E,False,56,Stim8hr
ARIH1,0.3979939818382263,EZH2,False,406,Stim8hr
TCF25,0.39796894788742065,CD3E,False,79,Stim8hr
GLIPR2,0.3979620337486267,CD274,False,728,Stim8hr
DEF6,0.39781880378723145,CD3E,False,121,Stim8hr
DCAF6,0.397688627243042,CD3E,False,117,Stim8hr
PRF1,0.39733222126960754,CD3E,False,132,Stim8hr
FBXL3,0.3970940113067627,ITK,False,353,Stim8hr
ITPRIPL2,0.3969762921333313,LCK,False,65,Stim8hr
ELOB,0.39634862542152405,CD3E,False,1715,Stim8hr
WASF2,0.3949624300003052,AHR,False,134,Stim8hr
INIP,0.39481204748153687,CD3E,False,145,Stim8hr
DENR,0.3946075439453125,CD3E,False,2036,Stim8hr
CCDC12,0.39332422614097595,CCR4,False,398,Stim8hr
TMEM205,0.3921966850757599,CD3E,False,177,Stim8hr
COPRS,0.3909521996974945,CD274,False,226,Stim8hr
UQCRB,0.39086294174194336,IMPDH2,False,326,Stim8hr
CD2,0.3906884491443634,ITK,True,460,Stim8hr
EOLA1,0.39042824506759644,CD3G,False,132,Stim8hr
NAA30,0.3902609646320343,EZH2,False,1126,Stim8hr
IRGQ,0.39015689492225647,CD3E,False,111,Stim8hr
HCCS,0.3897373080253601,IMPDH2,False,721,Stim8hr
SMAD3,0.3896324336528778,SLAMF7,False,393,Stim8hr
DRAP1,0.3887220025062561,ITK,False,351,Stim8hr
WDR54,0.38797926902770996,ITK,False,187,Stim8hr
KRCC1,0.38725078105926514,CD3G,False,156,Stim8hr
EPB41L3,0.38632893562316895,EZH2,False,500,Stim8hr
WDFY1,0.386143296957016,CD3E,False,124,Stim8hr
TXLNG,0.3860180974006653,AHR,False,78,Stim8hr
BRK1,0.3858209550380707,EZH2,False,674,Stim8hr
USP22,0.3854362368583679,CD3E,False,1209,Stim8hr
CRIPT,0.3852590322494507,CD3E,False,177,Stim8hr
NRAS,0.3841206133365631,CD274,False,337,Stim8hr
ABHD14B,0.38404133915901184,AHR,False,22,Stim8hr
ZNF70,0.38278210163116455,AHR,False,133,Stim8hr
BCS1L,0.38178959488868713,IMPDH2,False,613,Stim8hr
GLO1,0.3797464072704315,CD3G,False,65,Stim8hr
TTC7A,0.37966081500053406,LCK,False,163,Stim8hr
DOCK2,0.37955886125564575,AHR,False,293,Stim8hr
SUV39H1,0.37952396273612976,CD3E,False,101,Stim8hr
TMED4,0.37931933999061584,AHR,False,192,Stim8hr
ABCC1,0.3792610764503479,CD3E,False,137,Stim8hr
CDC25B,0.37885522842407227,EZH2,False,678,Stim8hr
ZNF432,0.3784894049167633,ITK,False,32,Stim8hr
KCMF1,0.37821701169013977,CD3E,False,91,Stim8hr
SPTAN1,0.37784603238105774,CD3E,False,55,Stim8hr
IST1,0.37767931818962097,AHR,False,360,Stim8hr
SPTLC2,0.3764667212963104,ITK,False,252,Stim8hr
RPN1,0.37596625089645386,CD3D,False,148,Stim8hr
MBD2,0.37572693824768066,LCK,False,615,Stim8hr
ATF4,0.3728291690349579,IMPDH2,False,694,Stim8hr
TASOR,0.3726431131362915,CD3E,False,346,Stim8hr
POGLUT3,0.37252506613731384,CD3E,False,1364,Stim8hr
CORO7,0.3721473515033722,CD2,False,119,Stim8hr
FBXW2,0.3714958727359772,CD3E,False,174,Stim8hr
CHMP1A,0.37091878056526184,EZH2,False,167,Stim8hr
ERCC6L2,0.3708905279636383,LCK,False,237,Stim8hr
TXNL1,0.3700758218765259,CD3E,False,237,Stim8hr
ECHS1,0.36970213055610657,EZH2,False,327,Stim8hr
USO1,0.3696851134300232,CD3E,False,842,Stim8hr
IKZF1,0.3687521815299988,CD3E,False,212,Stim8hr
MFSD8,0.3687214255332947,CD3E,False,54,Stim8hr
COX19,0.36867278814315796,IMPDH2,False,274,Stim8hr
MTRES1,0.36858683824539185,CD3G,False,103,Stim8hr
TMBIM4,0.36842629313468933,LCK,False,104,Stim8hr
CIRBP,0.36717355251312256,CD3E,False,55,Stim8hr
TMED3,0.3669286072254181,CD274,False,109,Stim8hr
SCYL3,0.36657342314720154,CD3E,False,377,Stim8hr
TGFBR2,0.366495281457901,CD3D,False,70,Stim8hr
KAT14,0.3663156032562256,IMPDH2,False,430,Stim8hr
ADRM1,0.36619046330451965,CD3E,True,112,Stim8hr
ZCCHC3,0.3660455048084259,CD3G,False,58,Stim8hr
VPS29,0.3635638356208801,CD2,False,365,Stim8hr
AHR,0.3630616068840027,EZH2,True,975,Stim8hr
EZH2,0.3630616068840027,AHR,True,336,Stim8hr
RSBN1L,0.36285239458084106,BRD4,False,218,Stim8hr
AIP,0.36208292841911316,AHR,False,275,Stim8hr
COX4I1,0.361581951379776,IMPDH2,False,395,Stim8hr
STAT6,0.36151593923568726,IL4R,False,241,Stim8hr
COQ10B,0.3608155846595764,LCK,False,84,Stim8hr
TBC1D10C,0.3604997396469116,ITK,False,25,Stim8hr
DDX1,0.3602237105369568,PARP2,False,587,Stim8hr
NUDCD1,0.35945960879325867,CD3E,False,658,Stim8hr
EID2,0.3593846261501312,CD274,False,175,Stim8hr
