Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
CD19,BINDING AGENT,B-lymphocyte antigen CD19 binding agent,AXICABTAGENE CILOLEUCEL; BREXUCABTAGENE AUTOLEUCEL; INEBILIZUMAB; LISOCABTAGENE MARALEUCEL; LONCASTUXIMAB TESIRINE; OBECABTAGENE AUTOLEUCEL; TAFASITAMAB; TISAGENLECLEUCEL,B-cell acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell neoplasm; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Waldenstrom macroglobulinemia; acute myeloid leukemia by FAB classification; autoimmune encephalitis; autoimmune hepatitis; chronic graft versus host disease; diffuse large B-cell lymphoma; follicular lymphoma; hairy cell leukemia; high grade B-cell lymphoma; immunoglobulin G4-related sclerosing disease; mantle cell lymphoma; marginal zone lymphoma; multiple sclerosis; myasthenia gravis; nodal marginal zone B-cell lymphoma; plasma cell myeloma; primary central nervous system lymphoma; rheumatoid arthritis; splenic marginal zone lymphoma; systemic lupus erythematosus; systemic sclerosis,8,26,immune system disorder,APPROVAL,1
CD19,CROSS-LINKING AGENT,B-lymphocyte antigen CD19 cross-linking agent; T cell surface glycoprotein CD3 cross-linking agent,BLINATUMOMAB,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; acute leukemia of ambiguous lineage; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; diffuse large B-cell lymphoma; mixed phenotype acute leukemia; myasthenia gravis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; rheumatoid arthritis; systemic lupus erythematosus",1,16,immune system disorder,APPROVAL,1
POLE,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor; DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; B-cell prolymphocytic leukemia; Burkitt lymphoma; Crohn disease; Fanconi anemia; Langerhans cell histiocytosis; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune disorder of the nervous system; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow failure syndrome; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; early T cell progenitor acute lymphoblastic leukemia; follicular lymphoma; graft versus host disease; granulocytic sarcoma; hemophagocytic syndrome; high grade B-cell lymphoma; idiopathic hypereosinophilic syndrome; immunodeficiency disease; inborn error of immunity; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; mantle cell lymphoma; mixed phenotype acute leukemia; multiple sclerosis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; reticulum cell sarcoma; systemic lupus erythematosus; systemic sclerosis; therapy related acute myeloid leukemia and myelodysplastic syndrome; transient myeloproliferative syndrome",5,58,immune system disorder,APPROVAL,1
JAK1,INHIBITOR,Activin receptor type-1 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Janus Kinase (JAK) inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK1 inhibitor,ABROCITINIB; BARICITINIB; DELGOCITINIB; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; RUXOLITINIB; RUXOLITINIB PHOSPHATE; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,"Aicardi-Goutieres syndrome; Autosomal dominant hyper-IgE syndrome; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Sjogren syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell large granular lymphocyte leukemia; T-cell prolymphocytic leukemia; acquired polycythemia vera; acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; ankylosing spondylitis; atopic eczema; atypical chronic myeloid leukemia, BCR-ABL1 negative; autoimmune disease; autoimmune polyendocrine syndrome type 1; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; chronic neutrophilic leukemia; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; discoid lupus erythematosus; essential thrombocythemia; food allergy; graft versus host disease; granulomatosis with polyangiitis; hand eczema; hemophagocytic syndrome; hypereosinophilic syndrome; immunoglobulin G4-related sclerosing disease; inflammatory bowel disease; juvenile myelomonocytic leukemia; lupus erythematosus; macrophage activation syndrome; myasthenia gravis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloproliferative neoplasm; palmoplantar pustulosis; plasma cell myeloma; polycythemia; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; proteosome-associated autoinflammatory syndrome; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; rheumatoid arthritis; spondyloarthropathy; systemic lupus erythematosus; systemic sclerosis; type 1 diabetes mellitus; type IV hypersensitivity disease; ulcerative colitis; vitiligo",13,65,immune system disorder,APPROVAL,1
PSMB8,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
IL6R,ANTAGONIST,IL6Ralpha/GP130 antagonist; Interleukin-6 receptor alpha subunit antagonist,SARILUMAB; SATRALIZUMAB,Graves ophthalmopathy; ankylosing spondylitis; chronic graft versus host disease; immune system disorder; localized scleroderma; myasthenia gravis; rheumatoid arthritis; systemic mastocytosis,2,8,immune system disorder,APPROVAL,1
IL6R,INHIBITOR,Interleukin-6 receptor alpha subunit inhibitor,LEVILIMAB; TOCILIZUMAB,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Erdheim-Chester disease; Graves ophthalmopathy; Sjogren syndrome; acute graft versus host disease; acute myeloid leukemia; ankylosing spondylitis; chronic granulomatous disease; colitis; diffuse large B-cell lymphoma; familial Mediterranean fever; graft versus host disease; granulomatosis with polyangiitis; hemophagocytic syndrome; immune system disorder; macrophage activation syndrome; myasthenia gravis; plasma cell myeloma; rheumatoid arthritis; systemic lupus erythematosus; systemic sclerosis; type 1 diabetes mellitus,2,23,immune system disorder,APPROVAL,1
FLT4,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Ephrin receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor; Tyrosine-protein kinase LCK inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Platelet-derived growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Fibroblast growth factor receptor inhibitor; Serine/threonine-protein kinase RAF inhibitor; Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor,AXITINIB; CEDIRANIB; LENVATINIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; REGORAFENIB; SORAFENIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE; VANDETANIB,"B-cell chronic lymphocytic leukemia; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute promyelocytic leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; limited cutaneous systemic sclerosis; lymphedema; mantle cell lymphoma; mixed phenotype acute leukemia; myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis; psoriasis; systemic sclerosis; thymic carcinoma; thymoma; type 1 diabetes mellitus",12,21,immune system disorder,APPROVAL,1
IFNAR1,AGONIST,Interferon alpha/beta receptor agonist,INTERFERON ALFA-2A; INTERFERON ALFA-2B; INTERFERON BETA-1A; INTERFERON BETA-1B; PEGINTERFERON ALFA-2A; PEGINTERFERON ALFA-2B; PEGINTERFERON BETA-1A,"AIDS; B-cell chronic lymphocytic leukemia; Crohn disease; acquired polycythemia vera; acute myeloid leukemia; acute promyelocytic leukemia; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia, BCR-ABL1 positive; essential thrombocythemia; follicular lymphoma; hairy cell leukemia; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; multiple sclerosis; myelofibrosis; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis; relapsing-remitting multiple sclerosis; systemic mastocytosis; thymic epithelial neoplasm; ulcerative colitis",7,24,immune system disorder,APPROVAL,1
IFNAR1,ANTAGONIST,Interferon-alpha/beta receptor alpha chain antagonist,ANIFROLUMAB,Sjogren syndrome; antiphospholipid syndrome; cutaneous lupus erythematosus; rheumatoid arthritis; scleroderma; systemic lupus erythematosus; systemic sclerosis; vitiligo,1,8,immune system disorder,APPROVAL,1
IFNAR1,POSITIVE MODULATOR,Interferon alpha/beta receptor positive modulator,ROPEGINTERFERON ALFA-2B,"acquired polycythemia vera; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; essential thrombocythemia; myelofibrosis; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis",1,9,immune system disorder,APPROVAL,1
IFNAR2,AGONIST,Interferon alpha/beta receptor agonist,INTERFERON ALFA-2A; INTERFERON ALFA-2B; INTERFERON BETA-1A; INTERFERON BETA-1B; PEGINTERFERON ALFA-2A; PEGINTERFERON ALFA-2B; PEGINTERFERON BETA-1A,"AIDS; B-cell chronic lymphocytic leukemia; Crohn disease; acquired polycythemia vera; acute myeloid leukemia; acute promyelocytic leukemia; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia, BCR-ABL1 positive; essential thrombocythemia; follicular lymphoma; hairy cell leukemia; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; multiple sclerosis; myelofibrosis; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis; relapsing-remitting multiple sclerosis; systemic mastocytosis; thymic epithelial neoplasm; ulcerative colitis",7,24,immune system disorder,APPROVAL,1
IFNAR2,POSITIVE MODULATOR,Interferon alpha/beta receptor positive modulator,ROPEGINTERFERON ALFA-2B,"acquired polycythemia vera; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; essential thrombocythemia; myelofibrosis; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis",1,9,immune system disorder,APPROVAL,1
BCL2,INHIBITOR,Apoptosis regulator Bcl-2 inhibitor; Apoptosis regulator Bcl-W inhibitor; Apoptosis regulator Bcl-X inhibitor; Apoptosis regulator Bcl-2 inhibitor,NAVITOCLAX; VENETOCLAX,"B-cell acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; MALT lymphoma; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; follicular lymphoma; graft versus host disease; hairy cell leukemia; hemophagocytic syndrome; high grade B-cell lymphoma; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; mixed phenotype acute leukemia; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; systemic lupus erythematosus",2,39,immune system disorder,APPROVAL,1
BCL2,ANTISENSE INHIBITOR,Bcl-2 mRNA antisense inhibitor,OBLIMERSEN,Waldenstrom macroglobulinemia; acute myeloid leukemia; diffuse large B-cell lymphoma; plasma cell myeloma,1,4,immune system disorder,APPROVAL,1
CFB,INHIBITOR,Complement factor B inhibitor,IPTACOPAN,atypical hemolytic-uremic syndrome; autoimmune hemolytic anemia; granulomatosis with polyangiitis; myasthenia gravis,1,4,immune system disorder,APPROVAL,1
PSMB9,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
PSMB10,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
C5,INHIBITOR,Complement C5 inhibitor,CROVALIMAB; ECULIZUMAB; POZELIMAB; RAVULIZUMAB; VILOBELIMAB; ZILUCOPLAN,Guillain-Barre syndrome; anti-glomerular basement membrane disease; antiphospholipid syndrome; atypical hemolytic-uremic syndrome; cold agglutinin disease; granulomatosis with polyangiitis; myasthenia gravis,6,7,immune system disorder,APPROVAL,1
C5,BINDING AGENT,Complement C5 binding agent,ZILUCOPLAN SODIUM,myasthenia gravis,1,1,immune system disorder,APPROVAL,1
IFNGR2,AGONIST,Interferon gamma receptor agonist,INTERFERON GAMMA-1B,"AIDS; Leukocyte adhesion deficiency type I; acute myeloid leukemia; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; macrophage activation syndrome; plasma cell myeloma",1,7,immune system disorder,APPROVAL,1
PDGFRA,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor; Tyrosine-protein kinase LCK inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Fibroblast growth factor receptor 3 inhibitor; Platelet-derived growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Fibroblast growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor,AVAPRITINIB; CEDIRANIB; MASITINIB; MIDOSTAURIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; QUIZARTINIB; REGORAFENIB; RIPRETINIB; SUNITINIB; SUNITINIB MALATE,"B-cell chronic lymphocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; aggressive systemic mastocytosis; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; core binding factor acute myeloid leukemia; cutaneous mastocytosis; diffuse large B-cell lymphoma; juvenile myelomonocytic leukemia; limited cutaneous systemic sclerosis; lymphedema; mantle cell lymphoma; mast cell leukemia; mast cell sarcoma; mastocytosis; multiple sclerosis; myelodysplastic/myeloproliferative neoplasm; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; plasma cell myeloma; primary myelofibrosis; psoriasis; psoriasis vulgaris; rheumatoid arthritis; systemic mastocytosis; systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease; systemic sclerosis; thymic carcinoma; thymoma",12,31,immune system disorder,APPROVAL,1
SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,FOSTAMATINIB; FOSTAMATINIB DISODIUM,B-cell chronic lymphocytic leukemia; MALT lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; mantle cell lymphoma; marginal zone lymphoma; myelofibrosis; rheumatoid arthritis; systemic lupus erythematosus; thrombocytopenic purpura,2,15,immune system disorder,APPROVAL,1
XPO1,INHIBITOR,Exportin-1 inhibitor,SELINEXOR,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; B-cell prolymphocytic leukemia; Langerhans cell histiocytosis; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; follicular lymphoma; mantle cell lymphoma; mixed phenotype acute leukemia; myelofibrosis; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell myeloma; primary central nervous system lymphoma; thymic carcinoma; thymoma,1,20,immune system disorder,APPROVAL,1
PSMB4,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
