gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
FPGS,0.287485659122467,GART,PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE,False,166,Stim48hr
DAAM1,0.2873749732971191,PRKCA,MIDOSTAURIN,False,32,Stim48hr
NIT2,0.2872696816921234,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,60,Stim48hr
ZRANB2,0.2871896922588348,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,206,Stim48hr
N6AMT1,0.2871793508529663,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,368,Stim48hr
GIT2,0.2870735228061676,CD2,ALEFACEPT,False,113,Stim48hr
SHFL,0.287050187587738,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,68,Stim48hr
SMPD1,0.2870393693447113,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,173,Stim48hr
NOD1,0.2869458794593811,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,31,Stim48hr
CTTN,0.2868918478488922,NDUFS2,METFORMIN; METFORMIN HYDROCHLORIDE,False,70,Stim48hr
WASHC4,0.2868585884571075,AHR,TAPINAROF,False,80,Stim48hr
POLDIP3,0.2867982983589172,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,245,Stim48hr
LAGE3,0.2867755591869354,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,59,Stim48hr
ARID4B,0.2867506146430969,CD2,ALEFACEPT,False,138,Stim48hr
SHCBP1,0.2867197394371032,PRKCA,MIDOSTAURIN,False,54,Stim48hr
CBX5,0.286665678024292,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,414,Stim48hr
DYRK1A,0.2864430844783783,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,46,Stim48hr
QKI,0.2862343192100525,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,28,Stim48hr
PTBP1,0.2861789166927337,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,173,Stim48hr
MATK,0.2861686944961548,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,69,Stim48hr
CMC2,0.2861393392086029,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,84,Stim48hr
PIM3,0.2860849499702453,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,81,Stim48hr
PAWR,0.2858554124832153,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,27,Stim48hr
USP22,0.2858400642871856,CD2,ALEFACEPT,False,1045,Stim48hr
RNF166,0.285817801952362,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,38,Stim48hr
ZNF496,0.2858147621154785,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,25,Stim48hr
ATP2A2,0.2857904434204101,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,939,Stim48hr
POU2F2,0.2857432663440704,ALOX5,BALSALAZIDE; BALSALAZIDE DISODIUM; MECLOFENAMATE SODIUM; MECLOFENAMIC ACID; MESALAMINE; OLSALAZINE; OLSALAZINE SODIUM; SULFASALAZINE; ZILEUTON,False,119,Stim48hr
GFOD2,0.2855960428714752,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,54,Stim48hr
DPM3,0.2855421900749206,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,34,Stim48hr
PGM2L1,0.285460889339447,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,44,Stim48hr
PSEN1,0.285460501909256,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,True,26,Stim48hr
B4GALNT3,0.2854492366313934,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,143,Stim48hr
CYTH2,0.2854245007038116,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,45,Stim48hr
SLX4,0.285418301820755,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,101,Stim48hr
ID2,0.2853194177150726,IL4R,DUPILUMAB,False,382,Stim48hr
GRHPR,0.2851729393005371,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,42,Stim48hr
CEPT1,0.2851616442203522,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,200,Stim48hr
MAFK,0.2851117551326751,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,61,Stim48hr
RABL6,0.2850751876831054,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,14,Stim48hr
GNG2,0.2850678265094757,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,55,Stim48hr
CEP55,0.2850242257118225,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,111,Stim48hr
SGSH,0.2849906086921692,PRKCA,MIDOSTAURIN,False,55,Stim48hr
ARHGAP11A,0.2849878370761871,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,57,Stim48hr
PRPF39,0.2848864197731018,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,247,Stim48hr
ZDHHC18,0.2848649322986603,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,41,Stim48hr
METTL18,0.2847787737846374,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,50,Stim48hr
GPATCH3,0.2846317291259765,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,32,Stim48hr
MYO1G,0.2846197485923767,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,33,Stim48hr
TMED4,0.2846015095710754,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,126,Stim48hr
LPGAT1,0.2845506370067596,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,21,Stim48hr
ZSCAN2,0.2844837009906769,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,95,Stim48hr
TXNDC17,0.2844719886779785,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,51,Stim48hr
FBXO32,0.284399539232254,IL4R,DUPILUMAB,False,336,Stim48hr
TPP2,0.2843261361122131,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,80,Stim48hr
PI4K2B,0.2842771708965301,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,71,Stim48hr
APEX1,0.2841523587703705,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,178,Stim48hr
TESK1,0.2841480672359466,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,99,Stim48hr
RDM1,0.2841436862945556,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,19,Stim48hr
ZNF302,0.2840916216373443,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,12,Stim48hr
TMEM214,0.284059464931488,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,514,Stim48hr
C1R,0.2840533256530761,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,14,Stim48hr
ZNF600,0.2839763462543487,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,79,Stim48hr
GPAA1,0.2838980555534363,AHR,TAPINAROF,False,41,Stim48hr
RC3H2,0.2838785350322723,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,88,Stim48hr
EHD1,0.2838172614574432,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,54,Stim48hr
ARID4A,0.2836810350418091,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,59,Stim48hr
HPS1,0.2836165130138397,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,257,Stim48hr
ABCD3,0.283526211977005,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,31,Stim48hr
DDB2,0.2832378149032593,PRKCQ,MIDOSTAURIN,False,109,Stim48hr
FGF11,0.2831388115882873,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,58,Stim48hr
TMEM107,0.2830938100814819,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,46,Stim48hr
HSPA1L,0.2829183340072632,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,44,Stim48hr
F11R,0.2828432619571686,CD2,ALEFACEPT,False,27,Stim48hr
GANAB,0.2828347086906433,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,74,Stim48hr
VWA5A,0.2826535105705261,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,36,Stim48hr
HSD3B7,0.2826513051986694,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,22,Stim48hr
PCYT2,0.2826370596885681,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,479,Stim48hr
PTPN18,0.2825497686862945,CD2,ALEFACEPT,False,24,Stim48hr
RBIS,0.2825483381748199,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,78,Stim48hr
SLC35A1,0.2825439572334289,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,128,Stim48hr
DNAJB6,0.2824739217758178,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,25,Stim48hr
LASP1,0.2824121713638305,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,23,Stim48hr
SAYSD1,0.2823015749454498,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,20,Stim48hr
TRIM44,0.2822978496551513,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,31,Stim48hr
SREBF1,0.2820947468280792,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,132,Stim48hr
TMEM8B,0.2820276319980621,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,77,Stim48hr
ARID1B,0.2819693088531494,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,24,Stim48hr
CCNE1,0.2819602489471435,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,95,Stim48hr
ABHD2,0.2819250524044037,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,44,Stim48hr
SAC3D1,0.2818069159984588,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,49,Stim48hr
CRTC2,0.281721830368042,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,90,Stim48hr
ZSWIM6,0.2817215323448181,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,49,Stim48hr
NUP37,0.2817204892635345,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,183,Stim48hr
TPK1,0.2816104888916015,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,80,Stim48hr
CORO1A,0.281607061624527,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,45,Stim48hr
DHRS13,0.2815751731395721,PRKCA,MIDOSTAURIN,False,52,Stim48hr
CCND3,0.2814615964889526,AHR,TAPINAROF,False,228,Stim48hr
SMARCC1,0.2814496755599975,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,220,Stim48hr
SMYD3,0.2814046144485473,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,45,Stim48hr
PRIMPOL,0.2813914716243744,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,119,Stim48hr
MDP1,0.2812579274177551,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,29,Stim48hr
PTPN11,0.2810657918453216,CD274,ATEZOLIZUMAB; AVELUMAB; COSIBELIMAB; DURVALUMAB; SUGEMALIMAB,False,131,Stim48hr
NFKBIL1,0.2810478806495666,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,137,Stim48hr
SMYD2,0.2809479832649231,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,64,Stim48hr
CNNM2,0.2809140086174011,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,55,Stim48hr
AP2A1,0.2807666957378387,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,114,Stim48hr
CDK8,0.280733048915863,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,90,Stim48hr
E2F4,0.2807317078113556,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,156,Stim48hr
TMCO3,0.2805835306644439,PRKCA,MIDOSTAURIN,False,89,Stim48hr
HNRNPD,0.280577003955841,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,398,Stim48hr
SBK1,0.2805610299110412,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,23,Stim48hr
ARFGAP3,0.2804367244243622,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,54,Stim48hr
SETX,0.280414342880249,PRKCA,MIDOSTAURIN,False,62,Stim48hr
CYP51A1,0.280394583940506,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,60,Stim48hr
CCL4,0.2803903520107269,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,18,Stim48hr
ZNF583,0.2802942097187042,MAP2K2,BINIMETINIB; COBIMETINIB; COBIMETINIB FUMARATE; MIRDAMETINIB; SELUMETINIB; SELUMETINIB SULFATE; TRAMETINIB; TRAMETINIB DIMETHYL SULFOXIDE,False,47,Stim48hr
MFSD11,0.2801137268543243,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,109,Stim48hr
ME2,0.2800504863262176,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,56,Stim48hr
SLC43A3,0.2798651456832886,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,23,Stim48hr
ELK4,0.2798463702201843,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,22,Stim48hr
GID4,0.2798197567462921,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,65,Stim48hr
YEATS2,0.2797108292579651,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,499,Stim48hr
IL2RB,0.2797086834907532,IL2RA,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX,True,697,Stim48hr
IL2RA,0.2797086834907532,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,True,81,Stim48hr
UBE2L3,0.2796522080898285,PSMB9,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,684,Stim48hr
NAA80,0.2796249985694885,CD2,ALEFACEPT,False,78,Stim48hr
SIPA1L3,0.2796054482460022,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,24,Stim48hr
EGR1,0.2796050906181335,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,56,Stim48hr
ZC3HAV1L,0.2795966565608978,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,20,Stim48hr
WDR77,0.2795215547084808,CD2,ALEFACEPT,False,71,Stim48hr
ITGAL,0.2795005142688751,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,True,119,Stim48hr
ZNF519,0.2794594764709472,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,25,Stim48hr
TCEANC2,0.2793384194374084,CD2,ALEFACEPT,False,57,Stim48hr
ZNF106,0.2793203294277191,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,44,Stim48hr
NUCB2,0.279278963804245,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,23,Stim48hr
GTF2IRD1,0.2791920900344848,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,92,Stim48hr
HSP90B1,0.2791827619075775,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,118,Stim48hr
BLTP1,0.2791022658348083,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,26,Stim48hr
ACOT8,0.2789809107780456,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,32,Stim48hr
ZBTB14,0.2788771092891693,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,230,Stim48hr
PODXL,0.2787745594978332,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,98,Stim48hr
TMEM192,0.2787739634513855,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,23,Stim48hr
LDB1,0.2787107527256012,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,57,Stim48hr
RNF145,0.2786953747272491,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,88,Stim48hr
AGAP3,0.2785475850105285,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,13,Stim48hr
AK3,0.278355211019516,AHR,TAPINAROF,False,143,Stim48hr
