ensg,gene,n_reg,coef_beta,se_beta,p_beta,signed_log10p,fdr
ENSG00000109861,CTSC,10967,0.04177823591427289,0.009491644893439176,1.0848194517812702e-05,4.964642536119407,0.0531629258003515
ENSG00000065882,TBC1D1,10967,0.04106655183467902,0.009488627884775414,1.5182051243092373e-05,4.818669547058949,0.0531629258003515
ENSG00000135074,ADAM19,10967,0.04072253915284046,0.009489658796879089,1.7919172633283068e-05,4.7466820465207045,0.0531629258003515
ENSG00000151651,ADAM8,10967,0.039872580378164185,0.00948883636037986,2.6660213537208876e-05,4.574136376390273,0.0531629258003515
ENSG00000169896,ITGAM,10967,0.03955890479612793,0.009492082169824924,3.102290943416738e-05,4.508317474995901,0.0531629258003515
ENSG00000122694,GLIPR2,10967,0.039039152175405344,0.009489116076375516,3.9153718109455454e-05,4.407226990240849,0.05751121851448871
ENSG00000125734,GPR108,10967,0.038537756016178766,0.009489457459237717,4.917914331934704e-05,4.30821904076446,0.06320749395119078
ENSG00000134901,POGLUT2,10967,0.037970583231446815,0.009490498042437946,6.35153780878717e-05,4.1971211123436225,0.06915287824003528
ENSG00000154153,RETREG1,10967,0.037839615578565786,0.009489977015425352,6.725625193545544e-05,4.17226733876246,0.06915287824003528
ENSG00000137078,SIT1,10967,0.03746074250524892,0.00948974815760939,7.946613258686414e-05,4.099817922468879,0.07427916138710337
ENSG00000186104,CYP2R1,10967,0.037196875317286264,0.009489610265133015,8.918089716012956e-05,4.0497281629604664,0.07442668464685205
ENSG00000116489,CAPZA1,10967,0.036891539065262366,0.009489640828484356,0.00010185423706140778,3.992020899956755,0.07442668464685205
ENSG00000153250,RBMS1,10967,0.03674594628266116,0.009490202076391428,0.00010857812387694813,3.9642576667964575,0.07442668464685205
ENSG00000168071,CCDC88B,10967,0.036466495130736236,0.00948993291567453,0.00012239937129565175,3.9122208129382554,0.07681674649005303
ENSG00000086300,SNX10,10967,0.03639086710919654,0.009492702299984139,0.00012700687515375427,3.896172769118679,0.07681674649005303
ENSG00000168216,LMBRD1,10967,0.03623200423734647,0.00949527318942899,0.00013649161934554182,3.8648940137054413,0.07796704611727005
