gene,gwas_score
TRIM8,0.082018
MGST1,0.081993
BCAR1,0.081814
TRIM46,0.081798
MED1,0.081568
LIPF,0.081470
RETREG3,0.081443
TMPRSS3,0.081422
PLSCR1,0.081406
COMMD6,0.081350
LURAP1L,0.081314
NMRK1,0.081314
PRSS12,0.081279
SNN,0.081216
CPQ,0.081188
CFAP126,0.081172
NBPF1,0.081156
SSTR3,0.081141
AQP5,0.081064
HCN3,0.081059
PLPPR4,0.081049
IFT74,0.081034
PCNA,0.081020
POGLUT1,0.080856
PAQR3,0.080815
QNG1,0.080806
PPP3R2,0.080676
ITIH5,0.080673
FOXF2,0.080433
KCNJ1,0.080413
CALHM3,0.080401
ULK3,0.080369
LPAR3,0.080340
STXBP5,0.080294
CYP20A1,0.080280
DNAAF5,0.080243
TUBB3,0.080210
FBXO40,0.080205
LCE1C,0.080143
YY1AP1,0.079976
ZNF276,0.079929
CARM1,0.079929
TBC1D10A,0.079908
OXER1,0.079861
TBR1,0.079794
SPRR2G,0.079785
MRPL47,0.079778
ZBTB34,0.079741
SMYD5,0.079740
MMRN1,0.079710
FABP4,0.079654
CLIP2,0.079607
MRPS6,0.079599
MAPKAPK5,0.079588
COPG1,0.079583
EIF2AK2,0.079550
PTX3,0.079508
NSG2,0.079502
CEP78,0.079464
ZBED4,0.079429
SERPINI1,0.079423
WDR49,0.079423
CELA3A,0.079407
NUAK1,0.079371
MAPK13,0.079317
AVEN,0.079316
CMPK2,0.079249
SLC38A4,0.079194
STIMATE,0.079177
FUT4,0.079173
MRFAP1L1,0.079143
NAB2,0.079077
RFK,0.079012
TSPAN13,0.078951
MRM2,0.078906
ANKH,0.078717
SCAI,0.078649
ANO10,0.078620
COL6A1,0.078585
DSG4,0.078581
TBC1D22B,0.078529
PHF12,0.078474
CSNK2A1,0.078392
TMEM209,0.078392
TMEM185B,0.078384
POLR2L,0.078361
FGF14,0.078270
MTHFD2L,0.078233
HDGF,0.078177
TUBG1,0.078160
DCAF4,0.078160
FAM3B,0.078123
ATXN7,0.078042
BCAS1,0.077963
TTC23L,0.077950
DSTN,0.077950
SLC6A12,0.077950
RGR,0.077947
SRFBP1,0.077772
MT1HL1,0.077707
ZBTB9,0.077680
SLC38A7,0.077655
BEAN1,0.077655
EIF1AD,0.077654
RLN1,0.077519
PLEKHO1,0.077507
EEF1A1,0.077492
TTF1,0.077466
ZMYND19,0.077427
PPP4R1,0.077425
EPSTI1,0.077407
INTS15,0.077383
SP5,0.077269
LEFTY1,0.077191
CCDC172,0.077166
ATRAID,0.077047
BEND7,0.076980
UBE2D1,0.076952
RUFY4,0.076848
CYRIA,0.076841
OR8D1,0.076813
RMI1,0.076795
SLC9C2,0.076782
ACP2,0.076771
OR4B1,0.076745
AADACL4,0.076671
HNRNPDL,0.076661
PPAN,0.076655
SYDE2,0.076641
TRMT11,0.076628
UTP11,0.076620
CFAP184,0.076603
POLR1A,0.076457
TMEM177,0.076451
LRIT1,0.076407
GPR27,0.076354
MYEF2,0.076303
PNPLA8,0.076248
TPD52L2,0.076223
TLCD5,0.076197
ELANE,0.076176
DNAAF2,0.076158
MX2,0.076153
TEX50,0.076116
CRIP1,0.076107
PSMA8,0.076081
HPX,0.076007
OLFM1,0.075918
DKK4,0.075901
MFF,0.075877
ABCF2,0.075837
UMAD1,0.075751
CRIP2,0.075716
HSPA12B,0.075714
DHRS3,0.075563
CACNG1,0.075550
SLC17A3,0.075491
CX3CL1,0.075471
SDC1,0.075445
DYDC1,0.075360
STAMBP,0.075319
TCHH,0.075305
SLC7A5,0.075228
DCTN6,0.075228
PIWIL4,0.075137
CSTA,0.075104
E2F3,0.075091
DUSP12,0.075081
WDR27,0.074981
TFF3,0.074838
MFAP1,0.074834
SFR1,0.074821
TOMM7,0.074781
CRHR1,0.074755
LPA,0.074745
CEP97,0.074689
PDIA5,0.074622
ABRA,0.074581
OSTF1,0.074519
KCNAB1,0.074505
PLD3,0.074482
TIMM22,0.074479
FGFBP1,0.074461
TRMT5,0.074446
SMC3,0.074373
ZBTB41,0.074357
MRPS15,0.074352
CHKB,0.074182
GLYAT,0.074152
TTC13,0.074069
SERPINB2,0.073992
SRPRA,0.073984
FAM3A,0.073921
RELA,0.073921
KCNA7,0.073921
OR51B2,0.073921
RNF146,0.073896
MPHOSPH6,0.073856
AZI2,0.073853
DRC4,0.073827
PLAA,0.073808
TEX15,0.073796
CFL1,0.073731
USP15,0.073683
MAP4K2,0.073645
KPNA3,0.073626
JMJD1C,0.073541
C4BPA,0.073533
MBNL2,0.073484
FAM53A,0.073480
EPRS1,0.073398
EIF4E3,0.073346
PDP2,0.073319
KLB,0.073242
ATG101,0.073180
ARL8B,0.073164
CLN5,0.073099
RTP4,0.073059
PLSCR2,0.073027
CCDC102B,0.073027
TC2N,0.073023
RAMACL,0.073022
ARMC2,0.072993
NTRK2,0.072971
FBXO45,0.072861
GLRA3,0.072839
GOLGA4,0.072773
IER3IP1,0.072762
ANKRD36,0.072755
TINAG,0.072742
TMEM242,0.072680
SNX17,0.072574
TTYH1,0.072561
TARM1,0.072561
REC8,0.072561
KERA,0.072552
AZU1,0.072549
YTHDF2,0.072522
MAPRE1,0.072388
CCN3,0.072371
NRL,0.072325
DYM,0.072260
SIRPB2,0.072259
MROH9,0.072222
SRI,0.072198
CLK2,0.072144
REXO2,0.072131
DTNBP1,0.072088
BFAR,0.071875
LTV1,0.071869
KLF14,0.071863
POP7,0.071783
ANKRD45,0.071663
SNRNP70,0.071658
TCF15,0.071639
SSMEM1,0.071639
KIF14,0.071633
DPH7,0.071628
SCRG1,0.071560
BARHL2,0.071498
LRRC57,0.071443
PRCP,0.071360
HOATZ,0.071324
TAX1BP1,0.071247
OPRD1,0.071239
KIF26A,0.071181
AMN,0.071169
NGFR,0.071111
FAM25A,0.071111
EGFR,0.071086
WNT3,0.071075
IDH1,0.071044
FNBP1L,0.071014
CACNG8,0.071010
ATAD1,0.070911
HMMR,0.070860
OPRM1,0.070854
ANTKMT,0.070850
C1orf105,0.070756
DLG3,0.070724
PCCB,0.070722
CLEC14A,0.070621
COQ9,0.070596
EMG1,0.070540
FIG4,0.070520
CALML3,0.070491
CRTAP,0.070454
ZNF302,0.070413
DSG2,0.070385
SUPT20H,0.070351
STIP1,0.070230
FGFBP2,0.070220
HSD17B2,0.070171
TAGLN,0.070138
GATAD2B,0.070120
WDR73,0.070102
THSD4,0.070083
URAD,0.070062
RHEB,0.070031
CTXN2,0.069859
CAV3,0.069822
DPH5,0.069792
PRDX1,0.069749
KLHL18,0.069717
CCDC89,0.069682
CCDC83,0.069682
GALNT12,0.069675
HOXD12,0.069526
ING1,0.069516
HEXIM2,0.069496
SLC5A6,0.069452
SHARPIN,0.069373
TBX19,0.069331
MRPL20,0.069204
ADGRD2,0.069101
KRT222,0.069067
RHOB,0.069062
PRR18,0.069062
ADRA1B,0.069061
BNIP3L,0.068999
TCAIM,0.068941
S100A6,0.068933
TCAP,0.068881
FBLL1,0.068861
CPLX4,0.068764
PBX3,0.068743
GPR15LG,0.068741
TRAK2,0.068689
IRF2BPL,0.068681
HMGB1P1,0.068681
HMCES,0.068614
ETFRF1,0.068520
TEKTIP1,0.068493
AOC3,0.068456
AP5Z1,0.068351
RIMBP3C,0.068300
MACROH2A1,0.068286
NOA1,0.068091
SLC4A5,0.068082
CBL,0.068082
CYP17A1,0.068022
ARMS2,0.068020
PCSK7,0.067996
GDPD4,0.067985
C5,0.067940
UNC13D,0.067915
RSPO2,0.067891
BRS3,0.067864
TIAM2,0.067720
NR1H3,0.067605
TSHB,0.067544
H2AP,0.067530
TSLIG3A,0.067487
CLK1,0.067440
CSRP3,0.067438
NSG1,0.067435
ANGPTL3,0.067421
CLEC4F,0.067368
ACSM2A,0.067363
MYBPC3,0.067345
PPP1R42,0.067317
GPLD1,0.067277
CEP192,0.067237
SPATA46,0.067236
KNOP1,0.067214
PDGFA,0.067130
MTERF1,0.067109
HPS5,0.067101
DCP1B,0.067062
HIC1,0.067054
SCN9A,0.067006
MYO1B,0.066961
MYCT1,0.066910
CLEC2B,0.066905
NIPSNAP2,0.066837
SLC4A8,0.066821
GNAI1,0.066800
GRPEL1,0.066790
INTS10,0.066782
PCNP,0.066705
TIMM9,0.066701
IDNK,0.066682
ABCC4,0.066662
CALHM1,0.066623
INSYN2A,0.066590
ZDHHC11B,0.066544
NCR3LG1,0.066539
DMTF1,0.066506
GDPD3,0.066505
MARS1,0.066460
MAST3,0.066375
LRRN2,0.066362
TMEM144,0.066281
IFNA5,0.066275
CNIH1,0.066270
NPIPB8,0.066238
TESMIN,0.066207
HES1,0.066199
PAPSS1,0.066195
SUB1,0.066183
ZC3H7B,0.066143
LRRC31,0.066116
MAN1C1,0.066091
PIK3C2G,0.066073
SMARCC2,0.065997
CLCA2,0.065961
SLC15A3,0.065957
MBP,0.065954
ERMN,0.065949
ANKRD13C,0.065926
RAC1,0.065900
YIPF7,0.065896
AGFG1,0.065882
C1orf116,0.065726
ASIC5,0.065708
APOA1,0.065701
GTPBP8,0.065645
ACSM2B,0.065636
LYRM2,0.065627
SOCS3,0.065610
HTR6,0.065579
SERPINB10,0.065578
ZFP91,0.065544
NRDC,0.065542
APIP,0.065487
ARHGEF12,0.065468
NHLRC1,0.065438
TXNL4B,0.065324
CREB3L3,0.065304
IL26,0.065278
QRICH1,0.065274
ACTA1,0.065258
EPHB3,0.065258
KCMF1,0.065241
CDKN1C,0.065212
RIPK4,0.065202
ANKRD33B,0.065184
TRIM65,0.065179
FGD5,0.065154
MELTF,0.065154
SIX4,0.065154
IL16,0.065145
PDCL3,0.065130
ZBTB11,0.065099
THAP10,0.064812
TBPL1,0.064805
CEP104,0.064745
ACTC1,0.064743
C1QTNF2,0.064725
HLF,0.064714
KAT2B,0.064698
KIR3DL2,0.064689
CLEC7A,0.064683
SAA4,0.064683
OR6C3,0.064683
EFCAB13,0.064482
POLR3G,0.064466
LAMTOR2,0.064462
APCDD1L,0.064433
KCNE1,0.064405
LIPK,0.064359
NR1I3,0.064327
FYB2,0.064314
SMIM39,0.064177
COLEC10,0.064099
PDIA2,0.064089
NHS,0.064074
FMNL2,0.064027
NKX3-2,0.063935
SP2,0.063859
ALPK1,0.063847
MRPS33,0.063799
BLZF1,0.063775
ZNF829,0.063725
ZNF420,0.063725
KBTBD12,0.063692
VDAC1,0.063664
PPIAL4A,0.063662
OR9K2,0.063660
EMP1,0.063653
PPP2R1B,0.063590
SPRR2E,0.063546
ERP29,0.063474
SNTG2,0.063422
RTEL1-TNFRSF6B,0.063402
MAPRE2,0.063399
DMRT3,0.063365
JRKL,0.063323
LMX1B,0.063300
KCTD18,0.063299
TRAPPC4,0.063296
S100A7A,0.063271
USP3,0.063251
NAALAD2,0.063147
MOB4,0.063146
PLAC9,0.063135
GOLGB1,0.063091
TOMM22,0.063066
KPLCE,0.063066
SLC6A1,0.062865
DLK1,0.062791
PHPT1,0.062777
ZNF407,0.062774
TBC1D2B,0.062755
BMP7,0.062755
KAT6B,0.062660
TDO2,0.062616
GABRA5,0.062608
DCAF1,0.062607
PSMC1,0.062603
CNTNAP1,0.062559
ACBD4,0.062527
IARS2,0.062497
ATRX,0.062494
AP3B1,0.062487
CAP2,0.062485
RBM6,0.062483
CD81,0.062480
LARP1B,0.062462
MTO1,0.062433
AP5M1,0.062389
FOXO3,0.062362
MRPL36,0.062329
FAM228A,0.062312
ATP5F1B,0.062271
LCE1D,0.062162
TAF5L,0.062161
LRAT,0.062159
LRRC9,0.062145
BTG4,0.062139
AMY1A,0.062132
NCAN,0.062109
DEPP1,0.062055
GRM3,0.062048
GLI2,0.062032
ITSN2,0.062021
FAM43B,0.061998
RPL26L1,0.061978
ACSM5,0.061951
NAT1,0.061905
RPN1,0.061862
TRNT1,0.061837
ISOC1,0.061820
CRACDL,0.061812
TRIM49B,0.061750
CALCOCO2,0.061731
TTLL6,0.061731
MITD1,0.061714
CALHM4,0.061679
DFFB,0.061668
GPR135,0.061635
SAFB2,0.061628
KLC2,0.061594
OR7A17,0.061567
PHF24,0.061567
RP9,0.061560
TNNI3K,0.061514
ZNF787,0.061509
ACAD11,0.061501
SH3BP2,0.061498
LCE1A,0.061363
RPL10A,0.061328
MBLAC2,0.061326
SESN3,0.061277
IDE,0.061213
SNX21,0.061188
ARMC7,0.061127
HSPA13,0.061070
EFEMP2,0.061042
SARNP,0.061001
MOGAT1,0.060974
PFN4,0.060955
PRXL2A,0.060908
ACSL5,0.060882
POPDC3,0.060882
HARBI1,0.060843
LGI2,0.060830
YPEL5,0.060822
GAS2,0.060796
STAG3,0.060761
KLF9,0.060752
CFAP69,0.060748
PKLR,0.060736
RBM5,0.060718
EXD2,0.060674
CASQ2,0.060652
HSPA14,0.060630
HAVCR2,0.060622
MACROD1,0.060589
CFHR3,0.060586
DBP,0.060581
CFAP73,0.060570
AMPD3,0.060569
NKX6-2,0.060521
C3orf49,0.060494
PP2D1,0.060411
IGFBP1,0.060365
ARPC5,0.060358
UNC50,0.060354
MSH3,0.060354
ZCRB1,0.060354
GTF2E1,0.060354
HGD,0.060354
B3GALT2,0.060354
MATN2,0.060354
TNNI2,0.060311
AK3,0.060292
SLC6A3,0.060288
MRPL38,0.060253
POLR2E,0.060219
FBXO4,0.060191
BAZ2A,0.060136
RBP3,0.060134
HTATSF1,0.060101
SLC27A2,0.060071
BPIFA2,0.059934
EFHC1,0.059912
GPR139,0.059878
RARS1,0.059849
ECHDC1,0.059744
KCNJ12,0.059710
PIKFYVE,0.059702
TRIM9,0.059691
PLD1,0.059591
PHKG1,0.059574
ZHX3,0.059568
NDUFS6,0.059549
DYDC2,0.059483
INF2,0.059351
CCDC77,0.059218
PFDN1,0.059204
FCHSD2,0.059199
TMEM186,0.059176
SLC16A13,0.059092
CPSF2,0.059057
DONSON,0.059035
CHAT,0.058973
OR4D10,0.058941
ZSCAN18,0.058865
QSOX1,0.058865
CALCRL,0.058774
AGR3,0.058715
ACTL6B,0.058714
KCTD6,0.058708
OR5B2,0.058708
ABCA5,0.058697
FNDC8,0.058695
SEC13,0.058695
ABCA6,0.058695
AOX1,0.058687
ARPP21,0.058669
SMIM3,0.058656
MAOB,0.058645
ABCB10,0.058634
IL18,0.058602
KLRF1,0.058596
SLC17A1,0.058563
CLDN34,0.058545
OSM,0.058535
PITRM1,0.058469
DIMT1,0.058423
NAGLU,0.058403
SLC22A24,0.058378
GPHRB,0.058368
RGS2,0.058368
UBXN4,0.058326
NSMCE2,0.058271
PBXIP1,0.058075
SUCO,0.058053
MRPL30,0.058049
CAPN14,0.058045
ATP2A2,0.058040
LGR5,0.058011
E2F7,0.058011
NUDCD2,0.058011
RETREG1,0.058007
OAS2,0.057980
SLC6A13,0.057970
PRUNE2,0.057964
ZNF474,0.057947
CHST12,0.057927
RBMS1,0.057916
ASB8,0.057915
AFP,0.057906
TBCA,0.057883
REG1A,0.057782
S1PR5,0.057769
RIC8B,0.057745
AVPI1,0.057714
KLHDC7B,0.057589
CES5A,0.057502
DYNC1I1,0.057472
SLC13A4,0.057468
RTTN,0.057443
GDF15,0.057429
CYP4F2,0.057357
IGFL3,0.057357
PPIAL4C,0.057357
ERGIC3,0.057357
SNX6,0.057294
DOK4,0.057273
DUT,0.057167
ARMH4,0.057164
MSH6,0.057127
RBBP6,0.057035
ZBTB17,0.057023
IL22RA1,0.056889
CREG2,0.056882
RBM34,0.056856
ABHD14A,0.056848
VWA8,0.056842
SLC19A3,0.056824
ADIPOR2,0.056804
SLC2A9,0.056794
PDHX,0.056730
CDKN2C,0.056725
MAU2,0.056655
HK3,0.056634
ZMAT3,0.056631
RNF8,0.056611
ISG20,0.056587
NT5M,0.056587
TESK2,0.056581
MTMR2,0.056568
NEU2,0.056438
ORMDL2,0.056367
SRR,0.056341
CFHR4,0.056320
WNT8A,0.056297
IRX5,0.056171
NAA80,0.056104
DHX38,0.056093
ACSM4,0.056083
RPL24,0.056022
ITGAD,0.055968
TMCO5A,0.055946
NT5C1B,0.055946
IFNA10,0.055938
GUF1,0.055903
POU1F1,0.055888
HYAL3,0.055869
PGGT1B,0.055839
SAMD9L,0.055776
BNC1,0.055769
KIAA1671,0.055749
RNGTT,0.055724
FAM216B,0.055724
SUMO4,0.055644
PPM1F,0.055629
TSPO2,0.055601
HEATR1,0.055595
FITM2,0.055583
FAM133B,0.055505
SERINC1,0.055474
ASB17,0.055465
SPATA2L,0.055461
SMUG1,0.055434
VILL,0.055393
OR4D11,0.055387
MAFK,0.055359
NBN,0.055354
MLKL,0.055329
MPC1,0.055325
EIF2AK3,0.055299
KLHDC1,0.055291
GOSR2,0.055274
FEZF2,0.055270
SERPINB12,0.055261
ZNF750,0.055253
POC1A,0.055221
RILPL2,0.055171
SPATA6L,0.055167
NACA,0.055153
AKAP12,0.055148
RYK,0.055130
GNGT1,0.055130
IL36A,0.055080
AGR2,0.055079
FGF1,0.055070
TYW5,0.055067
N4BP1,0.055033
EID1,0.055020
ZNF619,0.055020
EPB41,0.054975
DOP1B,0.054952
AHSP,0.054945
DEFA6,0.054945
ATG4B,0.054904
ATP5PO,0.054898
STRADB,0.054849
TRMT10C,0.054830
CRISPLD1,0.054819
RASSF7,0.054816
USP4,0.054794
SIRAL1,0.054770
S100A5,0.054746
DYNLT2,0.054708
USP45,0.054702
CARD6,0.054675
FZD8,0.054660
MARCHF9,0.054594
HSPB7,0.054563
POLE2,0.054535
HIBCH,0.054533
GPRC5B,0.054525
MAIP1,0.054511
ITK,0.054472
TMEM220,0.054463
PCDH12,0.054463
RCC2,0.054463
CFL2,0.054452
ORM2,0.054408
PLCB3,0.054395
FAM163A,0.054383
NTPCR,0.054248
SLC5A7,0.054227
MYSM1,0.054227
OBP2B,0.054223
ASB7,0.054206
CRYBG3,0.054200
PTGDS,0.054113
CD55,0.053985
LILRA6,0.053955
P2RY11,0.053916
CAPN13,0.053914
GARIN1A,0.053906
USP19,0.053897
FAM91A1,0.053853
PON2,0.053826
MRGPRF,0.053807
VIP,0.053802
BFSP1,0.053784
ENSA,0.053769
SCAF4,0.053747
SLC25A26,0.053698
CIROP,0.053638
DPM1,0.053638
SLC5A11,0.053619
DCAF5,0.053601
EIF2AK4,0.053573
RPL37A,0.053573
KLHDC2,0.053564
PTGS2,0.053548
TM6SF2,0.053547
CADPS,0.053476
GPX3,0.053432
NCLN,0.053422
ANKRD34C,0.053406
GLB1L2,0.053388
ANKRD23,0.053378
PHOX2A,0.053347
BLOC1S4,0.053347
STOML2,0.053347
APOLD1,0.053347
TPRX1,0.053347
DCSTAMP,0.053309
GDF5,0.053298
NKX6-3,0.053276
SEMA4F,0.053272
FXYD6,0.053267
RPA1,0.053255
SCN3B,0.053185
BRIP1,0.053167
DECR1,0.053155
SLC39A2,0.053151
NKX2-8,0.053099
TMEM184A,0.053050
KDSR,0.053029
RAB22A,0.053021
GALNT6,0.053014
SOSTDC1,0.052998
MIEN1,0.052972
SMYD4,0.052930
PPP6C,0.052927
GEN1,0.052923
MAFF,0.052873
B3GALT6,0.052862
SLC22A10,0.052861
DNAJB8,0.052851
SPAM1,0.052848
FBXW2,0.052753
S100A10,0.052753
PIP5K1B,0.052734
BBC3,0.052669
R3HDM4,0.052658
DSC2,0.052606
PSMG3,0.052603
LRTM3,0.052590
CHD1,0.052590
CFAP300,0.052588
FAM25C,0.052571
IL5RA,0.052548
EIF3C,0.052544
SLC66A3,0.052510
RDX,0.052483
B3GALNT1,0.052483
ZNF777,0.052483
MTA3,0.052424
SSTR4,0.052393
BHMT,0.052321
SLC4A7,0.052292
TRMO,0.052264
SS18L1,0.052261
TECTB,0.052162
JDP2,0.052160
CDNF,0.052116
INPP1,0.052104
CROCC,0.052055
NRG4,0.052035
TLR6,0.052026
C4BPB,0.051980
KDM1B,0.051921
CCT4,0.051895
ASTN1,0.051786
SPRYD4,0.051763
NLRC3,0.051744
SLC2A13,0.051722
GK,0.051707
KRT28,0.051664
RBMXL2,0.051664
GFM1,0.051639
ZNF354C,0.051598
KANSL1,0.051556
SPRR3,0.051544
TOMM40L,0.051539
A2ML1,0.051479
EXOC6B,0.051471
GADD45A,0.051469
RAD54B,0.051448
SPDYA,0.051404
NDUFAF6,0.051311
LCE1E,0.051289
CYSTM1,0.051245
SRC,0.051235
UGDH,0.051206
NUDT4,0.051152
PLCD4,0.051140
TMOD4,0.051125
ELFN1,0.051112
CSPG5,0.051106
ARSJ,0.051082
OR10H1,0.051068
CNEP1R1,0.051063
APOL5,0.051048
SMIM15,0.051048
KCTD17,0.051026
CDK12,0.050972
GNGT2,0.050970
IQCC,0.050963
ZBTB49,0.050959
GUCA1A,0.050953
TMEM117,0.050894
CREB3L1,0.050836
PREX2,0.050828
RB1CC1,0.050817
SPTSSB,0.050725
HYAL1,0.050714
POP4,0.050695
TRMT1L,0.050667
AKT1,0.050620
UHMK1,0.050592
NEK11,0.050587
CD151,0.050579
EXOC5,0.050564
PKD1L2,0.050552
C3orf62,0.050519
AMY2A,0.050518
POLR2B,0.050518
BEND5,0.050468
TEAD1,0.050460
APOC2,0.050422
APOC4,0.050422
C6orf141,0.050407
SLC30A6,0.050407
CYP4F3,0.050300
TLR9,0.050242
LRRC72,0.050143
CST5,0.050141
GLYR1,0.050106
CTTNBP2NL,0.050104
SCO1,0.050099
PMCH,0.050099
SPRR2A,0.050080
DNAJC11,0.050058
LCN1,0.050007
CARNMT1,0.049966
PDGFRA,0.049900
GLRA1,0.049862
CD59,0.049861
CORO1A,0.049852
ZDHHC24,0.049840
FAM131B,0.049824
EXOSC9,0.049820
CEBPB,0.049801
ADAMTSL4,0.049790
IFNA1,0.049777
RAB3GAP2,0.049745
UBE2L5,0.049726
IMPDH1,0.049697
NT5DC2,0.049696
REG1B,0.049679
OR4A47,0.049675
UNK,0.049614
DNAJC6,0.049585
NAPG,0.049583
ARNT,0.049579
DAZL,0.049472
SNU13,0.049398
NDUFS2,0.049375
DAD1,0.049297
CHP1,0.049263
MROH1,0.049263
KCTD4,0.049229
LYPD6,0.049228
PRDM2,0.049228
TNFSF9,0.049198
UBE2G2,0.049198
HEATR5B,0.049179
NBAS,0.049177
LCE1B,0.049153
EPHB4,0.049127
CGRRF1,0.049061
COA5,0.049039
CTSA,0.049038
TRAPPC3L,0.049037
MRPL24,0.049028
PIP4K2C,0.049008
ANKRD9,0.048979
ATP13A5,0.048969
KCNAB2,0.048882
MRPL33,0.048845
DENND4C,0.048844
OR8D2,0.048826
ORM1,0.048809
HIBADH,0.048779
GALNT14,0.048736
SLAIN2,0.048725
ABCA12,0.048713
RXRG,0.048711
DTX3,0.048685
TRAK1,0.048635
PTHLH,0.048628
TUBB8,0.048628
SELENOK,0.048628
CGAS,0.048599
KLRD1,0.048588
LRRC19,0.048518
PHLPP1,0.048492
SLC39A12,0.048473
C10orf71,0.048468
NIT1,0.048379
SH2D7,0.048373
TXNRD3,0.048366
AIDA,0.048276
SPATA33,0.048268
GOSR1,0.048249
DALRD3,0.048207
PSEN2,0.048194
ZSCAN30,0.048185
SMC6,0.048181
NDUFS4,0.048159
CCNI,0.048125
USP43,0.048118
GRPEL2,0.048081
SEMA3A,0.048072
MRPL42,0.048066
BZW2,0.048066
LRRK1,0.048055
TMPRSS12,0.047965
SPMIP2,0.047949
CUL4B,0.047910
KYAT1,0.047907
TPMT,0.047896
SAMD3,0.047889
ARHGAP1,0.047854
RPL18,0.047849
CCNL2,0.047831
TAS2R1,0.047819
PSMA7,0.047819
RASSF5,0.047805
PLEKHH3,0.047767
ZNF417,0.047729
SENP1,0.047648
MAP1LC3B,0.047628
ALDH5A1,0.047602
MEX3B,0.047592
TEX30,0.047592
PBK,0.047592
CACNA1B,0.047558
LAMA4,0.047536
DCPS,0.047507
CYP1A1,0.047478
CHRAC1,0.047461
VTA1,0.047455
NCMAP,0.047418
LAMA2,0.047409
ALPI,0.047319
CXXC4,0.047259
MRPS28,0.047187
ERMP1,0.047174
FAM124A,0.047130
DLAT,0.047084
PKD1L1,0.047083
NMBR,0.047082
ABCC11,0.047046
SNRPA1,0.047038
URB2,0.047029
FCMR,0.046995
ANO7,0.046990
OIP5,0.046957
ZNF678,0.046939
KCNT2,0.046860
CMTR1,0.046851
KRTAP8-1,0.046843
RPSA2,0.046836
ALLC,0.046836
PTH1R,0.046797
ANKRD36C,0.046795
SSTR2,0.046749
MTA1,0.046742
MACO1,0.046733
OGDHL,0.046715
CNGB3,0.046673
RNF185,0.046664
MGAT4C,0.046641
SLC4A4,0.046641
LTA4H,0.046613
SDC3,0.046611
FAM114A2,0.046535
PA2G4,0.046514
SH2D5,0.046511
SLC25A19,0.046482
SLC26A6,0.046408
ZNF646,0.046374
TMEM45A,0.046350
PPWD1,0.046297
WNK2,0.046282
BCAS4,0.046282
SGPP2,0.046282
CNTN3,0.046282
DNM1L,0.046282
PTGFRN,0.046250
BAAT,0.046247
KRTAP21-1,0.046234
CCDC68,0.046234
PLEKHG5,0.046234
KRTAP5-9,0.046234
ATP6V1B2,0.046202
TGFBR2,0.046197
ATP6V1G1,0.046161
IMPG2,0.046063
FXYD2,0.046050
CLDN16,0.045971
GFOD1,0.045970
CTAGE9,0.045958
CNRIP1,0.045841
UBXN8,0.045841
MNX1,0.045841
KLF7,0.045841
CIAPIN1,0.045829
ERICH6B,0.045753
ACMSD,0.045735
ZC3H7A,0.045700
SLC19A2,0.045659
HJURP,0.045617
TMEM175,0.045579
FANCF,0.045543
RHOBTB1,0.045523
SMG8,0.045506
KDELR1,0.045482
RALGPS1,0.045455
MTR,0.045455
RCVRN,0.045433
NDUFA13,0.045377
TNFRSF9,0.045374
SLC18A3,0.045334
CDKL2,0.045331
H1-10,0.045304
C20orf173,0.045304
PKN3,0.045287
PBDC1,0.045283
DDIAS,0.045274
LHFPL7,0.045226
OR6C75,0.045217
OR10H3,0.045217
SPAG4,0.045217
GMPR,0.045216
SSR1,0.045203
KBTBD11,0.045175
RNPC3,0.045099
CYCS,0.045077
ZFYVE1,0.045059
ALDH1B1,0.045039
OR6C76,0.044956
NFKB2,0.044872
NUMBL,0.044852
GALNTL5,0.044835
RABEPK,0.044830
DGKE,0.044785
ASB2,0.044724
MTCL3,0.044719
EEIG2,0.044661
IGDCC4,0.044653
FAM120AOS,0.044640
GRK7,0.044611
XIRP2,0.044530
TMEM201,0.044521
SPRY3,0.044514
STYXL2,0.044506
PTPN23,0.044487
CCL19,0.044485
SIRT1,0.044480
OSTC,0.044470
TMPO,0.044445
CNTLN,0.044429
S100A4,0.044422
AOC2,0.044422
CLEC2L,0.044397
ZNF532,0.044392
BOD1L1,0.044385
RAD54L2,0.044379
SETX,0.044354
SMIM32,0.044347
LCE4A,0.044301
MRPL50,0.044299
PRDM13,0.044287
KRTAP5-4,0.044285
CD27,0.044240
FOXD4,0.044231
ALDOC,0.044226
TGFBRAP1,0.044225
RHPN1,0.044206
GSTK1,0.044206
UBA6,0.044197
DEFA4,0.044195
GABRA1,0.044151
GMPS,0.044134
PAX8,0.044127
FAM107B,0.044088
ANKS6,0.044075
ENPEP,0.044068
ALDH7A1,0.044068
SSUH2,0.044068
TGFB3,0.044066
PEDS1,0.044063
PABPC4,0.044034
MAGEC3,0.043995
SAYSD1,0.043915
UTS2,0.043913
KCNF1,0.043882
LRRTM2,0.043876
BAIAP2L2,0.043865
G3BP1,0.043856
DELE1,0.043856
CMC2,0.043856
PTAR1,0.043856
MGARP,0.043856
STOML3,0.043856
PRDM4,0.043856
HSPA4L,0.043856
ADPRM,0.043856
ABHD18,0.043856
OXR1,0.043838
C1GALT1C1L,0.043779
NRCAM,0.043766
SLC35G3,0.043735
NCAPH2,0.043721
ZNF266,0.043719
HSPB3,0.043715
SAP30,0.043646
AMY2B,0.043646
HPR,0.043646
H6PD,0.043600
LRRIQ1,0.043593
