gene,gwas_score
SLC26A3,0.728386
MLN,0.727793
RORC,0.727353
KDELR2,0.727108
RASGRP3,0.726633
IPMK,0.726549
HDAC7,0.725846
COG6,0.725536
ARRDC1,0.725144
ELAVL2,0.724458
SNX20,0.723133
DCLRE1B,0.722549
ADAD1,0.722442
REL,0.722417
BATF3,0.722340
CDYL2,0.721876
IGF2BP2,0.721402
TERT,0.720817
SPSB1,0.720199
SPOCK1,0.719939
FAP,0.719491
DAP,0.718945
MYO16,0.718650
PDE10A,0.718234
TSPAN18,0.718165
IL1R1,0.717890
ARHGAP15,0.717411
ZNF438,0.717275
SLC9A4,0.716812
STAT6,0.715715
CDK6,0.715664
PLD4,0.715366
IFNAR2,0.715366
IKZF1,0.715145
TLE1,0.715083
CD69,0.714803
PLXNA4,0.714171
ERBB3,0.714148
TGFB2,0.713871
CSF2RB,0.713719
LRATD1,0.713106
AFF1,0.712624
FADS2,0.712526
GPSM1,0.712407
ERGIC1,0.712405
CXCL13,0.712126
FOXA2,0.711892
TENM3,0.711321
THEMIS,0.710911
SERPINA1,0.710812
POMC,0.710138
TICAM1,0.707958
SP3,0.707275
NOVA1,0.707130
SETBP1,0.707124
SLC34A1,0.706123
HAPLN1,0.705965
TOX,0.705956
ALK,0.705568
PLEKHA1,0.705532
MBIP,0.705520
CNTNAP2,0.705105
CDCA7,0.705072
TOX2,0.704969
CUL2,0.704953
PIP4K2A,0.704712
PRDM11,0.704122
JARID2,0.703610
ATG5,0.703488
RGS14,0.703102
SLC39A11,0.703035
FCGR2B,0.703018
CCDC80,0.702880
PTPRK,0.702838
RREB1,0.702777
IP6K3,0.702459
BATF,0.702297
RIN3,0.701372
CARD14,0.700857
ELF1,0.700485
BNC2,0.699050
NEU4,0.698797
FUBP1,0.698482
TNFAIP8,0.698117
ANK3,0.697555
RPTN,0.697403
SWAP70,0.696662
SPATA13,0.696599
SNAPC4,0.696272
EPHB1,0.696219
CDCA7L,0.696175
TBL1XR1,0.696132
CFH,0.695938
AGBL1,0.695859
TMEM151B,0.695025
SIRAL2,0.694932
DUSP22,0.694297
NAB1,0.694238
MBL2,0.693094
SAMD5,0.693039
XCL2,0.693021
KCNQ1,0.692688
PTGER4,0.692211
POU5F1B,0.690803
NRROS,0.690306
PATJ,0.689202
GNPDA1,0.688976
RAD51B,0.688603
IRAK1,0.688409
GFI1,0.687810
IL1R2,0.687638
ZBTB10,0.687266
CAPZB,0.687197
SLC1A2,0.687176
IL2,0.687087
CASZ1,0.686918
KIT,0.686777
PRR16,0.686355
ADAP1,0.686349
NLGN1,0.685942
ITGAL,0.685697
AKAP11,0.684636
ST8SIA4,0.684362
MYL2,0.684101
TNFRSF6B,0.683997
ERAP2,0.683859
IKBKB,0.683427
SLC22A5,0.683252
TXNDC11,0.683032
IL19,0.683018
SLC30A8,0.682033
TRIB2,0.681738
MYRIP,0.681545
GNA12,0.681024
RBM17,0.680954
TREH,0.680797
BRD7,0.680530
DAW1,0.680228
MDGA2,0.680132
CCDC122,0.679837
IDUA,0.679836
CUX2,0.679479
MANBA,0.678929
GPR174,0.678790
C11orf21,0.678753
CRTC3,0.678699
ACAP1,0.678176
GLB1,0.678098
TNS3,0.678036
CENPW,0.677914
PRAG1,0.677853
FHIT,0.677755
TET3,0.677579
PHLDB1,0.676978
LRRC4C,0.676959
AGPAT4,0.676303
LRP1B,0.676238
DAGLB,0.675878
HORMAD1,0.675825
FRMD4A,0.675632
HECTD4,0.675547
CDH13,0.675492
FAM167A,0.675343
ANGPT1,0.675237
SLC15A2,0.675228
OTULIN,0.675109
PPP5C,0.675015
PDZRN3,0.674843
IL12RB1,0.674317
ANXA11,0.674133
KCNH7,0.673629
CD274,0.673276
SMYD2,0.673073
THSD7A,0.673042
ARAP2,0.672963
DRC5,0.672622
NOS1AP,0.672290
HBS1L,0.671676
ZNF366,0.671388
BMF,0.671147
GPR12,0.670902
XKR6,0.670592
RBMS3,0.670370
RAPGEF5,0.669957
ZNF774,0.669659
CMC1,0.669382
ADAMTS1,0.668610
GUCY1A2,0.668424
CD200R1,0.668167
QRFPR,0.668137
ALOX15,0.668057
CEP128,0.667818
CUL1,0.667618
PTPRG,0.667333
RPS26,0.667196
MAST4,0.667185
PDCD1,0.665909
ADAMTS2,0.665633
TGFBR3,0.665499
AARS2,0.665195
TMEM132D,0.665194
TRPC7,0.664874
ZDHHC12,0.664531
NRP2,0.664468
RORA,0.664163
ITPK1,0.664147
PACSIN1,0.664038
TRPS1,0.663658
FIGNL1,0.663356
SCUBE3,0.663347
SLC9A8,0.663045
PGM1,0.662736
PAPOLG,0.661366
P4HA2,0.661054
CSMD3,0.660880
MTFR1,0.658995
ADISSP,0.658642
NRG3,0.658526
ABCB5,0.658461
TRAT1,0.658291
SLC25A15,0.658270
SOX14,0.658236
TSPAN9,0.658186
DNMT3B,0.658021
MARCHF1,0.657955
CPVL,0.657635
ZNF704,0.657598
SLC8A1,0.657563
SH2D2A,0.657534
NPAS2,0.656947
ARMC12,0.656674
ASAP1,0.656425
ELL2,0.656382
FAS,0.656201
SLAMF6,0.655851
MFN2,0.655476
NEK7,0.655359
KSR1,0.654927
CLVS1,0.654911
EGR2,0.654807
SMURF1,0.654609
PHF19,0.654591
CEP120,0.654400
CYLD,0.654376
SEMA6D,0.654314
KCND3,0.653737
NDP,0.653729
GLP1R,0.653689
TPCN2,0.653532
KCNK2,0.653450
BEND3,0.653390
DUSP5,0.653357
NAV2,0.652874
TTC6,0.652666
EXOC2,0.652552
CSF2,0.652500
ADGRL3,0.652399
SIPA1L2,0.652268
EPHA4,0.652186
GNG4,0.652168
HDGFL1,0.651773
