gene	gene_id	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	rest_coef_beta	rest_se_beta	rest_signed_log10p	stim8hr_coef_beta	stim8hr_se_beta	stim8hr_signed_log10p	stim48hr_coef_beta	stim48hr_se_beta	stim48hr_signed_log10p	polarization_score
ABCA2	ENSG00000107331	3.8317e-01	5.4365e+00	0	0.472177	0.012056071954403	0.0095483858538412	0.6845553516745526	-0.0081263579920234	0.0094973292691715	-0.4064791727100882	0.0073043589127048	0.0095550145654283	0.3520168473759529	NA
ABCA3	ENSG00000167972	6.0789e-01	1.2180e+00	0	0.0	0.0018729790899864	0.0095490735449992	0.0733991559155893	-0.0010244748037581	0.0094963341710318	-0.0390100928477381	-0.0018962399736051	0.0095558809405536	-0.074323437752963	6.322697865732218
ABCA4	ENSG00000198691	8.3664e-01	5.0352e-01	0	0.39652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA5	ENSG00000154265	9.0093e-01	5.2590e-01	0	0.058697	-0.0066993130262937	0.0095551247526126	-0.3158356727447503	0.0127490000299961	0.0094964975973884	0.7460241986562804	-0.0102878415556407	0.0095550112714487	-0.5503054978147603	16.047143596730308
ABCA6	ENSG00000154262	9.7655e-01	-6.2655e-01	0	0.058695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA7	ENSG00000064687	1.2705e+00	-3.2055e+00	0	0.0	0.0075291020938138	0.0095541706988421	0.3658367294218393	0.0156153687516368	0.0094955334640333	0.999555439899906	0.0261051807867391	0.0095536081148113	2.2009448600598196	NA
ABCA8	ENSG00000141338	1.0428e+00	-9.9613e-02	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA9	ENSG00000154258	1.0074e+00	1.0479e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB1	ENSG00000085563	5.9354e-01	2.4734e+00	0	0.336469	0.0032956088321318	0.0095495390348618	0.1366646842597109	-0.0016961388496906	0.0094981102614987	-0.0663742541492796	-0.001258748233972	0.0095564994708346	-0.0480745828476776	NA
ABCB10	ENSG00000135776	1.0358e+00	1.7827e+00	0	0.058634	-0.0031930290261383	0.0095500394443331	-0.1318706506001844	0.0050008995240711	0.0094961910623168	0.2229597721364176	0.0022166553194048	0.0095588230304242	0.0879784100426874	NA
ABCB11	ENSG00000073734	7.6126e-01	1.0056e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB4	ENSG00000005471	6.3148e-01	3.4537e+00	0	0.08845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB5	ENSG00000004846	1.2283e+00	-3.3821e+00	0	0.658461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB6	ENSG00000115657	1.0460e+00	6.1645e-01	0	0.0	-0.0197554277241144	0.0095469862849024	-1.4140537113117904	0.0034962439759543	0.0094983939653733	0.1470232966607866	0.0022448815685205	0.009557049358928	0.0892174757414546	NA
ABCB8	ENSG00000197150	8.9785e-01	8.9655e-01	0	0.0	0.0045834137398475	0.0095498909282069	0.1997801498907999	0.0138056530755741	0.0094963392280594	0.8355459188632418	-0.0050014081548273	0.0095575866606015	-0.2212832308689105	NA
ABCB9	ENSG00000150967	7.6695e-01	1.4671e+00	0	0.0	-0.0024234468667746	0.0095503081914956	-0.0970788926939399	-0.0125347093642746	0.0094963759740776	-0.7284362486562309	0.0119122186786784	0.0095564647697464	0.6724274344398466	NA
ABCC1	ENSG00000103222	5.7606e-01	1.7695e+00	0	0.0	-0.0104604199465465	0.0095512659071769	-0.5631075275581229	-0.0062383974854623	0.009500994798956	-0.2911977251312811	-0.0022454630678007	0.0095567959875121	-0.0892452418914719	17.261014932519192
ABCC10	ENSG00000124574	8.9982e-01	1.9618e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC11	ENSG00000121270	1.0428e+00	4.3312e-01	0	0.047046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC12	ENSG00000140798	1.0800e+00	5.5034e-01	0	0.343918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC2	ENSG00000023839	1.0337e+00	2.9989e-01	0	0.0	0.0062707584456495	0.0095489335406077	0.2912481590786671	-0.0108950611321603	0.0094957174940957	-0.5998843856606605	-0.0072616569221098	0.0095555165488988	-0.3493966113665533	NA
ABCC3	ENSG00000108846	8.5103e-01	9.1538e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC4	ENSG00000125257	7.1379e-01	2.1690e+00	0	0.066662	-0.0185896830464473	0.0095473049930263	-1.2877969327049048	-0.0173219197729304	0.0094955312748878	-1.1665576253064034	0.0056775275055017	0.0095551868063001	0.2577445462617804	24.58982952684765
ABCC5	ENSG00000114770	4.6920e-01	5.0605e+00	0	0.0	0.0054108723324154	0.0095490680693532	0.2433856831844025	-0.0153490727107934	0.009497443555872	-0.974302299766257	0.0126254086211762	0.009556269467547	0.7293811258619449	NA
ABCC6	ENSG00000091262	8.6179e-01	1.8863e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC8	ENSG00000006071	8.3980e-01	3.0229e+00	0	0.466784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC9	ENSG00000069431	5.9842e-01	7.6240e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCD2	ENSG00000173208	6.7006e-01	2.3040e+00	0	0.0	0.0123540760303128	0.0095482312863618	0.7083175417179445	0.0219318512714189	0.0095015479017056	1.677691418990593	0.0111938341005058	0.0095550465210133	0.6172275971261214	-11.40117916751702
ABCD3	ENSG00000117528	5.0437e-01	2.7682e+00	0	0.273863	-0.000534488196872	0.0095504039403631	-0.0198280665845752	-0.0066458438440783	0.0094960996357412	-0.3151223980451254	0.0013309231451984	0.0095552611968414	0.0509878506159398	NA
ABCD4	ENSG00000119688	7.7234e-01	1.1573e-01	0	0.0	0.0034736482977179	0.0095488204461992	0.1450681247026256	0.0090777349631443	0.0094961609450704	0.4696402416235233	-0.0032170347309747	0.00955603324854	-0.1328935432925511	26.73421022449591
ABCE1	ENSG00000164163	3.7667e-01	6.2201e+00	0	0.0	-0.0029736285917248	0.0095512761929022	-0.1217348470742378	-0.020554465707035	0.009494728879109	-1.51680825969315	-0.0089695099819773	0.0095563496473293	-0.4584689809291403	NA
ABCF1	ENSG00000204574	7.0200e-01	3.5604e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCF2	ENSG00000033050	6.3271e-01	3.9364e+00	0	0.075837	-0.0081121181022447	0.009548596471929	-0.4027571175781335	-0.0097829112708321	0.009496066372102	-0.5186495334644211	-0.0175686061412534	0.0095537455307756	-1.1807601854561007	NA
ABCF2-H2BK1	ENSG00000285292	6.5498e-01	3.9216e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCF3	ENSG00000161204	8.1249e-01	1.1544e+00	0	0.0	-0.0106788401791307	0.0095490247147215	-0.5792914872934236	0.0009099966178497	0.0094964317245231	0.034487287413975	0.0246759029558123	0.0095524819699241	2.008683653688822	NA
ABCG1	ENSG00000160179	5.7155e-01	2.5627e+00	0	0.086562	-0.0118806081005544	0.0095494859513179	-0.6706304122296649	-0.0050131338180399	0.0095002100185779	-0.2234967395763734	-0.0047564835263914	0.0095551094722538	-0.2085628431626134	NA
ABCG2	ENSG00000118777	1.3100e+00	-1.4868e-01	0	0.0	-0.002180346463448	0.0095484879499162	-0.0865132649022303	0.0106777061571306	0.0094968662427903	0.5835368287308852	-0.0051492270151672	0.0095548443684497	-0.229178787576027	NA
ABCG4	ENSG00000172350	7.1783e-01	3.4641e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCG5	ENSG00000138075	1.2224e+00	-1.1628e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCG8	ENSG00000143921	1.3670e+00	-3.6629e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD1	ENSG00000143994	1.4463e+00	-8.8640e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD10	ENSG00000144827	9.4825e-01	6.1013e-01	0	0.0	-0.0132240543193141	0.0095503781485939	-0.7794106170466703	-0.0045089342835308	0.0095035465057944	-0.1970961794064206	-0.0052212279614129	0.0095554281685214	-0.2329985432804381	NA
ABHD11	ENSG00000106077	1.2449e+00	8.6005e-01	0	0.0	-0.0094047944034192	0.0095485570085256	-0.4885531067501041	0.0109099281748553	0.0094969686620781	0.6008946122059342	0.0086284393868382	0.0095553114039348	0.4358711080951759	NA
ABHD12	ENSG00000100997	9.5111e-01	-3.3794e-02	0	0.0	-0.0019688043613409	0.0095498451865453	-0.0774462563191135	-0.010330232044398	0.0094957327460253	-0.5580358347373597	-0.0146943761765803	0.0095573742013969	-0.9058702615574058	0.4934764378954703
ABHD12B	ENSG00000131969	1.0770e+00	-6.3011e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD13	ENSG00000139826	5.2242e-01	2.1408e+00	0	0.037683	0.0018786921391092	0.0095497840809075	0.0736341191900372	-0.0082321895751199	0.0094995449820433	-0.413202488784486	0.008448901408865	0.0095588754080881	0.4239116336293426	4.866652740852
ABHD14A	ENSG00000248487	1.0322e+00	7.7246e-01	0	0.056848	-0.001063739738587	0.0095494866822552	-0.0403351553428534	0.0063316946711324	0.0095006416438864	0.2965898991516236	0.0065644651202307	0.0095550972080197	0.307955500512457	5.960984085559355
ABHD14A-ACY1	ENSG00000114786	9.5267e-01	1.0234e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD14B	ENSG00000114779	1.8067e+00	6.2634e-01	0	0.213589	-0.0060128959063534	0.0095487315323894	-0.27662637907202	-0.0064183138436887	0.0094960784047976	-0.3017914479430773	0.0132359768819895	0.0095549029036785	0.7798839989743178	-19.177477165736537
ABHD15	ENSG00000168792	1.3175e+00	1.0707e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD16A	ENSG00000204427	6.6778e-01	2.4322e+00	0	0.0	-0.0016538442899607	0.0095490243548575	-0.0642402398012475	0.0110480602563793	0.0094958385449245	0.6114248277323908	0.0059544918504761	0.0095569259664952	0.2730598525644763	NA
ABHD16B	ENSG00000183260	2.0765e+00	-7.2638e-01	0	0.182235	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.077769897304274
ABHD17A	ENSG00000129968	6.3255e-01	3.2972e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00233775215981
ABHD17B	ENSG00000107362	6.0029e-01	2.9114e+00	0	0.0	-0.0116317473224465	0.0095559513888603	-0.650635148099252	-0.0250800368727263	0.0094937319852256	-2.0830370970378858	0.0034431767984134	0.0095567304458719	0.1434894131934892	NA
ABHD17C	ENSG00000136379	6.5188e-01	3.7415e+00	0	0.464979	0.0016296172656639	0.0095484758484387	0.0632409421824118	0.0013721257472724	0.0094959240178311	0.0530021416335837	-0.0181607148285264	0.0095559654867516	-1.2410919025473928	NA
ABHD18	ENSG00000164074	1.0453e+00	4.5966e-01	0	0.043856	-0.0001463646208881	0.0095492004667268	-0.0053436194562561	0.0089577419431928	0.0094963027419379	0.4614831383261403	0.0160771684438737	0.0095573381068477	1.033564262992825	NA
ABHD2	ENSG00000140526	6.0377e-01	2.6504e+00	0	0.0	0.0120646977199997	0.009548611143563	0.6852152306653129	0.0004576801309528	0.0094985547518848	0.0170189452880268	-0.0040313273436427	0.0095554527602094	-0.1719104692821504	-29.27522439527367
ABHD3	ENSG00000158201	1.2041e+00	1.4854e-01	0	0.0	0.0150560664562642	0.0095483524450853	0.939811054803809	0.0153344505048649	0.0094984117472202	0.9727948927969674	0.0212849746655161	0.0095531275063398	1.5867551847228591	NA
ABHD4	ENSG00000100439	1.0982e+00	1.3155e+00	0	0.132198	-0.0105187297831516	0.0095497793485466	-0.5674802971449323	-0.0057881620299558	0.0095005007797497	-0.2657022365103472	-0.0018764745898459	0.009555240469872	-0.0734954524417291	NA
ABHD5	ENSG00000011198	9.0612e-01	5.0468e-01	0	0.295877	-0.0162464108774033	0.0095481575054732	-1.0512278399528048	0.0175297985155371	0.0094963947365029	1.187571340570962	-0.0188976989861935	0.009553571562431	-1.3192537560620452	NA
ABHD6	ENSG00000163686	1.1372e+00	8.8339e-01	0	0.418278	-0.0117819563132228	0.0095483517086314	-0.6630255152566067	0.0050947886711161	0.0094971743855161	0.2279304898539223	0.0019801643848542	0.0095568550829577	0.0778670461731632	-4.944800239755424
ABHD8	ENSG00000127220	5.7848e-01	1.0201e+00	0	0.0	0.0180312896291366	0.0095475424900366	1.229332653364218	0.0115754388019492	0.0094967576813483	0.651861224156195	0.005345503648369	0.0095574578470491	0.2396021680938959	NA
ABI1	ENSG00000136754	4.0109e-01	2.7082e+00	0	0.437914	-0.0071705954031209	0.0095519166166674	-0.3440443739689596	-0.0128124925224704	0.0094979137773067	-0.751116510288919	-0.0039732952577538	0.0095552764026115	-0.1690596711539383	NA
ABI2	ENSG00000138443	5.8977e-01	2.2349e+00	0	0.0	0.0005882716653022	0.0095499541700875	0.0218729295970763	-0.0096164535812556	0.0094958162689853	-0.5069272122916156	-0.0061553243924072	0.0095550603269219	-0.2844458235373804	NA
ABI3	ENSG00000108798	9.1175e-01	8.0144e-02	0	0.0	0.0105363181551117	0.009550292086669	0.5687247202589553	0.0166296618495225	0.0094951684818965	1.0974087175929912	0.0159337745530378	0.0095539983846812	1.020486640459776	-0.0793983043048218
ABI3BP	ENSG00000154175	9.0010e-01	8.4332e-01	0	0.586216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABITRAM	ENSG00000119328	1.2196e+00	1.4951e-01	0	0.0	-0.0026157454998984	0.0095488191721636	-0.105606047918633	0.0026520360333708	0.0094962456842222	0.1078823919857584	-0.018646133539516	0.0095560350061846	-1.2919699138019198	-1.6378931433359183
ABL1	ENSG00000097007	1.9230e-01	4.5023e+00	0	0.0	-0.0088028419435593	0.0095494840976452	-0.4477620859570674	-0.0070609854672014	0.0094961580270416	-0.3399344092067345	0.0032900155966293	0.0095553023614544	0.1363099126122173	NA
ABL2	ENSG00000143322	5.7703e-01	2.3686e+00	0	0.433146	-0.0084607140035379	0.0095485385510151	-0.4252776758470555	0.0079932139633724	0.0094963660787508	0.3979758109254174	0.0038864337739707	0.0095552343161343	0.1648094561357531	-2.1581257140101737
ABLIM1	ENSG00000099204	4.8684e-01	2.0351e+00	0	0.299567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLIM2	ENSG00000163995	6.8226e-01	4.6650e-01	0	0.414441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLIM3	ENSG00000173210	6.8945e-01	1.3364e+00	0	0.440957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABO	ENSG00000175164	1.2805e+00	1.9522e-01	0	0.872104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABR	ENSG00000159842	4.3266e-01	3.8335e+00	0	0.583802	0.0065408518263274	0.009548593785099	0.3068411129215516	0.0164741442855496	0.0094949377003054	1.0821746336206295	0.0192071093326879	0.0095531745844485	1.3526363998961035	NA
ABRA	ENSG00000174429	1.0450e+00	-1.7828e-01	0	0.074581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABRACL	ENSG00000146386	1.3023e+00	-2.9062e-01	0	0.0	-0.0158907155180925	0.0095477867534778	-1.0173922873385477	-0.0117770035170329	0.0094962351430777	-0.6676891810249024	-0.0269091626285619	0.009552851420988	-2.313529069754421	NA
ABRAXAS1	ENSG00000163322	9.3915e-01	8.5325e-01	0	0.0	0.0005207022787105	0.0095488601672034	0.0193088199106562	-0.0064623220631112	0.0094972928401941	-0.3043070704277603	-0.0015140575084556	0.0095560549176868	-0.0584322396427066	NA
ABRAXAS2	ENSG00000165660	6.6472e-01	1.2980e+00	0	0.034807	-0.0096495403231399	0.0095484311684095	-0.5055174448463418	0.0107297312658383	0.0094961944920923	0.5874656701638667	0.0011320236958144	0.0095556652954375	0.043015420096277	NA
ABT1	ENSG00000146109	1.4791e+00	-1.0933e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABTB1	ENSG00000114626	1.0097e+00	5.9988e-01	0	0.0	-0.003070933722053	0.0095512762788785	-0.1262017784877931	-0.000821706936634	0.0094966050369128	-0.0310272008924749	0.0076329105486855	0.0095559301488119	0.3721774164238173	NA
ABTB2	ENSG00000166016	6.7196e-01	1.4627e+00	0	0.390432	-0.0041791652749724	0.0095533328193916	-0.1792803222107345	-0.0030162714980571	0.0094962542454249	-0.1244910303120699	0.0103764946706172	0.0095573845463762	0.5565274539669158	NA
ACAA1	ENSG00000060971	1.1594e+00	9.0393e-01	0	0.0	-0.0355396443556017	0.0095430810034713	-3.705564504873263	-0.0090511068558668	0.0094961939825821	-0.4678251765985945	-0.0131985729350766	0.0095551824112785	-0.7767241579680001	NA
ACAA2	ENSG00000167315	1.0353e+00	2.8259e-01	0	0.0	0.0001454572057036	0.0095502587431466	0.0053096978856075	0.0171779449061331	0.0094959105242349	1.151928217862106	0.0101259543451605	0.0095549175552544	0.538687964619626	NA
ACACA	ENSG00000278540	4.0972e-01	1.1198e+01	0	0.0	-0.0003166777061276	0.0095488321801061	-0.0116442383532358	-0.0111704407580038	0.0094957058033015	-0.6207424545451342	-0.0053613941329426	0.0095548807096431	-0.2405359612028688	-1.2675956615830672
ACACB	ENSG00000076555	8.4066e-01	3.1253e+00	0	0.033442	-0.0003287830482861	0.0095501743185183	-0.0120937088326188	-0.0093179419506358	0.0094969311105505	-0.4860649778098597	0.0209037039262281	0.0095532960956605	1.542382171113429	NA
ACAD10	ENSG00000111271	1.1217e+00	1.0582e+00	0	0.603253	-0.0160038275596869	0.0095476344026206	-1.0281391586967528	0.0014207423364572	0.0094965243968053	0.0549857487088007	0.0064251737642315	0.009558080610121	0.2997678057892471	NA
ACAD11	ENSG00000240303	9.7495e-01	7.0123e-01	0	0.061501	0.0139060485189038	0.009548068593331	0.8377222719557493	-0.0041430649910044	0.0094965166915069	-0.1787171516618954	0.0085714594664771	0.0095548788154331	0.4321530148581327	19.37719861598171
ACAD8	ENSG00000151498	1.1292e+00	7.5585e-01	0	0.167024	0.002408025413265	0.0095495174502116	0.0964105197321092	0.0147656868276267	0.0094953007936946	0.9209543473664548	-0.0049624041532398	0.0095564219299523	-0.2192650956987149	NA
ACAD9	ENSG00000177646	9.4865e-01	3.8832e-01	0	0.0	-0.0084829320723583	0.0095491150525713	-0.4266947953119	0.0108597467469708	0.0094965446639316	0.5971603155312305	0.005761766537802	0.009555082412527	0.2623957691476826	25.690131650555024
ACADL	ENSG00000115361	1.3075e+00	7.7265e-01	0	0.032764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADM	ENSG00000117054	1.0556e+00	2.0785e-01	0	0.0	0.0042849527731803	0.0095490985581802	0.1846637142778635	0.0029644273776063	0.0094963498355199	0.1220984246394727	0.0010832686282518	0.0095552244931301	0.0410827487151461	NA
ACADS	ENSG00000122971	8.2105e-01	8.8678e-01	0	0.084909	-0.0043278037724785	0.0095504207317451	-0.1867877543658063	-0.013866904021235	0.0094954303807709	-0.8409887745285858	-0.0029063780365144	0.0095553038254902	-0.118610263330701	8.946285114478844
ACADSB	ENSG00000196177	9.6279e-01	-3.7009e-01	0	0.0	-0.0002290564957099	0.0095490572266389	-0.0083915822866834	-0.0042556923511679	0.0094974506581452	-0.1843567523679715	0.0094591009997399	0.0095547876508992	0.4918699873438603	NA
ACADVL	ENSG00000072778	1.1033e+00	-2.7828e-01	0	0.0	0.012583077009775	0.0095481721085365	0.7268109903239096	0.013722005091278	0.0094961543322016	0.8283185046044882	0.0175282771658391	0.0095565134928373	1.1761603590508265	NA
ACAN	ENSG00000157766	3.5449e-01	3.5660e-01	0	0.462565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAP1	ENSG00000072818	5.8414e-01	3.2353e+00	0	0.678176	0.0032444129688117	0.0095488355181761	0.1342826871619728	0.0182244693528331	0.0094951676839007	1.2598975249419424	-0.0045283238977786	0.0095551461435181	-0.1968364003113468	NA
ACAP2	ENSG00000114331	4.3996e-01	3.7194e+00	0	0.496597	0.0035338422151628	0.0095496034524508	0.1479157047439498	0.0197465281814605	0.0094943699479754	1.425208196728018	-0.0003586033386893	0.0095552742852336	-0.0131997818069608	NA
ACAP3	ENSG00000131584	6.7205e-01	-4.1214e-01	0	0.034904	0.0219703568278327	0.0095480483766092	1.669408631276662	0.0118881196470883	0.0094957821569084	0.67650125573735	0.0070455748598491	0.0095550489292276	0.3363788311411291	NA
ACAT1	ENSG00000075239	8.1139e-01	1.0307e+00	0	0.0	0.008874434320709	0.0095513407266754	0.4524190301331698	-0.0054074475243762	0.0094970158411596	-0.2448058184412656	-0.012654237624537	0.0095553875938446	-0.7318198970771953	NA
ACAT2	ENSG00000120437	9.7125e-01	4.0434e-01	0	0.037415	0.0024155738694812	0.0095533000407219	0.0966998941208175	-0.0070637176876818	0.0094972083887849	-0.3400525276391143	-0.0071033220400361	0.0095556053335313	-0.339821962850171	NA
