gene	gene_id	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	rest_coef_beta	rest_se_beta	rest_signed_log10p	stim8hr_coef_beta	stim8hr_se_beta	stim8hr_signed_log10p	stim48hr_coef_beta	stim48hr_se_beta	stim48hr_signed_log10p	polarization_score
CEP95	ENSG00000258890	1.0421e+00	-6.7901e-01	0	0.0	0.0029006132878795	0.0095489412248592	0.1184359404366951	-0.0031788541074646	0.0094962575634415	-0.1320486800966917	0.0045182184384424	0.0095551593446843	0.1963209170957771	15.025880321612552
CEP97	ENSG00000182504	7.5844e-01	1.0047e+00	0	0.074689	0.0081735920062622	0.0095485877048387	0.4066954911572934	-0.0073959896710196	0.0094960016384802	-0.3604307407433054	0.0175780513251234	0.0095547816201232	1.1815247592635951	NA
CEPT1	ENSG00000134255	3.0861e-01	3.7329e+00	0	0.379564	0.0002790378389711	0.0095506266457552	0.0102422377824876	-0.005476496860994	0.0094969096949416	-0.2485820342553783	-0.0109364285355368	0.0095546794220066	-0.5979209871690068	-18.18883480544605
CER1	ENSG00000147869	1.4423e+00	-2.4533e+00	0	0.042998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERCAM	ENSG00000167123	1.1106e+00	-1.7333e-01	0	0.0	-0.0126215292737106	0.0095484021311359	-0.7299109334566104	-0.0273649990137766	0.009497211321598	-2.4015201237134387	0.0028781583731808	0.0095579324029889	0.1172917185197275	NA
CERK	ENSG00000100422	8.0301e-01	7.0355e-01	0	0.090754	-0.0055820390403343	0.0095491422432497	-0.2526998430898712	0.0017076141196231	0.0094962629986497	0.0668684291881281	0.0070810550624434	0.0095561232955559	0.3384603291499555	NA
CERKL	ENSG00000188452	1.1910e+00	-3.2554e-01	0	0.470844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERS1	ENSG00000223802	6.8103e-01	-1.1473e-03	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERS2	ENSG00000143418	5.1305e-01	2.4616e+00	0	0.032138	0.0210387281580423	0.0095495746925327	1.5589616317529758	-0.0026340411110606	0.0094978762765362	-0.1070530394170415	-0.0076984109824753	0.0095552334472411	-0.3762876577246943	4.479916503107948
CERS3	ENSG00000154227	8.7725e-01	-1.9234e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERS4	ENSG00000090661	1.5435e+00	-1.1940e+00	0	0.491085	-0.0048390908770576	0.0095488974563902	-0.2130167310823927	0.0010734726597118	0.0094966752939391	0.0409569165586525	0.0022152408305315	0.0095553688450512	0.0879518909789083	NA
CERS5	ENSG00000139624	8.2643e-01	1.7604e+00	0	0.0	-0.0055667737555172	0.0095516741719388	-0.2517840733506475	0.0055022780059557	0.009496801180941	0.249998564430665	-0.003396926386885	0.0095557043654896	-0.1413233449363305	NA
CERS6	ENSG00000172292	6.3498e-01	1.0354e+00	0	0.0	-0.0036706626063565	0.0095537670649782	-0.1543875723210426	-0.015794717032142	0.009496092759339	-1.0164467605135563	-0.0072961130698839	0.009554985208162	-0.3515161924318922	NA
CERT1	ENSG00000113163	4.7600e-01	4.1985e+00	0	0.0	0.0046007359652936	0.0095511266227046	0.2006374576102489	0.0149229582507948	0.0094955002434081	0.9352562376484688	-0.0113814231992639	0.0095546634616848	-0.6315179706850237	33.26977446048706
CES1	ENSG00000198848	1.1932e+00	7.4332e-02	0	0.143644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CES2	ENSG00000172831	1.0436e+00	1.0826e+00	0	0.0	-0.0010594015770205	0.0095495429990575	-0.0401632732665738	-0.005675462811711	0.0094961600007003	-0.2595741295748209	0.001495493989684	0.0095568850414282	0.0576670140216073	NA
CES3	ENSG00000172828	1.0798e+00	1.5186e+00	0	0.188171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CES4A	ENSG00000172824	9.3380e-01	6.8685e-01	0	0.039225	0.0051965322828798	0.0095531105264036	0.2317478440882522	0.0108200089812429	0.0094989216928853	0.5939784327581803	0.0003412811332405	0.0095563731749003	0.0125516824842837	NA
CES5A	ENSG00000159398	1.3062e+00	-6.3218e-01	0	0.057502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CETN1	ENSG00000177143	1.4591e+00	3.1760e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CETN3	ENSG00000153140	1.2701e+00	6.8588e-01	0	0.0	0.0058368138900452	0.0095489628093591	0.2667656608369507	-0.0019500145679151	0.0094967303268161	-0.0771116840859368	-0.0106049544390999	0.0095550630095213	-0.5733647808654672	NA
CETP	ENSG00000087237	1.0516e+00	-4.1439e-02	0	0.453434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP100	ENSG00000163885	1.0480e+00	-5.2868e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP126	ENSG00000188931	1.7726e+00	1.2021e+00	0	0.081172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP157	ENSG00000160401	9.5962e-01	8.2189e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP161	ENSG00000156206	1.2032e+00	1.0753e-01	0	0.041749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP20	ENSG00000070761	8.5898e-01	1.8140e+00	0	0.0	0.0045974537755294	0.0095487917212832	0.2005268132869528	-0.0170818029057418	0.0094952232812609	-1.1423786777319198	-0.0148075305451408	0.0095542846329236	-0.9164573070284115	-12.603024795730557
CFAP206	ENSG00000272514	1.0184e+00	1.4013e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP20DC	ENSG00000163689	9.9013e-01	-5.0286e-01	0	0.586132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP221	ENSG00000163075	1.0153e+00	-1.5535e-01	0	0.331677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP251	ENSG00000158023	8.7229e-01	1.1691e+00	0	0.393114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP298	ENSG00000159079	1.2151e+00	2.7715e-01	0	0.0	-0.0041241254439907	0.0095488048884434	-0.1766412440774966	-0.0102199240386599	0.0094957705173371	-0.5500060167654206	-0.0085212261700221	0.0095544804048599	-0.4288858335976536	NA
CFAP298-TCP10L	ENSG00000265590	1.0879e+00	3.9732e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP299	ENSG00000197826	1.1192e+00	-8.5610e-01	0	0.605274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP300	ENSG00000137691	1.3007e+00	-9.0492e-01	0	0.052588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP36	ENSG00000163001	9.6419e-01	-2.3203e-01	0	0.150418	0.0004886734735973	0.0095488822135763	0.0180970649403617	0.0126357735730319	0.00949556606007	0.736802965960279	-0.0048971057803547	0.0095557948101584	-0.2158614301846051	21.177030746484466
CFAP410	ENSG00000160226	1.4486e+00	-1.6736e+00	0	0.0	0.0014064987881428	0.0095495314454336	0.0540834967224377	0.0016364707621484	0.0095019406849031	0.0638564182605171	-0.0101626759481103	0.0095551289624126	-0.5412999303382662	NA
CFAP418	ENSG00000156172	1.5068e+00	-4.8685e-02	0	0.0	-0.0086310913156478	0.0095492253885795	-0.436407744199029	-0.005583572423842	0.0094962262635969	-0.2544886739073039	0.0078881935893775	0.0095551123094998	0.3881924686521936	NA
CFAP43	ENSG00000197748	8.0908e-01	1.7011e+00	0	0.031044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP44	ENSG00000206530	7.1536e-01	1.3428e+00	0	0.0	0.0054157559759342	0.0095488483521455	0.2436568083965777	-0.0084784712676647	0.0094974400111117	-0.4294203656281025	0.008225107172085	0.0095549428190065	0.4096542384919283	NA
CFAP45	ENSG00000213085	7.3316e-01	2.0177e-01	0	0.326075	-0.0166766138530322	0.0095476603101309	-1.093003338802759	-0.0211512740526971	0.0094947333701519	-1.586335706207283	-0.0234135833504706	0.0095538123224976	-1.8454745861794493	NA
CFAP46	ENSG00000171811	8.3611e-01	1.4116e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP52	ENSG00000166596	1.0084e+00	5.3510e-02	0	0.112821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP53	ENSG00000172361	1.2833e+00	-2.3111e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP54	ENSG00000188596	8.6277e-01	9.3126e-01	0	0.03926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP57	ENSG00000243710	9.2195e-01	1.6388e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP58	ENSG00000120051	8.7942e-01	4.1619e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP61	ENSG00000089101	9.2667e-01	5.3170e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP65	ENSG00000181378	8.5136e-01	1.3551e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP69	ENSG00000105792	8.8988e-01	3.8560e-01	0	0.060748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP70	ENSG00000156042	7.0796e-01	3.0526e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP73	ENSG00000186710	1.0291e+00	4.1783e-01	0	0.06057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP74	ENSG00000142609	7.6209e-01	-3.0057e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP77	ENSG00000188523	1.1226e+00	4.3517e-01	0	0.400673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP91	ENSG00000183833	1.0610e+00	-2.5765e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP92	ENSG00000114656	9.6813e-01	9.5032e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP97	ENSG00000164323	1.1039e+00	-6.2825e-01	0	0.0	0.002052992211022	0.009550498541782	0.0810259638261655	-0.0003164343018941	0.0094990352595785	-0.0116969750130142	-0.017454823202052	0.0095544632779118	-1.1691172959672451	24.284290823671288
CFAP97D1	ENSG00000231256	1.1287e+00	1.0445e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP99	ENSG00000206113	1.2172e+00	-1.0270e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFB	ENSG00000243649	7.5370e-01	2.5986e+00	1	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFC1	ENSG00000136698	NA	4.1277e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFD	ENSG00000197766	1.6015e+00	-3.3058e+00	1	0.140304	0.0099543500375938	0.0095516569899743	0.5267160209285812	0.0053858312983716	0.0094991116463284	0.2435635225667552	0.0030202172306151	0.0095574321839868	0.1237803453783618	-19.384273482698255
CFDP1	ENSG00000153774	1.0438e+00	-1.8309e+00	0	0.526113	-0.0071189147605371	0.0095486464731895	-0.3410728402668447	-0.0034473413065048	0.0095008928444784	-0.1446453460746417	-0.0076362495159039	0.0095545623705974	-0.3724526732348144	NA
CFH	ENSG00000000971	4.5218e-01	1.3002e+00	1	0.695938	0.0036799918968193	0.0095536511819729	0.1548383212438459	-0.0096932307041711	0.0095003176510683	-0.5120053515977294	0.0130331063779542	0.0095589242211091	0.762533308718564	NA
CFHR1	ENSG00000244414	1.0318e+00	2.8994e+00	1	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFHR2	ENSG00000080910	1.4486e+00	-1.8041e-02	1	0.035509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFHR3	ENSG00000116785	8.7262e-01	2.6674e+00	1	0.060586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFHR4	ENSG00000134365	1.1373e+00	7.9698e-01	1	0.05632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFHR5	ENSG00000134389	1.4106e+00	-1.6202e+00	1	0.410194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFI	ENSG00000205403	1.0287e+00	-2.4977e-02	1	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFL1	ENSG00000172757	3.8667e-01	4.0177e+00	0	0.073731	-0.0041323914861949	0.00955120679685	-0.1770001285449914	0.0159935081570976	0.0094946651330007	1.0356520548289865	0.003545306302103	0.0095634766359509	0.1482168641245553	NA
CFL2	ENSG00000165410	8.6386e-01	2.0639e+00	0	0.054452	-0.0011698253862275	0.009548878450243	-0.0445537338149957	0.0101230305482956	0.0094959109431727	0.542983657024767	2.6625906585759135e-05	0.0095552480902368	0.0009666281821728	NA
CFLAR	ENSG00000003402	4.2792e-01	3.1629e+00	0	0.14092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFTR	ENSG00000001626	1.1931e+00	-2.3884e+00	1	0.490739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGA	ENSG00000135346	7.6277e-01	1.4763e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGAS	ENSG00000164430	1.2313e+00	1.0082e+00	0	0.048599	0.0094307347742715	0.0095483876162481	0.4903509158522119	0.0139682545655625	0.0094960713958195	0.8497561157664343	-0.0127478674557959	0.0095546956742304	-0.7395312186392053	NA
CGB1	ENSG00000267631	1.3055e+00	2.3067e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGB2	ENSG00000104818	1.2938e+00	3.8762e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGB3	ENSG00000104827	1.5151e+00	4.3950e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGB5	ENSG00000189052	8.2900e-01	5.0874e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGB7	ENSG00000196337	1.6151e+00	3.3912e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGB8	ENSG00000213030	8.3033e-01	5.6811e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGGBP1	ENSG00000163320	8.0431e-01	2.0138e+00	0	0.0	0.0020776696799014	0.0095490231575322	0.0820950302471015	0.0008424683885428	0.0094971294240634	0.031836658873371	0.0025295377868578	0.0095547672118555	0.1017059859194968	NA
CGN	ENSG00000143375	8.9588e-01	1.0601e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGNL1	ENSG00000128849	1.0799e+00	-3.0110e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CGREF1	ENSG00000138028	1.3974e+00	1.7673e+00	0	0.0	-0.0105849363028356	0.009548455461205	-0.5724341589954123	0.0090227892628703	0.0094976392612719	0.4658069607604584	-0.0018262246328214	0.0095562765065207	-0.0713741697331158	NA
CGRRF1	ENSG00000100532	1.1563e+00	-1.8324e-01	0	0.049061	-0.0031439017732976	0.0095501318320022	-0.1295896496439309	0.0128693737852789	0.0094956489308747	0.7560878620371749	0.0022031480378987	0.0095559893373383	0.0874232254520926	NA
CH25H	ENSG00000138135	1.0243e+00	4.2969e-01	0	0.414835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHAC1	ENSG00000128965	1.4211e+00	6.7037e-01	0	0.0	0.0042112956082902	0.0095536033381744	0.180876423335366	0.0010319954769651	0.0094969254927741	0.0393060990604685	-0.0062527062160001	0.0095579836590732	-0.2898780783281394	NA
CHAC2	ENSG00000143942	1.7218e+00	-1.3373e+00	0	0.0	0.0167020648567115	0.0095503574097522	1.0950321678864283	-0.0072559752147868	0.0094996517434791	-0.3516458318811112	-0.001269347382324	0.0095562440238043	-0.0485017158177524	NA
CHAD	ENSG00000136457	1.1113e+00	5.3690e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHADL	ENSG00000100399	1.1725e+00	7.7024e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHAF1A	ENSG00000167670	1.1285e-01	1.8977e+00	0	0.0	-0.0027241100909867	0.0095529393292941	-0.110402797835402	0.0037987163396985	0.0094970946391967	0.1616712838479417	0.0065132683881928	0.0095553027671751	0.3049723611666166	NA
CHAF1B	ENSG00000159259	2.7929e-01	2.4098e+00	0	0.233871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHAMP1	ENSG00000198824	1.6808e-01	-3.4762e-01	0	0.0	0.006420351276797	0.0095499013945475	0.2998068182370518	0.0039785352756508	0.0095003743612646	0.1704469497945842	-0.0035992593304541	0.0095563116845234	-0.1509180436671037	NA
CHAT	ENSG00000070748	9.8227e-01	5.5539e-01	0	0.058973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHCHD1	ENSG00000172586	1.5332e+00	1.6572e-01	0	0.0	0.0148185708719065	0.0095483185491007	0.9182857856984852	-0.0030235320739436	0.0094973073906144	-0.1248111351064848	0.0049487089477334	0.0095551240446017	0.2185817349843367	NA
CHCHD10	ENSG00000250479	1.1434e+00	-1.8614e-01	0	0.0	0.0034768134328107	0.0095489030866612	0.1452168505617554	-0.004278228890944	0.009496181602251	-0.1855234942904949	-0.0161002348042	0.0095548322517778	-1.0361628494370858	NA
CHCHD2	ENSG00000106153	1.4601e+00	7.5165e-01	0	0.100256	-0.0014595469134382	0.0095536576751428	-0.0562188645381034	0.0007383656368963	0.0094962728159434	0.0277852208296533	-0.020351537107928	0.0095532675102564	-1.4792874534133678	NA
CHCHD3	ENSG00000106554	7.5987e-01	8.7230e-01	0	0.451274	-4.6388436025994035e-05	0.0095539891257762	-0.0016856997265692	0.006908680202371	0.0094959796696818	0.3307646322540227	-0.013743661338369	0.0095569839723907	-0.8226320551982693	NA
CHCHD4	ENSG00000163528	1.0628e+00	1.0348e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHCHD5	ENSG00000125611	1.0604e+00	-3.3087e-01	0	0.0	0.0053667642012208	0.0095489301301401	0.2410058730800928	0.0003236159733228	0.0094980890802005	0.0119672408955243	-0.0004551594864007	0.0095554340391891	-0.0168207967865365	NA
CHCHD6	ENSG00000159685	1.1892e+00	-6.3200e-01	0	0.46964	0.001912627565298	0.0095505496198874	0.0750603771278279	-0.0063233676405301	0.0094963143926176	-0.296275073329933	-0.0133945992585268	0.0095544849436108	-0.7932590028091134	NA
CHCHD7	ENSG00000170791	1.2542e+00	1.8588e-01	0	0.0	0.0005953006691186	0.0095489972780463	0.0221429838618276	0.0016232406136127	0.0094963943563911	0.0633454634234996	0.0038894828833342	0.0095556440307537	0.1649501079531571	NA
CHD1	ENSG00000153922	2.1200e-01	5.8898e+00	0	0.05259	-0.0092655231432458	0.0095486214602904	-0.4790022249175394	-0.016683924747885	0.0094948977751513	-1.102808636087481	0.0073546471102935	0.0095567206087232	0.3550036745454857	-5.764977647579207
CHD1L	ENSG00000131778	1.1864e+00	-1.4850e+00	0	0.031076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD2	ENSG00000173575	1.5738e-01	7.4742e+00	0	0.0	0.0019858661719337	0.0095493374309988	0.0781755841634986	0.0018897243023169	0.0095015311287164	0.0745046462515098	-0.0013684090175717	0.0095549360709062	-0.0525059216093284	-2.2549479024500014
CHD3	ENSG00000170004	2.6318e-01	9.3892e+00	0	0.0	-0.0012799189705381	0.009548869332286	-0.0489665048526878	0.0069171664700242	0.009497599116765	0.3312029787340581	0.0145084084837891	0.0095545025629695	0.8896786805732801	NA
CHD4	ENSG00000111642	1.9707e-01	9.5411e+00	0	0.0	0.0027726400015999	0.0095513985759642	0.112606214224473	0.0017490949459857	0.0094968319083714	0.0686040428459574	0.0047024658716071	0.0095560973546875	0.2057453703208333	-36.98799102145793
CHD5	ENSG00000116254	3.6607e-01	6.6273e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD6	ENSG00000124177	2.2851e-01	5.8943e+00	0	0.410159	-0.0018049838878118	0.0095492047595805	-0.0705395689326333	-0.0023680492648759	0.0095018122470943	-0.095179188615582	0.0084730679353592	0.0095570997108819	0.4255885358407322	NA
CHD7	ENSG00000171316	1.0983e-01	4.3391e+00	1	0.330071	-0.0070333487579812	0.0095490270442062	-0.3359118971394134	-0.0154445692020415	0.0094960521759447	-0.9834301133546592	-0.0155676357875063	0.0095549704177606	-0.9859638536614632	-21.864458559111146
CHD8	ENSG00000100888	1.4982e-01	8.1374e+00	0	0.0	-0.0014400156631267	0.0095492832906838	-0.0554494079526069	-0.0018776023110695	0.0094964141852469	-0.0740332616760363	0.0108407106637517	0.0095550803650535	0.5907615255812029	-20.86986654238312
CHD9	ENSG00000177200	2.9442e-01	4.9102e+00	0	0.338981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHDH	ENSG00000016391	9.7379e-01	7.5479e-02	0	0.0	-0.0169468987565328	0.009550064134542	-1.119168244384175	-0.0042141087954812	0.0094961644482113	-0.1822905837289448	0.0074998252049474	0.0095573962705842	0.3638750674424058	NA
CHEK1	ENSG00000149554	7.1442e-01	2.9720e+00	0	0.0	-0.0061304583854006	0.0095544781010373	-0.2830574664975164	0.0005705653523617	0.0095007158668591	0.0213115341448887	-0.0152793366787662	0.0095538439344187	-0.9594528964958206	NA
CHEK2	ENSG00000183765	1.2519e+00	-2.4105e-01	0	0.646611	-0.0056819553945844	0.0095562447940367	-0.2579536000751412	0.0138893973756311	0.009495356406694	0.8429586991809213	0.0154410466271069	0.0095537489656815	0.974391442800522	NA
CHERP	ENSG00000085872	1.2682e-01	4.9031e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHFR	ENSG00000072609	8.1098e-01	9.9747e-01	0	0.0	-0.0077060383461705	0.0095500101895932	-0.3770262121269513	0.0128109697159308	0.0094957016168705	0.7512375473487187	0.0149199117280027	0.00955460753179	0.9265553240605028	NA
CHGA	ENSG00000100604	9.7826e-01	1.1120e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHGB	ENSG00000089199	8.4125e-01	3.9017e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHI3L1	ENSG00000133048	9.9916e-01	-1.4928e-02	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHI3L2	ENSG00000064886	1.2664e+00	-6.9161e-01	0	0.0	-0.0145445028453314	0.0095478730770679	-0.8937857324079929	0.0030830271415285	0.0094988930962716	0.127543610582711	0.0069411809448604	0.0095550107446352	0.330141965498163	NA
CHIA	ENSG00000134216	1.1210e+00	-1.0483e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHIC2	ENSG00000109220	8.4666e-01	1.6804e+00	0	0.0	-0.0232538291251338	0.0095493779266298	-1.8267236338687185	-0.0074413334989849	0.0095000069887894	-0.3630417150839202	-0.0128400879535958	0.0095544380511512	-0.7471155065686617	-31.938313912890123
CHID1	ENSG00000177830	1.0206e+00	4.5706e-01	0	0.0	-0.0010333193683251	0.0095496470104241	-0.0391321663469163	-0.0170165048424125	0.0094987619215659	-1.1351949631113951	-0.0010048461649255	0.0095552830331644	-0.0379861309056055	NA
CHIT1	ENSG00000133063	1.1515e+00	2.4796e-01	0	0.0	-0.0052361411422867	0.009558462530875	-0.2337065901166362	-0.0240658964640219	0.0094969801469945	-1.9473516409351557	0.0028244130022686	0.0095591091306083	0.1148413377866912	NA
CHKA	ENSG00000110721	7.5275e-01	-3.0760e-02	0	0.0	-0.0241617284175737	0.0095463932853991	-1.9435349130031732	-0.0162390284676665	0.0094982118038385	-1.0587325663310212	-0.00807958008441	0.0095552280378783	-0.4003206721508343	NA
CHKB	ENSG00000100288	1.0071e+00	-2.7105e-01	0	0.074182	0.0082933283912564	0.0095524864030532	0.4141873376487359	0.0131093428519501	0.0094962924829641	0.7760623224338826	0.0090951523732217	0.0095552822364258	0.4669953404034642	-2.168250845232876
CHKB-CPT1B	ENSG00000254413	NA	-7.5883e-02	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHL1	ENSG00000134121	8.0184e-01	-4.0533e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHML	ENSG00000203668	9.5492e-01	-4.0848e-01	0	0.0	0.0051077882606662	0.009553745696205	0.2270099866465821	-0.0172463900373082	0.0094953413200225	-1.1589432892310394	0.0046964300917571	0.0095556722156206	0.2054448046684918	NA
CHMP1A	ENSG00000131165	9.4606e-01	-2.8770e-01	0	0.0	-0.0073525808494784	0.0095486593900878	-0.3552565806770929	-0.0046000713281486	0.0094995355147919	-0.2018854689413862	0.0013233370105877	0.0095622017059238	0.0506427889299589	9.189202965410978
CHMP1B	ENSG00000255112	9.1259e-01	4.0018e-01	0	0.0	0.0005217043461706	0.0095563814891722	0.0193312258367044	-0.0009414264237832	0.0095092291219399	-0.0356748221213766	-0.0106246195944774	0.0095554022036718	-0.5747801049672775	NA
CHMP2A	ENSG00000130724	5.4333e-01	-2.2730e-01	0	0.0	0.0011025792260763	0.0095485490426465	0.0418787348428961	0.0252201211680584	0.009493319962815	2.1021354955088296	0.0122617451859514	0.0095542958325116	0.7003006782850466	NA
CHMP2B	ENSG00000083937	1.0535e+00	-2.3606e-01	0	0.160901	-0.0161288641405455	0.0095562266991974	-1.0386685579503137	0.0079212933633991	0.0095008761456344	0.3931418986235032	-0.0077310733461152	0.0095554342265747	-0.378315803808098	NA
CHMP3	ENSG00000115561	5.2637e-01	1.6445e+00	0	0.384284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHMP4A	ENSG00000254505	1.4016e+00	5.9161e-01	0	0.0	-0.0059381233588064	0.0095508463031141	-0.2723552361390538	0.0077544629954896	0.0095041939842159	0.3823962713623882	0.0031322662665846	0.0095580494690816	0.1289308578025269	17.23486895376617
CHMP4B	ENSG00000101421	1.8890e-01	3.4750e+00	0	0.491393	-0.000245689905212	0.0095492005900106	-0.0090070480034343	0.0180827126549791	0.0095068906533283	1.24268756347663	0.0118747847772059	0.0095541830670262	0.6697165506191323	NA
CHMP4C	ENSG00000164695	1.3244e+00	-2.5426e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHMP5	ENSG00000086065	7.7307e-01	1.1993e+00	0	0.0	-0.0063958588402757	0.0095497717101494	-0.2983990655482492	-0.0044039388225019	0.0094979174016756	-0.1918630453398984	-0.00650224583345	0.0095548819356684	-0.3043497083967671	NA
CHMP6	ENSG00000176108	5.1668e-01	-1.3757e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHMP7	ENSG00000147457	4.2993e-01	7.5857e-01	0	0.0	-0.0011724099482927	0.0095501020608536	-0.0446508922636508	0.0181817306300676	0.0094950984973065	1.2554170012499133	0.0104456088688631	0.0095548334728993	0.5617454934334223	NA
CHN1	ENSG00000128656	8.1842e-01	1.8208e+00	0	0.403029	-0.0160779823646367	0.0095479973888805	-1.03513923496648	-0.0070755754492768	0.0094981057100835	-0.3407301548564446	-0.0169849906236325	0.0095548089917343	-1.1221026300515748	NA
CHN2	ENSG00000106069	8.2353e-01	1.5841e+00	0	0.518142	NA	NA	NA	NA	NA	NA	NA	NA	NA	-22.846846734544503
CHODL	ENSG00000154645	1.1460e+00	1.1449e-02	0	0.087118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
