gene	gene_id	pu_score	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	rest_coef_beta	rest_se_beta	rest_signed_log10p	stim8hr_coef_beta	stim8hr_se_beta	stim8hr_signed_log10p	stim48hr_coef_beta	stim48hr_se_beta	stim48hr_signed_log10p	polarization_score
DHRS3	ENSG00000162496	0.777874	0.805620	1.782200	0	0.075563	-0.022287	0.009546	-1.708167	-0.012292	0.009496	-0.708838	-0.011545	0.009555	-0.644019	
DHRS4	ENSG00000157326	0.327414	1.024700	-0.239150	0	0.195292	-0.004314	0.009549	-0.186127	-0.011210	0.009496	-0.623707	-0.013435	0.009554	-0.796707	
DHRS4L2	ENSG00000187630	0.011781	1.313200	-2.001400	0	0.000000										19.155324
DHRS7	ENSG00000100612	0.030371	1.162900	-0.296860	0	0.000000	0.002031	0.009549	0.080109	0.003084	0.009497	0.127626	0.020236	0.009556	1.465652	20.936690
DHRS7B	ENSG00000109016	0.027962	1.277500	1.069500	0	0.000000	-0.011102	0.009548	-0.610854	-0.001340	0.009497	-0.051677	-0.002308	0.009557	-0.091977	
DHRS7C	ENSG00000184544	0.015364	1.295600	-0.207650	0	0.000000										
DHRS9	ENSG00000073737	0.010012	1.002500	-1.014300	0	0.000000										
DHTKD1	ENSG00000181192	0.036052	0.925490	-0.767510	0	0.000000	0.002127	0.009551	0.084199	0.025516	0.009494	2.142018	0.010162	0.009557	0.541122	
DHX15	ENSG00000109606	0.777853	0.192810	9.285700	0	0.285291	-0.002804	0.009556	-0.113937	-0.001898	0.009496	-0.074917	0.002960	0.009555	0.121079	
DHX16	ENSG00000204560	0.057158	0.742970	4.425200	0	0.000000										
DHX29	ENSG00000067248	0.063399	0.567280	2.632300	0	0.000000	0.006573	0.009550	0.308650	0.005366	0.009496	0.242595	-0.006215	0.009555	-0.287868	
DHX30	ENSG00000132153	0.855476	0.078297	7.732500	0	0.037413	-0.021291	0.009548	-1.588810	-0.016311	0.009496	-1.066115	-0.009725	0.009559	-0.510032	7.455773
DHX32	ENSG00000089876	0.021873	0.920450	1.854100	0	0.000000	-0.001858	0.009550	-0.072774	-0.006562	0.009497	-0.310163	0.002553	0.009555	0.102750	
DHX33	ENSG00000005100	0.025011	0.748890	1.062900	0	0.000000										
DHX34	ENSG00000134815	0.034051	1.024200	0.213020	0	0.000000	-0.018400	0.009548	-1.267573	-0.002671	0.009496	-0.108736	-0.010038	0.009558	-0.532177	-33.989864
DHX35	ENSG00000101452	0.406302	1.011100	0.521880	0	0.328082	-0.008866	0.009549	-0.452011	-0.020421	0.009494	-1.501547	-0.010341	0.009555	-0.554100	-35.234987
DHX36	ENSG00000174953	0.603691	0.455330	2.295000	0	0.090922	0.006972	0.009551	0.332167	0.000669	0.009496	0.025095	0.003151	0.009555	0.129840	-14.726243
DHX37	ENSG00000150990	0.033068	0.487680	2.540500	0	0.000000										
DHX38	ENSG00000140829	0.640022	0.771240	2.244300	0	0.056093	-0.004093	0.009549	-0.175098	-0.004593	0.009497	-0.201549	0.002832	0.009556	0.115245	
DHX40	ENSG00000108406	0.684121	0.428440	5.681600	0	0.109148	-0.007554	0.009549	-0.367647	-0.010100	0.009496	-0.541323	0.003266	0.009555	0.135177	-11.011493
DHX57	ENSG00000163214	0.012142	0.790760	-1.936800	0	0.000000	0.007388	0.009549	0.357403	-0.020890	0.009494	-1.555841	-0.003097	0.009556	-0.127335	-2.388197
DHX58	ENSG00000108771	0.503462	0.990570	1.696500	0	0.192005	-0.001863	0.009549	-0.072973	0.008687	0.009496	0.443349	0.006810	0.009555	0.322375	
DHX8	ENSG00000067596	0.051523	0.583660	7.188500	0	0.000000										
DHX9	ENSG00000135829	0.054813	0.250420	8.246000	0	0.000000	0.005119	0.009552	0.227658	-0.016226	0.009502	-1.056878	-0.020161	0.009554	-1.457712	-3.485025
DIABLO	ENSG00000184047	0.014065	1.354900	-0.747050	0	0.000000										
DIAPH1	ENSG00000131504	0.837094	0.418170	2.686600	1	0.000000	0.017743	0.009547	1.199680	0.012555	0.009495	0.730200	0.015862	0.009557	1.013142	-30.468781
DIAPH3	ENSG00000139734	0.630293	0.945590	-0.094188	0	0.393614	0.003700	0.009558	0.155742	-0.007263	0.009499	-0.352153	-0.013654	0.009558	-0.814834	
DICER1	ENSG00000100697	0.066267	0.285610	6.282000	0	0.000000	-0.013687	0.009548	-0.818919	0.009715	0.009496	0.513840	-0.003201	0.009557	-0.132116	
DIDO1	ENSG00000101191	0.012311	0.244410	0.139950	0	0.000000	0.002978	0.009549	0.121968	0.013323	0.009496	0.794133	0.004312	0.009556	0.185894	
DIMT1	ENSG00000086189	0.409050	1.099200	0.963330	0	0.058423	-0.001470	0.009552	-0.056639	-0.008177	0.009496	-0.409807	-0.006882	0.009555	-0.326669	
DIO1	ENSG00000211452	0.763486	0.983100	0.977000	0	0.428124										
DIO2	ENSG00000211448	0.019266	1.303100	0.838400	0	0.000000										
DIO3	ENSG00000197406	0.734661	0.516480	1.981100	0	0.467565										
DIP2A	ENSG00000160305	0.042338	0.573680	2.877500	0	0.000000	0.011776	0.009548	0.662555	0.012928	0.009496	0.760973	0.010226	0.009557	0.545653	
DIP2B	ENSG00000066084	0.026992	0.464590	4.021000	0	0.000000	0.007802	0.009549	0.383111	0.007019	0.009496	0.337361	0.014380	0.009555	0.878162	
DIP2C	ENSG00000151240	0.799849	0.229350	5.320800	0	0.471893	0.004604	0.009549	0.200876	-0.007293	0.009498	-0.353969	-0.006805	0.009555	-0.322076	
DIPK1A	ENSG00000154511	0.701731	0.912840	1.777000	0	0.501558	0.002607	0.009551	0.105200	0.026034	0.009494	2.213573	0.003093	0.009556	0.127128	-14.085097
DIPK1B	ENSG00000165716	0.012298	1.229000	-0.802470	0	0.000000										
DIPK1C	ENSG00000187773	0.590038	1.578600	-0.009195	0	0.491393										
DIPK2A	ENSG00000181744	0.042102	0.955070	0.772560	0	0.000000	-0.000986	0.009551	-0.037250	0.004782	0.009497	0.211396	0.000959	0.009557	0.036188	
DIRAS1	ENSG00000176490	0.025230	0.672910	1.849900	0	0.000000										
DIRAS2	ENSG00000165023	0.776447	0.755370	1.893700	0	0.444231										
DIRAS3	ENSG00000162595	0.604557		1.293100	0	0.178999										
DIS3	ENSG00000083520	0.011304	1.073200	0.575740	0	0.000000	-0.012304	0.009548	-0.704263	-0.000917	0.009499	-0.034759	-0.010846	0.009555	-0.591196	4.239992
DIS3L	ENSG00000166938	0.009384	0.981110	1.391000	0	0.000000	0.001802	0.009549	0.070420	0.003111	0.009505	0.128740	0.007101	0.009556	0.339703	-5.948182
DIS3L2	ENSG00000144535	0.015133	0.464460	1.360600	0	0.000000	-0.002831	0.009549	-0.115275	-0.007338	0.009497	-0.356800	-0.000118	0.009558	-0.004312	4.682964
DISC1	ENSG00000162946	0.035130	0.841050	0.757760	0	0.000000	-0.005773	0.009549	-0.263240	0.014898	0.009496	0.932883	0.004087	0.009555	0.174668	
DISP1	ENSG00000154309	0.030212	1.091700	2.769100	0	0.000000										
DISP2	ENSG00000140323	0.027595	0.767100	1.015900	0	0.000000										
DISP3	ENSG00000204624	0.697552	0.880980	1.630000	0	0.417756	-0.012842	0.009548	-0.748024	-0.012210	0.009496	-0.702219	-0.006062	0.009556	-0.279113	
DIXDC1	ENSG00000150764	0.416754	0.764670	1.110400	0	0.037071	-0.003601	0.009549	-0.151117	-0.014188	0.009495	-0.869162	0.000636	0.009556	0.023674	
DKK1	ENSG00000107984	0.452443	1.028300	0.308600	0	0.035762										
DKK2	ENSG00000155011	0.626422	0.647980	0.221900	0	0.423391										
DKK3	ENSG00000050165	0.660180	0.945720	1.204100	0	0.100447										
DKK4	ENSG00000104371	0.538867	1.588600	0.210570	0	0.075901										
DKKL1	ENSG00000104901	0.639524	1.102600	-0.290190	0	0.511774										
DLAT	ENSG00000150768	0.641504	0.814830	1.051000	0	0.047084	0.007656	0.009550	0.373919	-0.010330	0.009497	-0.557928	-0.000926	0.009556	-0.034885	-5.257181
DLC1	ENSG00000164741	0.514820	0.482880	-6.142500	0	0.449503										
DLD	ENSG00000091140	0.823307	0.764550	1.169400	0	0.845424	-0.005117	0.009549	-0.227655	-0.002530	0.009497	-0.102432	-0.008391	0.009559	-0.420156	-14.168942
DLEC1	ENSG00000008226	0.018133	0.845390	-0.117940	0	0.000000										
DLEU7	ENSG00000186047	0.684761	1.589400	0.166440	0	0.581392										
DLG1	ENSG00000075711	0.548901	0.440180	1.822700	0	0.461950	0.016250	0.009548	1.051656	0.013924	0.009495	0.846002	0.004277	0.009555	0.184146	
DLG2	ENSG00000150672	0.768314	0.435580	1.872500	0	0.552912										
DLG4	ENSG00000132535	0.031065	0.140140	6.061800	0	0.000000	-0.006016	0.009554	-0.276643	-0.001785	0.009502	-0.070071	-0.003783	0.009560	-0.159701	-12.301312
DLG5	ENSG00000151208	0.707610	0.321640	3.252800	0	0.040945	-0.014108	0.009550	-0.855091	-0.010402	0.009498	-0.563071	0.002003	0.009555	0.078834	
DLGAP1	ENSG00000170579	0.885002	0.200620	3.314600	0	0.579146										
DLGAP2	ENSG00000198010	0.614800	0.359700	-4.528800	0	0.557928										
DLGAP3	ENSG00000116544	0.037030	0.314170	3.021900	0	0.000000										
DLGAP4	ENSG00000080845	0.044281	0.307170	3.207000	0	0.000000	0.027754	0.009546	2.437482	0.031168	0.009492	2.988034	0.009731	0.009556	0.510659	
DLGAP5	ENSG00000126787	0.009301	1.076500	-0.713690	0	0.000000	0.004105	0.009562	0.175424	-0.004813	0.009501	-0.212925	0.002960	0.009556	0.121053	
DLK1	ENSG00000185559	0.550529	0.446520	0.120550	0	0.062791										
DLK2	ENSG00000171462	0.029273	0.501630	2.586500	0	0.000000	0.001284	0.009550	0.049128	-0.004753	0.009496	-0.209926	0.014135	0.009555	0.856722	
DLL1	ENSG00000198719	0.641218	0.209260	2.291700	0	0.272831										
DLL3	ENSG00000090932	0.010122	1.131200	-1.246700	0	0.000000	-0.006818	0.009549	-0.323107	-0.023191	0.009493	-1.836053	-0.007711	0.009555	-0.377109	
DLL4	ENSG00000128917	0.033930	0.178600	4.417800	0	0.000000										
DLST	ENSG00000119689	0.012480	0.479970	1.268400	0	0.000000	-0.000680	0.009552	-0.025379	-0.004195	0.009496	-0.181348	0.003469	0.009555	0.144750	
DLX1	ENSG00000144355	0.025172	0.524940	2.365500	0	0.000000										-4.463937
DLX2	ENSG00000115844	0.017504	0.526640	0.600080	0	0.000000										15.575136
DLX3	ENSG00000064195	0.018972	0.561510	1.430800	0	0.000000										
DLX4	ENSG00000108813	0.573408	1.208500	0.107470	0	0.395597										6.413911
DLX5	ENSG00000105880	0.019824	0.532550	0.795100	0	0.000000										-12.357018
DLX6	ENSG00000006377	0.015837	0.273210	0.243500	0	0.000000										
DMAC1	ENSG00000137038	0.613220	2.430500	-2.041800	0	0.424863	-0.004867	0.009549	-0.214433	0.008351	0.009497	0.421122	0.003187	0.009556	0.131490	-3.452323
DMAC2	ENSG00000105341	0.017161	1.449800	0.485900	0	0.000000	-0.002619	0.009549	-0.105760	0.006446	0.009496	0.303380	0.011293	0.009555	0.624779	10.729147
DMAC2L	ENSG00000125375	0.011033	1.343200	0.204550	0	0.000000	0.006881	0.009549	0.326808	-0.002332	0.009498	-0.093656	0.010333	0.009555	0.553575	39.367901
DMAP1	ENSG00000178028	0.857941	0.684500	3.176000	0	0.035335										
DMBT1	ENSG00000187908	0.576023	0.880680	-0.237450	0	0.039447										
DMBX1	ENSG00000197587	0.019889	0.431820	0.916750	0	0.000000										
DMC1	ENSG00000100206	0.045917	0.742770	2.604900	0	0.000000	-0.003367	0.009549	-0.139996	-0.004900	0.009496	-0.217607	-0.004084	0.009556	-0.174502	
DMGDH	ENSG00000132837	0.020044	0.966110	0.892520	0	0.000000										-3.357149
DMKN	ENSG00000161249	0.012074	1.068200	0.095268	0	0.000000										
DMP1	ENSG00000152592	0.017413	1.990800	0.915980	0	0.000000										
DMPK	ENSG00000104936	0.625623	0.611270	-0.185800	0	0.425754										
DMRT1	ENSG00000137090	0.610232	0.407630	-2.372800	0	0.627390										
DMRT2	ENSG00000173253	0.549004	1.015000	-4.927200	0	0.482618	-0.017357	0.009549	-1.160346	-0.007778	0.009500	-0.384081	-0.008995	0.009555	-0.460266	
DMRT3	ENSG00000064218	0.471023	1.134100	-2.430000	0	0.063365										
DMRTA1	ENSG00000176399	0.663069	1.287500	-3.014100	0	0.581200										
DMRTA2	ENSG00000142700	0.513673	0.571310	0.435980	0	0.203206										5.497963
DMRTB1	ENSG00000143006	0.016685	0.622950	-0.986100	0	0.000000										
DMRTC2	ENSG00000142025	0.019691	0.517760	0.819430	0	0.000000										-10.195861
DMTF1	ENSG00000135164	0.585701	0.559250	2.319800	0	0.066506	-0.002812	0.009555	-0.114355	-0.004115	0.009498	-0.177274	0.011932	0.009556	0.674020	
DMTN	ENSG00000158856	0.021626	0.626720	1.445300	0	0.000000	0.012753	0.009551	0.740310	0.008105	0.009496	0.405203	0.012311	0.009555	0.704200	
DMWD	ENSG00000185800	0.034530	0.608350	2.240300	0	0.000000	-0.015238	0.009548	-0.956550	-0.016856	0.009496	-1.119591	-0.000912	0.009556	-0.034359	6.354694
DMXL1	ENSG00000172869	0.558694	0.366530	-1.062600	0	0.038222	-0.019794	0.009548	-1.418113	-0.009769	0.009500	-0.517317	-0.012273	0.009557	-0.700888	-29.926808
DMXL2	ENSG00000104093	0.022409	0.366460	3.334600	0	0.000000	-0.007265	0.009549	-0.349907	-0.007964	0.009496	-0.396127	0.003000	0.009557	0.122853	
DNA2	ENSG00000138346	0.014847	1.000200	1.619200	0	0.000000	0.009548	0.009553	0.498151	-0.007001	0.009501	-0.336111	0.008636	0.009556	0.436328	
DNAAF1	ENSG00000154099	0.010975	1.124300	-3.955000	0	0.000000										
DNAAF10	ENSG00000243667	0.460821	0.879190	0.734610	0	0.105355	0.007580	0.009549	0.369205	0.001933	0.009496	0.076374	-0.000581	0.009555	-0.021600	-2.373379
DNAAF11	ENSG00000129295	0.547935	0.949250	0.003966	0	0.167344										
DNAAF2	ENSG00000165506	0.461601	1.480000	-1.593900	0	0.076158	0.014627	0.009549	0.900959	-0.012469	0.009496	-0.723193	-0.013833	0.009555	-0.830573	3.291383
DNAAF3	ENSG00000167646	0.011512	1.024000	-0.286120	0	0.000000										
DNAAF4	ENSG00000256061	0.010209	1.069600	-1.689800	0	0.000000										
DNAAF5	ENSG00000164818	0.427663	1.039300	-1.124600	0	0.080243	-0.012831	0.009552	-0.746664	0.007693	0.009507	0.378428	-0.012150	0.009558	-0.691030	-4.758491
DNAAF8	ENSG00000166246	0.013082	1.382700	-2.845000	0	0.000000										
DNAAF9	ENSG00000088854	0.039496	0.642140	1.428900	0	0.000000	0.002496	0.009549	0.100305	0.016119	0.009496	1.047535	-0.012980	0.009556	-0.758558	
DNAH1	ENSG00000114841	0.053387	0.739890	2.833500	0	0.000000										
DNAH10	ENSG00000197653	0.914634	0.750740	3.409300	0	0.036295										
DNAH11	ENSG00000105877	0.577803	0.909070	-8.899800	0	0.440915										
DNAH12	ENSG00000174844	0.022945	0.846330	0.550370	0	0.000000										
DNAH14	ENSG00000185842	0.028068	0.989820	2.378700	0	0.000000										
DNAH17	ENSG00000187775	0.582302	0.843200	-2.962100	0	0.472890										
DNAH2	ENSG00000183914	0.045295	0.676510	4.487400	0	0.000000										
DNAH3	ENSG00000158486	0.734634	0.840690	1.508600	0	0.284328										-7.822287
DNAH5	ENSG00000039139	0.029927	0.782120	0.927350	0	0.000000										
DNAH6	ENSG00000115423	0.056985	0.756860	3.201000	0	0.000000										
DNAH7	ENSG00000118997	0.560087	0.970280	-0.622640	0	0.041101										
DNAH8	ENSG00000124721	0.908394	0.739600	2.374600	0	0.555954										
DNAH9	ENSG00000007174	0.742756	0.799660	1.151600	0	0.495341										
DNAI1	ENSG00000122735	0.021798	0.892020	0.399240	0	0.000000										
DNAI2	ENSG00000171595	0.013806	1.040600	1.733200	0	0.000000	-0.003275	0.009549	-0.135683	-0.013732	0.009500	-0.828693	0.006275	0.009556	0.291214	
DNAI3	ENSG00000162643	0.043471	0.862510	0.933510	0	0.000000	-0.007094	0.009556	-0.339225	-0.010941	0.009496	-0.603272	-0.015315	0.009554	-0.962732	
DNAI4	ENSG00000152763	0.685925	0.962490	-0.113290	0	0.577379										
DNAI7	ENSG00000118307	0.702418	1.086900	0.856970	0	0.430107										
DNAJA1	ENSG00000086061	0.042980	0.758180	3.292600	0	0.000000	-0.004479	0.009550	-0.194431	-0.014496	0.009496	-0.896482	-0.011135	0.009555	-0.612784	
DNAJA2	ENSG00000069345	0.062876	0.240110	3.186000	0	0.000000	-0.001059	0.009551	-0.040133	-0.017450	0.009495	-1.179655	-0.019322	0.009553	-1.365038	
DNAJA3	ENSG00000103423	0.018653	0.719790	-1.156700	0	0.000000										
DNAJA4	ENSG00000140403	0.016586	1.082800	1.254600	0	0.000000	0.001227	0.009549	0.046857	-0.002133	0.009497	-0.084952	0.000226	0.009557	0.008283	
DNAJB1	ENSG00000132002	0.016557	0.911790	-1.173700	0	0.000000	0.010933	0.009548	0.598231	-0.003106	0.009496	-0.128667	0.009884	0.009557	0.521361	
DNAJB11	ENSG00000090520	0.044371	0.861900	1.691300	0	0.000000	-0.013511	0.009548	-0.803840	-0.002843	0.009497	-0.116517	-0.011624	0.009556	-0.650021	32.706184
DNAJB12	ENSG00000148719	0.024429	0.538480	1.098400	0	0.000000	0.006656	0.009549	0.313570	-0.000775	0.009496	-0.029195	-0.006237	0.009555	-0.289091	
DNAJB13	ENSG00000187726	0.023783	0.882130	0.310790	0	0.000000										
DNAJB14	ENSG00000164031	0.052828	0.649050	2.783700	0	0.000000	0.001006	0.009553	0.038022	0.019831	0.009495	1.434413	0.000388	0.009556	0.014311	
DNAJB2	ENSG00000135924	0.038952	0.836050	1.292400	0	0.000000	-0.002099	0.009557	-0.082932	0.014001	0.009501	0.851985	-0.006534	0.009558	-0.306080	
DNAJB4	ENSG00000162616	0.325555	0.638640	1.692300	0	0.147958	-0.003936	0.009549	-0.167370	-0.010826	0.009501	-0.594319	0.007736	0.009555	0.378652	
DNAJB5	ENSG00000137094	0.044288	0.596070	3.554900	0	0.000000	-0.010709	0.009549	-0.581503	-0.021728	0.009495	-1.655025	-0.010820	0.009556	-0.589102	
DNAJB6	ENSG00000105993	0.579050	0.568770	1.457700	0	0.158952	-0.018341	0.009548	-1.261556	-0.002347	0.009499	-0.094274	-0.002452	0.009555	-0.098288	
DNAJB7	ENSG00000172404	0.011432	4.007600	-1.385700	0	0.000000										
DNAJB8	ENSG00000179407	0.737087		-0.838700	0	0.052851										
DNAJB9	ENSG00000128590	0.390535	1.011900	-0.286670	0	0.190163	-0.015313	0.009551	-0.963005	0.009655	0.009501	0.509279	-0.007861	0.009555	-0.386463	-5.758394
DNAJC1	ENSG00000136770	0.572077	0.941810	-0.192470	0	0.473257	0.001279	0.009549	0.048919	0.003792	0.009497	0.161323	-0.000113	0.009555	-0.004118	
DNAJC10	ENSG00000077232	0.007733	1.036300	-0.730100	0	0.000000	-0.008436	0.009549	-0.423671	-0.008067	0.009498	-0.402574	0.004943	0.009555	0.218271	
DNAJC11	ENSG00000007923	0.844065	0.293800	2.602800	0	0.050058										
DNAJC12	ENSG00000108176	0.614041	1.224300	0.271940	0	0.512104	-0.006319	0.009549	-0.294022	-0.007430	0.009497	-0.362505	-0.019732	0.009555	-1.409555	
DNAJC13	ENSG00000138246	0.841593	0.312900	3.418300	0	0.039980	-0.003467	0.009550	-0.144721	0.008993	0.009496	0.463872	-0.005848	0.009557	-0.267097	
DNAJC14	ENSG00000135392	0.527531	0.282640	1.608000	0	0.152748	0.014625	0.009549	0.900879	0.008597	0.009496	0.437343	0.001471	0.009556	0.056673	
DNAJC15	ENSG00000120675	0.011082	1.660100	-0.652340	0	0.000000	-0.004289	0.009549	-0.184866	0.006104	0.009496	0.283688	-0.007650	0.009556	-0.373289	
DNAJC16	ENSG00000116138	0.014255	0.991860	1.019200	0	0.000000	-0.005971	0.009549	-0.274243	-0.000794	0.009498	-0.029947	0.014746	0.009554	0.910900	-16.536984
DNAJC17	ENSG00000104129	0.017035	0.964230	0.484890	0	0.000000										
DNAJC18	ENSG00000170464	0.025600	1.070400	1.808200	0	0.000000	-0.004296	0.009549	-0.185222	-0.006290	0.009496	-0.294366	-0.023854	0.009553	-1.901816	
DNAJC19	ENSG00000205981	0.016508	1.168200	1.290300	0	0.000000	0.003709	0.009550	0.156296	0.002171	0.009496	0.086646	0.007298	0.009556	0.351551	
DNAJC2	ENSG00000105821	0.021128	0.457310	2.694900	0	0.000000	-0.001596	0.009549	-0.061847	-0.016952	0.009496	-1.129267	-0.010079	0.009556	-0.535269	-7.341036
DNAJC21	ENSG00000168724	0.744978	1.073100	0.181000	1	0.000000	0.011196	0.009548	0.618015	0.012059	0.009498	0.689868	-0.005601	0.009556	-0.253523	11.829393
DNAJC22	ENSG00000178401	0.013334	1.521300	-0.256000	0	0.000000										
DNAJC24	ENSG00000170946	0.454295	1.415700	0.567090	0	0.458833	-0.008139	0.009549	-0.404482	0.007628	0.009496	0.374841	-0.003695	0.009556	-0.155509	-5.021008
DNAJC25	ENSG00000059769	0.738916	0.856430	1.103000	0	0.309069										
DNAJC25-GNG10	ENSG00000244115	0.020959	1.277800	0.812650	0	0.000000										
DNAJC27	ENSG00000115137	0.340443	1.111000	-0.198110	0	0.096255	0.001131	0.009549	0.043001	0.000909	0.009499	0.034443	-0.006288	0.009555	-0.292020	
DNAJC28	ENSG00000177692	0.559659	1.015000	0.264140	0	0.282999										
DNAJC3	ENSG00000102580	0.044093	0.725720	1.155900	0	0.000000	-0.015640	0.009551	-0.993352	0.005822	0.009497	0.267689	-0.012820	0.009555	-0.745486	8.140188
DNAJC30	ENSG00000176410	0.022041	1.579600	-0.739840	0	0.000000	0.008542	0.009550	0.430513	0.010105	0.009497	0.541564	0.012688	0.009555	0.734661	6.452715
DNAJC4	ENSG00000110011	0.015620	1.343700	-0.498450	0	0.000000	0.004554	0.009551	0.198269	0.000058	0.009497	0.002127	0.012459	0.009555	0.716004	22.712124
DNAJC5	ENSG00000101152	0.546867	0.204550	2.269900	0	0.206052	-0.010016	0.009548	-0.531342	0.016830	0.009495	1.117306	0.004159	0.009555	0.178240	
DNAJC5B	ENSG00000147570	0.529048	1.318900	0.078147	0	0.039651										
DNAJC5G	ENSG00000163793	0.014666	1.079400	-0.410660	0	0.000000										
DNAJC6	ENSG00000116675	0.734472	0.411440	2.169100	0	0.049585	-0.008444	0.009549	-0.424207	-0.016700	0.009495	-1.104379	-0.021529	0.009554	-1.615286	
DNAJC7	ENSG00000168259	0.083421	0.395880	3.352800	0	0.000000	-0.001092	0.009550	-0.041461	0.003729	0.009498	0.158233	-0.014881	0.009554	-0.923078	
DNAJC8	ENSG00000126698	0.018670	0.780780	2.278200	0	0.000000	-0.000794	0.009550	-0.029787	-0.010322	0.009496	-0.557408	-0.006288	0.009555	-0.291997	17.547598
DNAJC9	ENSG00000213551	0.024740	0.823860	0.279400	0	0.000000	-0.003527	0.009553	-0.147513	0.006074	0.009497	0.281907	0.000862	0.009556	0.032387	
DNAL1	ENSG00000119661	0.046436	0.867640	0.760610	0	0.000000	-0.008071	0.009551	-0.400047	0.009344	0.009496	0.487871	0.000893	0.009557	0.033593	
DNAL4	ENSG00000100246	0.012544	1.344000	0.367600	0	0.000000	-0.007871	0.009549	-0.387454	0.008140	0.009496	0.407411	-0.008999	0.009555	-0.460547	
DNALI1	ENSG00000163879	0.013717	1.233200	0.444820	0	0.000000										
DNASE1	ENSG00000213918	0.541728	1.537200	-3.213000	0	0.487927	-0.002315	0.009554	-0.092282	0.007646	0.009496	0.375989	0.012852	0.009554	0.748072	
DNASE1L2	ENSG00000167968	0.012445	1.459400	-1.774700	0	0.000000										
DNASE1L3	ENSG00000163687	0.933549	1.204900	0.312330	1	0.850725										
DNASE2	ENSG00000105612	0.870630	1.211700	0.811680	1	0.000000	-0.007145	0.009550	-0.342568	0.011859	0.009496	0.674175	0.004623	0.009559	0.201555	
DNASE2B	ENSG00000137976	0.013519	1.206300	0.405940	0	0.000000										
DND1	ENSG00000256453	0.025860	0.389550	2.288500	0	0.000000										
DNER	ENSG00000187957	0.027037	0.564550	0.782750	0	0.000000										
DNHD1	ENSG00000179532	0.664865	0.909930	2.951600	0	0.154829	-0.001048	0.009549	-0.039711	-0.009119	0.009496	-0.472421	-0.006034	0.009558	-0.277471	
DNLZ	ENSG00000213221	0.424769	2.947700	-2.891000	0	0.528852	-0.002331	0.009549	-0.093041	-0.005608	0.009496	-0.255816	-0.002620	0.009555	-0.105705	
DNM1	ENSG00000106976	0.047829	0.378020	6.794200	0	0.000000										
DNM1L	ENSG00000087470	0.911351	0.475330	5.776700	0	0.046282	-0.001802	0.009551	-0.070415	0.013498	0.009495	0.809131	-0.009724	0.009557	-0.510150	
DNM2	ENSG00000079805	0.036893	0.233380	5.532400	0	0.000000										
DNM3	ENSG00000197959	0.754899	0.589900	3.064200	0	0.448546	-0.003629	0.009549	-0.152498	-0.010274	0.009497	-0.553859	0.000118	0.009555	0.004285	
DNMBP	ENSG00000107554	0.683940	0.692990	1.690600	0	0.414999	-0.003204	0.009549	-0.132412	0.007413	0.009496	0.361454	-0.005735	0.009556	-0.260867	
DNMT1	ENSG00000130816	0.803620	0.164400	8.085100	0	0.260606	0.003876	0.009554	0.164352	0.007291	0.009498	0.353884	0.000442	0.009555	0.016310	
DNMT3A	ENSG00000119772	0.845004	2.512600	2.777400	0	0.829925	0.006323	0.009549	0.294234	0.005095	0.009497	0.227956	0.004042	0.009555	0.172455	-8.742076
DNMT3B	ENSG00000088305	0.960178	0.404920	3.279100	1	0.658021	0.018472	0.009547	1.275364	0.009954	0.009498	0.530665	0.003426	0.009556	0.142705	
DNMT3L	ENSG00000142182	0.538852	1.219500	-0.170370	0	0.276955										
DNPEP	ENSG00000123992	0.021816	0.994470	0.549910	0	0.000000	-0.006065	0.009551	-0.279511	-0.004517	0.009496	-0.197700	-0.010056	0.009555	-0.533689	
DNPH1	ENSG00000112667	0.033286	1.702000	-0.180660	0	0.000000	0.010978	0.009549	0.601483	0.014333	0.009496	0.881925	-0.003811	0.009560	-0.161028	
DNTT	ENSG00000107447	0.012501	0.984260	-0.639280	0	0.000000										
DNTTIP1	ENSG00000101457	0.025823	0.594070	3.055600	0	0.000000	0.002758	0.009551	0.111950	-0.006181	0.009496	-0.288101	0.013223	0.009555	0.778851	18.435989
DNTTIP2	ENSG00000067334	0.053723	0.960810	-0.305470	0	0.000000	0.011547	0.009550	0.644638	-0.004090	0.009497	-0.176045	-0.007394	0.009556	-0.357463	
DOC2A	ENSG00000149927	0.018039	0.946130	1.424700	0	0.000000										
DOC2B	ENSG00000272636	0.692973	1.046000	0.771090	0	0.479492										
DOCK1	ENSG00000150760	0.912171	0.605010	4.052600	0	0.087869										
DOCK10	ENSG00000135905	0.045889	0.594200	2.349600	0	0.000000	0.004237	0.009553	0.182155	0.007331	0.009497	0.356389	0.024800	0.009552	2.025133	
DOCK2	ENSG00000134516	0.960661	0.417700	4.919400	1	0.606271	-0.000885	0.009554	-0.033307	0.020565	0.009497	1.517402	0.020785	0.009555	1.528285	32.676552
DOCK3	ENSG00000088538	0.656496	0.280030	5.135300	0	0.155586	-0.001835	0.009550	-0.071810	-0.010851	0.009498	-0.596396	0.015439	0.009554	0.974132	
DOCK4	ENSG00000128512	0.861142	0.428350	2.673800	0	0.409606										
DOCK5	ENSG00000147459	0.612656	0.648120	1.785700	0	0.426980	-0.009864	0.009548	-0.520594	-0.009663	0.009496	-0.510175	0.004799	0.009555	0.210781	
DOCK6	ENSG00000130158	0.038225	0.824570	1.827600	0	0.000000										
