rank	gene	gene_id	pu_score	label_all	label_immune	label_status	family	gwas_present	perturbseq_measured	polarization_measured	oob_models
4504	SCN10A	ENSG00000185313	0.595781	1	1	positive	HGNC:1203	1	0	0	0
4505	GSDMB	ENSG00000073605	0.595676	0	0	unlabeled	HGNC:1529	1	1	0	100
4506	SLCO1C1	ENSG00000139155	0.595670	0	0	unlabeled	HGNC:2216	1	0	0	98
4507	CARD18	ENSG00000255501	0.595656	0	0	unlabeled	HGNC:959	1	0	0	99
4508	ANKRD12	ENSG00000101745	0.595595	0	0	unlabeled	HGNC:403	1	1	0	99
4509	FBXO40	ENSG00000163833	0.595498	0	0	unlabeled	HGNC:560	1	0	0	99
4510	KLRC1	ENSG00000134545	0.595439	0	0	unlabeled	HGNC:471	1	0	0	100
4511	TNP2	ENSG00000178279	0.595386	0	0	unlabeled	HGNC:3750	1	0	0	99
4512	TRAPPC12	ENSG00000171853	0.595358	0	0	unlabeled	HGNC:769	1	1	0	96
4513	TMEM131L	ENSG00000121210	0.595222	0	0	unlabeled	PFX:TME	1	1	1	98
4514	ABL2	ENSG00000143322	0.595170	0	0	unlabeled	HGNC:741	1	1	1	98
4515	SRCAP	ENSG00000080603	0.595158	0	0	unlabeled	HGNC:1190	1	1	0	98
4516	NCAPH2	ENSG00000025770	0.595137	0	0	unlabeled	HGNC:1453	1	1	1	97
4517	TMEM121	ENSG00000184986	0.595135	0	0	unlabeled	PFX:TME	1	1	0	99
4518	AVPI1	ENSG00000119986	0.595131	0	0	unlabeled	PFX:AVP	1	1	0	99
4519	LIPJ	ENSG00000204022	0.595117	0	0	unlabeled	HGNC:464	1	0	0	99
4520	SLC26A7	ENSG00000147606	0.595044	0	0	unlabeled	HGNC:2177	1	0	0	97
4521	TRAPPC8	ENSG00000153339	0.594722	0	0	unlabeled	HGNC:772	1	1	0	99
4522	FAT1	ENSG00000083857	0.594624	0	0	unlabeled	HGNC:24	1	1	0	98
4523	RTKN2	ENSG00000182010	0.594534	0	0	unlabeled	HGNC:682	1	1	1	97
4524	PRUNE2	ENSG00000106772	0.594525	0	0	unlabeled	HGNC:1299	1	1	0	98
4525	CENPC	ENSG00000145241	0.594525	0	0	unlabeled	HGNC:1576	1	0	0	94
4526	CFAP126	ENSG00000188931	0.594473	0	0	unlabeled	HGNC:1491	1	0	0	97
4527	PAMR1	ENSG00000149090	0.594462	0	0	unlabeled	HGNC:1179	1	0	0	99
4528	TOX	ENSG00000198846	0.594371	0	0	unlabeled	HGNC:2151	1	1	0	98
4529	ERICH6B	ENSG00000165837	0.594359	0	0	unlabeled	PFX:ERI	1	0	0	98
4530	MTARC2	ENSG00000117791	0.594316	0	0	unlabeled	PFX:MTA	1	0	0	100
4531	RDH5	ENSG00000135437	0.594309	0	0	unlabeled	HGNC:743	1	0	0	99
4532	IRX3	ENSG00000177508	0.594197	0	0	unlabeled	HGNC:526	1	1	0	99
4533	FECH	ENSG00000066926	0.594164	0	0	unlabeled	PFX:FEC	1	1	0	97
4534	ZNRF1	ENSG00000186187	0.594157	0	0	unlabeled	HGNC:58	1	1	1	98
4535	SOD1	ENSG00000142168	0.594108	0	0	unlabeled	HGNC:1929	1	1	0	100
4536	ZNF804A	ENSG00000170396	0.594030	0	0	unlabeled	HGNC:28	1	0	0	94
4537	CRHR2	ENSG00000106113	0.594017	0	0	unlabeled	HGNC:266	1	0	0	100
4538	ANKRD16	ENSG00000134461	0.593996	0	0	unlabeled	HGNC:403	1	1	1	99
4539	SPRR2D	ENSG00000163216	0.593975	0	0	unlabeled	HGNC:1353	1	0	0	98
4540	MOB3A	ENSG00000172081	0.593953	0	0	unlabeled	HGNC:647	1	1	0	97
4541	SOSTDC1	ENSG00000171243	0.593948	0	0	unlabeled	HGNC:1246	1	0	0	98
4542	GSDMC	ENSG00000147697	0.593811	0	0	unlabeled	HGNC:1529	1	0	0	97
4543	VEPH1	ENSG00000197415	0.593770	0	0	unlabeled	HGNC:682	1	0	0	99
4544	KNDC1	ENSG00000171798	0.593730	0	0	unlabeled	HGNC:3931	1	0	0	97
4545	ALLC	ENSG00000151360	0.593715	0	0	unlabeled	PFX:ALL	1	0	0	96
4546	SHISA2	ENSG00000180730	0.593460	0	0	unlabeled	HGNC:742	1	1	0	95
4547	PAG1	ENSG00000076641	0.593392	0	0	unlabeled	PFX:PAG	1	1	0	100
4548	CENPW	ENSG00000203760	0.593379	0	0	unlabeled	HGNC:1576	1	1	0	96
4549	SLC10A6	ENSG00000145283	0.593349	0	0	unlabeled	HGNC:2163	1	0	0	100
4550	SNTG2	ENSG00000172554	0.593349	0	0	unlabeled	HGNC:1220	1	0	0	97
4551	GPLD1	ENSG00000112293	0.593296	0	0	unlabeled	PFX:GPL	1	0	0	100
4552	IRX1	ENSG00000170549	0.593215	0	0	unlabeled	HGNC:526	1	0	1	98
4553	ARHGAP9	ENSG00000123329	0.592999	0	0	unlabeled	HGNC:682	1	1	0	95
4554	FCHSD2	ENSG00000137478	0.592934	0	0	unlabeled	HGNC:1288	1	1	0	98
4555	TBCK	ENSG00000145348	0.592898	0	0	unlabeled	HGNC:2246	1	1	0	100
4556	FBXL13	ENSG00000161040	0.592856	0	0	unlabeled	HGNC:558	1	0	0	100
4557	FCMR	ENSG00000162894	0.592805	0	0	unlabeled	HGNC:590	1	1	1	100
4558	ISOC1	ENSG00000066583	0.592700	0	0	unlabeled	HGNC:1691	1	1	0	95
4559	CACNA1H	ENSG00000196557	0.592700	1	1	positive	HGNC:1512	1	0	0	0
4560	ARMH1	ENSG00000198520	0.592621	0	0	unlabeled	HGNC:1492	1	1	0	97
4561	CCDC198	ENSG00000100557	0.592538	0	0	unlabeled	PFX:CCD	1	0	0	98
4562	GPC6	ENSG00000183098	0.592527	0	0	unlabeled	HGNC:572	1	0	0	99
4563	NHP2	ENSG00000145912	0.592501	0	0	unlabeled	HGNC:1221	0	0	0	97
4564	CCL7	ENSG00000108688	0.592385	0	0	unlabeled	HGNC:483	1	0	0	100
4565	NCDN	ENSG00000020129	0.592201	0	0	unlabeled	HGNC:1492	1	1	1	99
4566	UBA3	ENSG00000144744	0.592080	0	0	unlabeled	HGNC:100	1	1	0	96
4567	EXOC1L	ENSG00000250821	0.592064	0	0	unlabeled	PFX:EXO	1	0	0	96
4568	CLDN19	ENSG00000164007	0.592050	0	0	unlabeled	HGNC:488	1	0	0	98
4569	HS3ST3B1	ENSG00000125430	0.592044	0	0	unlabeled	HGNC:763	1	1	1	100
4570	FCHO2	ENSG00000157107	0.591948	0	0	unlabeled	HGNC:1288	1	1	0	99
4571	PAPSS1	ENSG00000138801	0.591810	0	0	unlabeled	PFX:PAP	1	1	1	100
4572	PLEKHG7	ENSG00000187510	0.591771	0	0	unlabeled	HGNC:682	1	0	0	98
4573	NECAB2	ENSG00000103154	0.591645	0	0	unlabeled	HGNC:663	1	0	0	97
4574	SHMT1	ENSG00000176974	0.591565	0	0	unlabeled	HGNC:1691	1	1	0	96
4575	INSL4	ENSG00000120211	0.591539	0	0	unlabeled	HGNC:1897	1	0	0	100
4576	CCDC54	ENSG00000138483	0.591500	0	0	unlabeled	PFX:CCD	1	0	0	99
4577	EFNA3	ENSG00000143590	0.591397	0	0	unlabeled	HGNC:546	1	0	0	98
4578	CD5	ENSG00000110448	0.591295	0	0	unlabeled	HGNC:471	1	1	1	99
4579	ZNF729	ENSG00000196350	0.591207	0	0	unlabeled	HGNC:28	1	0	0	98
4580	ANXA6	ENSG00000197043	0.591182	0	0	unlabeled	HGNC:404	1	1	1	95
4581	AKR1B10	ENSG00000198074	0.591164	0	0	unlabeled	HGNC:399	1	0	0	100
4582	AGMO	ENSG00000187546	0.591146	0	0	unlabeled	HGNC:552	1	0	0	98
4583	LPIN3	ENSG00000132793	0.591119	0	0	unlabeled	HGNC:1043	1	0	0	99
4584	TBC1D22B	ENSG00000065491	0.591098	0	0	unlabeled	PFX:TBC	1	1	0	98
4585	DEFB136	ENSG00000205884	0.590909	0	0	unlabeled	HGNC:503	1	0	0	99
4586	IGKC	ENSG00000211592	0.590740	0	0	unlabeled	HGNC:351	0	0	0	99
4587	PTAR1	ENSG00000188647	0.590712	0	0	unlabeled	HGNC:687	1	1	0	100
4588	APOC2	ENSG00000234906	0.590688	0	0	unlabeled	HGNC:405	1	0	0	98
4589	FHL2	ENSG00000115641	0.590623	0	0	unlabeled	HGNC:1218	1	1	0	97
4590	DCDC1	ENSG00000170959	0.590585	0	0	unlabeled	HGNC:1369	1	0	0	99
4591	CIMAP1B	ENSG00000177989	0.590575	0	0	unlabeled	PFX:CIM	1	1	0	99
4592	THSD4	ENSG00000187720	0.590536	0	0	unlabeled	HGNC:947	1	0	0	100
4593	MYRFL	ENSG00000166268	0.590507	0	0	unlabeled	PFX:MYR	1	0	1	100
4594	POLR2K	ENSG00000147669	0.590481	0	0	unlabeled	HGNC:726	1	1	0	98
4595	SAMD3	ENSG00000164483	0.590443	0	0	unlabeled	HGNC:760	1	1	0	97
4596	NUPR1	ENSG00000176046	0.590389	0	0	unlabeled	PFX:NUP	1	0	0	95
4597	EMC3	ENSG00000125037	0.590343	0	0	unlabeled	HGNC:1911	1	1	1	97
4598	PGGT1B	ENSG00000164219	0.590326	0	0	unlabeled	HGNC:3623	1	1	1	99
4599	CH25H	ENSG00000138135	0.590173	0	0	unlabeled	HGNC:552	1	0	0	97
4600	STEAP3	ENSG00000115107	0.590154	0	0	unlabeled	HGNC:1324	1	0	0	99
4601	SLC12A8	ENSG00000221955	0.590117	0	0	unlabeled	HGNC:1691	1	1	0	100
4602	DIPK1C	ENSG00000187773	0.590038	0	0	unlabeled	HGNC:1622	1	0	0	96
4603	CLYBL	ENSG00000125246	0.589847	0	0	unlabeled	HGNC:1691	1	1	0	99
4604	ICE1	ENSG00000164151	0.589723	0	0	unlabeled	PFX:ICE	1	0	0	95
4605	POPDC3	ENSG00000132429	0.589660	0	0	unlabeled	PFX:POP	1	0	0	96
4606	NUP205	ENSG00000155561	0.589623	0	0	unlabeled	HGNC:1051	1	1	0	99
4607	UBXN10	ENSG00000162543	0.589583	0	0	unlabeled	HGNC:364	1	1	0	96
4608	SDC1	ENSG00000115884	0.589578	0	0	unlabeled	HGNC:471	1	0	0	98
4609	SLC16A11	ENSG00000174326	0.589521	0	0	unlabeled	HGNC:2168	1	0	0	100
4610	NPFFR2	ENSG00000056291	0.589518	0	0	unlabeled	HGNC:240	1	0	0	99
4611	TMEM232	ENSG00000186952	0.589447	0	0	unlabeled	HGNC:1691	1	0	0	99
4612	HARBI1	ENSG00000180423	0.589428	0	0	unlabeled	HGNC:3471	1	1	0	98
4613	HEPACAM2	ENSG00000188175	0.589346	0	0	unlabeled	HGNC:590	1	0	0	100
4614	FOXC1	ENSG00000054598	0.589320	0	0	unlabeled	HGNC:508	1	1	0	98
4615	RAD52	ENSG00000002016	0.589313	0	0	unlabeled	PFX:RAD	1	1	0	96
4616	NOP10	ENSG00000182117	0.589281	0	0	unlabeled	HGNC:1221	0	1	0	99
4617	PTGIS	ENSG00000124212	0.589274	0	0	unlabeled	HGNC:1006	1	1	0	100
4618	TNFRSF17	ENSG00000048462	0.589266	1	1	positive	HGNC:471	1	0	0	0
4619	KCNV2	ENSG00000168263	0.589175	1	1	positive	HGNC:274	1	0	0	0
4620	ARHGEF28	ENSG00000214944	0.589059	0	0	unlabeled	HGNC:722	1	0	0	100
4621	HINT1	ENSG00000169567	0.589059	0	0	unlabeled	HGNC:1811	1	1	0	100
4622	PGM1	ENSG00000079739	0.589058	0	0	unlabeled	PFX:PGM	1	1	1	98
4623	RGS14	ENSG00000169220	0.588974	0	0	unlabeled	HGNC:720	1	1	0	99
4624	LIN54	ENSG00000189308	0.588971	0	0	unlabeled	HGNC:2281	1	1	0	100
4625	DSG1	ENSG00000134760	0.588722	0	0	unlabeled	HGNC:1188	1	0	0	98
4626	H2BC1	ENSG00000146047	0.588573	0	0	unlabeled	HGNC:1937	1	0	0	99
4627	AGAP2	ENSG00000135439	0.588562	0	0	unlabeled	HGNC:395	1	1	0	100
4628	C1QL2	ENSG00000144119	0.588515	0	0	unlabeled	HGNC:1372	1	0	0	94
4629	WRNIP1	ENSG00000124535	0.588490	0	0	unlabeled	HGNC:413	1	1	0	98
4630	TSGA13	ENSG00000213265	0.588455	0	0	unlabeled	PFX:TSG	1	0	0	98
4631	KCNA7	ENSG00000104848	0.588453	1	1	positive	HGNC:274	1	0	0	0
4632	ARHGAP45	ENSG00000180448	0.588304	0	0	unlabeled	HGNC:870	1	1	1	97
4633	SLC7A11	ENSG00000151012	0.588120	0	0	unlabeled	HGNC:2160	1	1	1	100
4634	PIP4K2C	ENSG00000166908	0.587837	0	0	unlabeled	PFX:PIP	1	1	0	99
4635	FEN1	ENSG00000168496	0.587718	0	0	unlabeled	HGNC:3423	1	1	1	99
4636	IQCC	ENSG00000160051	0.587615	0	0	unlabeled	PFX:IQC	1	1	0	98
4637	ZNHIT3	ENSG00000273611	0.587581	0	0	unlabeled	HGNC:83	1	0	1	98
4638	PRM2	ENSG00000122304	0.587580	0	0	unlabeled	HGNC:3724	1	0	0	98
4639	SLC5A9	ENSG00000117834	0.587530	0	0	unlabeled	HGNC:2158	1	0	0	94
4640	SLC17A3	ENSG00000124564	0.587499	0	0	unlabeled	HGNC:2169	1	0	0	100
4641	HMX1	ENSG00000215612	0.587436	0	0	unlabeled	HGNC:519	1	0	0	97
4642	IHO1	ENSG00000173421	0.587378	0	0	unlabeled	PFX:IHO	1	0	0	99
4643	SETX	ENSG00000107290	0.587317	0	0	unlabeled	HGNC:1169	1	1	0	98
4644	TPST2	ENSG00000128294	0.587248	0	0	unlabeled	HGNC:763	1	1	1	99
4645	YPEL5	ENSG00000119801	0.587230	0	0	unlabeled	HGNC:1130	1	1	1	99
4646	ST3GAL2	ENSG00000157350	0.587152	0	0	unlabeled	HGNC:438	1	1	1	97
4647	TEAD2	ENSG00000074219	0.587063	0	0	unlabeled	HGNC:1183	1	0	1	98
4648	C19orf47	ENSG00000160392	0.586894	0	0	unlabeled	PFX:C19	1	1	0	99
4649	PDCD1LG2	ENSG00000197646	0.586854	0	0	unlabeled	HGNC:471	1	1	0	99
4650	LCTL	ENSG00000188501	0.586645	0	0	unlabeled	HGNC:1652	1	0	0	99
4651	CYTL1	ENSG00000170891	0.586585	0	0	unlabeled	PFX:CYT	1	0	0	98
4652	ADAM30	ENSG00000134249	0.586438	0	0	unlabeled	HGNC:47	1	0	0	98
4653	SSBP2	ENSG00000145687	0.586428	0	0	unlabeled	HGNC:1677	1	1	0	98
4654	ANLN	ENSG00000011426	0.586403	0	0	unlabeled	HGNC:682	1	1	0	99
4655	EEF2KMT	ENSG00000118894	0.586334	0	0	unlabeled	HGNC:2056	1	1	0	98
4656	NCKIPSD	ENSG00000213672	0.586294	0	0	unlabeled	PFX:NCK	1	1	0	99
4657	CD1D	ENSG00000158473	0.586249	0	0	unlabeled	HGNC:471	1	0	0	98
4658	NSG2	ENSG00000170091	0.586246	0	0	unlabeled	PFX:NSG	1	0	0	96
4659	MEX3B	ENSG00000183496	0.586237	0	0	unlabeled	HGNC:58	1	0	0	97
4660	IFT25	ENSG00000081870	0.586232	0	0	unlabeled	HGNC:585	1	1	1	99
4661	NPHP4	ENSG00000131697	0.586011	0	0	unlabeled	HGNC:1546	1	1	1	98
4662	MYLK4	ENSG00000145949	0.586001	0	0	unlabeled	HGNC:1668	1	0	0	98
4663	LCN9	ENSG00000148386	0.585992	0	0	unlabeled	HGNC:631	1	0	0	97
4664	OR9G1	ENSG00000174914	0.585972	0	0	unlabeled	HGNC:156	1	0	0	100
4665	PECR	ENSG00000115425	0.585947	0	0	unlabeled	HGNC:743	1	1	0	99
4666	FCRL4	ENSG00000163518	0.585809	0	0	unlabeled	HGNC:471	1	0	0	98
4667	DMTF1	ENSG00000135164	0.585701	0	0	unlabeled	HGNC:532	1	1	0	99
4668	KIAA0586	ENSG00000100578	0.585683	0	0	unlabeled	PFX:KIA	1	1	1	99
4669	CEP20	ENSG00000133393	0.585640	0	0	unlabeled	HGNC:3838	1	1	0	98
4670	CEP43	ENSG00000213066	0.585575	0	0	unlabeled	HGNC:3838	1	1	1	100
4671	CFAP90	ENSG00000215217	0.585488	0	0	unlabeled	PFX:CFA	1	0	0	100
4672	CSNK1A1L	ENSG00000180138	0.585410	0	0	unlabeled	HGNC:1330	1	0	0	97
4673	TMEM65	ENSG00000164983	0.585396	0	0	unlabeled	PFX:TME	1	1	0	96
4674	CX3CL1	ENSG00000006210	0.585386	0	0	unlabeled	HGNC:483	1	0	0	98
4675	ANKRD23	ENSG00000163126	0.585152	0	0	unlabeled	HGNC:403	1	0	0	98
4676	ZNF608	ENSG00000168916	0.585098	0	0	unlabeled	HGNC:28	1	0	1	99
4677	DCDC2B	ENSG00000222046	0.585095	0	0	unlabeled	HGNC:1369	1	0	0	97
4678	RASA3	ENSG00000185989	0.585053	0	0	unlabeled	HGNC:682	1	1	1	98
4679	TMEM117	ENSG00000139173	0.585042	0	0	unlabeled	PFX:TME	1	1	0	96
4680	ARHGEF25	ENSG00000240771	0.585017	0	0	unlabeled	HGNC:722	1	0	0	96
4681	HPR	ENSG00000261701	0.584955	0	0	unlabeled	HGNC:1179	1	0	0	96
4682	LAPTM4B	ENSG00000104341	0.584948	0	0	unlabeled	PFX:LAP	1	1	0	99
4683	DECR1	ENSG00000104325	0.584747	0	0	unlabeled	HGNC:743	1	1	1	99
4684	EPB41L2	ENSG00000079819	0.584703	0	0	unlabeled	HGNC:951	1	1	1	100
4685	TWF2	ENSG00000247596	0.584686	0	0	unlabeled	HGNC:3711	1	1	0	98
4686	SENP7	ENSG00000138468	0.584684	0	0	unlabeled	HGNC:984	1	1	0	98
4687	SCG2	ENSG00000171951	0.584556	0	0	unlabeled	HGNC:925	1	0	0	99
4688	COQ9	ENSG00000088682	0.584545	0	0	unlabeled	PFX:COQ	1	1	0	100
4689	PPP2R2D	ENSG00000175470	0.584533	0	0	unlabeled	HGNC:362	1	1	0	99
4690	RWDD1	ENSG00000111832	0.584382	0	0	unlabeled	PFX:RWD	1	1	1	100
4691	ADAM18	ENSG00000168619	0.584218	0	0	unlabeled	HGNC:47	1	0	0	96
4692	EDN1	ENSG00000078401	0.584189	0	0	unlabeled	HGNC:1908	1	0	0	97
4693	ARMC12	ENSG00000157343	0.583735	0	0	unlabeled	HGNC:409	1	1	0	98
4694	ATP5PO	ENSG00000241837	0.583637	0	0	unlabeled	HGNC:644	1	1	1	99
4695	P3H2	ENSG00000090530	0.583582	0	0	unlabeled	HGNC:1368	1	0	0	97
4696	CLDN16	ENSG00000113946	0.583459	0	0	unlabeled	HGNC:488	1	0	0	100
4697	MYEOV	ENSG00000172927	0.583443	0	0	unlabeled	PFX:MYE	1	0	0	97
4698	LHX4	ENSG00000121454	0.583349	0	0	unlabeled	HGNC:522	1	0	0	98
4699	RNLS	ENSG00000184719	0.583341	0	0	unlabeled	HGNC:2258	1	1	0	100
4700	STX18	ENSG00000168818	0.583341	0	0	unlabeled	HGNC:818	1	0	0	97
4701	PPP1R15B	ENSG00000158615	0.583316	0	0	unlabeled	HGNC:694	1	1	1	97
4702	GALNT5	ENSG00000136542	0.583210	0	0	unlabeled	HGNC:433	1	0	0	98
4703	ST3GAL4	ENSG00000110080	0.583174	0	0	unlabeled	HGNC:438	1	1	0	98
4704	ELOVL4	ENSG00000118402	0.583111	0	0	unlabeled	HGNC:3530	1	1	0	99
4705	GALNT10	ENSG00000164574	0.582911	0	0	unlabeled	HGNC:433	1	1	0	98
4706	TRAPPC11	ENSG00000168538	0.582829	0	0	unlabeled	HGNC:772	1	1	0	98
4707	METTL5	ENSG00000138382	0.582715	0	0	unlabeled	HGNC:2061	1	1	0	96
4708	UBXN8	ENSG00000104691	0.582696	0	0	unlabeled	HGNC:364	1	1	0	97
4709	MAMSTR	ENSG00000176909	0.582527	0	0	unlabeled	HGNC:1407	1	0	0	100
4710	POU4F1	ENSG00000152192	0.582419	0	0	unlabeled	HGNC:523	1	1	0	99
4711	TPRG1	ENSG00000188001	0.582400	0	0	unlabeled	PFX:TPR	1	0	0	97
4712	DNAH17	ENSG00000187775	0.582302	0	0	unlabeled	HGNC:2031	1	0	0	98
4713	ALKAL2	ENSG00000189292	0.582266	0	0	unlabeled	HGNC:3930	1	0	0	98
4714	PEX13	ENSG00000162928	0.582247	0	0	unlabeled	HGNC:957	1	1	0	98
4715	ANGPT4	ENSG00000101280	0.582128	0	0	unlabeled	HGNC:542	1	0	0	99
4716	BBS9	ENSG00000122507	0.582072	0	0	unlabeled	HGNC:1122	1	1	0	97
4717	NT5C1B	ENSG00000185013	0.582004	0	0	unlabeled	HGNC:1042	1	0	0	99
4718	NUB1	ENSG00000013374	0.581983	0	0	unlabeled	PFX:NUB	1	1	0	95
4719	CBFA2T3	ENSG00000129993	0.581834	0	0	unlabeled	HGNC:87	1	1	0	99
4720	CHRAC1	ENSG00000104472	0.581726	0	0	unlabeled	HGNC:1633	1	1	1	99
4721	SNX5	ENSG00000089006	0.581618	0	0	unlabeled	HGNC:754	1	1	0	100
4722	TNFRSF4	ENSG00000186827	0.581601	0	0	unlabeled	HGNC:471	0	1	1	98
4723	GPX3	ENSG00000211445	0.581599	0	0	unlabeled	HGNC:890	1	0	0	97
4724	MAEL	ENSG00000143194	0.581427	0	0	unlabeled	PFX:MAE	1	1	0	99
4725	MAP3K1	ENSG00000095015	0.581316	0	0	unlabeled	HGNC:58	1	1	1	97
4726	RAI1	ENSG00000108557	0.581195	0	0	unlabeled	HGNC:88	1	1	0	98
4727	FPR1	ENSG00000171051	0.580995	0	0	unlabeled	HGNC:198	0	0	0	97
4728	NEFM	ENSG00000104722	0.580909	0	0	unlabeled	HGNC:611	1	0	0	97
4729	TRAK2	ENSG00000115993	0.580904	0	0	unlabeled	PFX:TRA	1	1	1	100
4730	CGRRF1	ENSG00000100532	0.580730	0	0	unlabeled	HGNC:58	1	1	0	99
4731	GSE1	ENSG00000131149	0.580661	0	0	unlabeled	PFX:GSE	1	1	0	97
4732	PDIA3	ENSG00000167004	0.580402	0	0	unlabeled	HGNC:692	1	1	1	96
4733	SPRED2	ENSG00000198369	0.580205	0	0	unlabeled	HGNC:2309	1	1	1	98
4734	NRIP2	ENSG00000053702	0.580121	0	0	unlabeled	HGNC:2098	1	0	1	94
4735	RGS6	ENSG00000182732	0.580064	0	0	unlabeled	HGNC:720	1	1	0	98
4736	FBXO21	ENSG00000135108	0.580051	0	0	unlabeled	HGNC:560	1	1	1	99
4737	PLEK	ENSG00000115956	0.580023	0	0	unlabeled	HGNC:682	1	1	0	95
4738	UBE2U	ENSG00000177414	0.579754	0	0	unlabeled	HGNC:102	1	0	0	99
4739	SPHK2	ENSG00000063176	0.579663	0	0	unlabeled	HGNC:3498	1	1	0	100
4740	TDO2	ENSG00000151790	0.579582	0	0	unlabeled	HGNC:3876	1	0	0	99
4741	PHF3	ENSG00000118482	0.579529	0	0	unlabeled	HGNC:88	1	1	1	98
4742	LLPH	ENSG00000139233	0.579375	0	0	unlabeled	PFX:LLP	1	1	0	99
4743	YPEL1	ENSG00000100027	0.579337	0	0	unlabeled	HGNC:1130	1	1	0	100
4744	SMC4	ENSG00000113810	0.579271	0	0	unlabeled	HGNC:761	1	1	0	98
4745	HTRA3	ENSG00000170801	0.579258	0	0	unlabeled	HGNC:1220	1	0	0	99
4746	VPS26A	ENSG00000122958	0.579191	0	0	unlabeled	PFX:VPS	1	1	1	95
4747	TSHB	ENSG00000134200	0.579156	0	0	unlabeled	HGNC:542	1	0	0	99
4748	TGS1	ENSG00000137574	0.579127	0	0	unlabeled	HGNC:2059	1	0	0	99
4749	DNAJB6	ENSG00000105993	0.579050	0	0	unlabeled	HGNC:584	1	1	0	97
4750	TEX46	ENSG00000227868	0.578981	0	0	unlabeled	PFX:TEX	1	0	0	95
4751	RBKS	ENSG00000171174	0.578645	0	0	unlabeled	PFX:RBK	1	1	0	99
4752	PANK1	ENSG00000152782	0.578557	0	0	unlabeled	HGNC:1691	1	1	0	99
4753	FERD3L	ENSG00000146618	0.578519	0	0	unlabeled	HGNC:420	1	0	0	97
4754	TM6SF2	ENSG00000213996	0.578512	0	0	unlabeled	HGNC:3913	1	0	0	97
4755	FTMT	ENSG00000181867	0.578436	0	0	unlabeled	HGNC:1455	1	0	0	96
4756	ZFYVE26	ENSG00000072121	0.578404	0	0	unlabeled	HGNC:81	1	1	1	98
4757	KIAA0319L	ENSG00000142687	0.578234	0	0	unlabeled	PFX:KIA	1	1	1	99
4758	KLF4	ENSG00000136826	0.578073	0	0	unlabeled	HGNC:28	1	0	1	97
4759	ERP44	ENSG00000023318	0.578012	0	0	unlabeled	HGNC:692	1	1	0	99
4760	PPIL3	ENSG00000240344	0.577898	0	0	unlabeled	HGNC:909	1	1	0	97
4761	ITIH3	ENSG00000162267	0.577878	0	0	unlabeled	HGNC:1840	1	0	0	98
4762	CSTPP1	ENSG00000149179	0.577851	0	0	unlabeled	HGNC:3838	1	1	0	97
4763	DNAH11	ENSG00000105877	0.577803	0	0	unlabeled	HGNC:2031	1	0	0	100
4764	CYP4F3	ENSG00000186529	0.577801	0	0	unlabeled	HGNC:1003	1	0	0	97
4765	FYCO1	ENSG00000163820	0.577757	0	0	unlabeled	HGNC:81	1	1	0	98
4766	GPATCH8	ENSG00000186566	0.577685	0	0	unlabeled	HGNC:28	1	1	1	100
4767	PXDNL	ENSG00000147485	0.577680	0	0	unlabeled	HGNC:593	1	0	0	100
4768	TAL2	ENSG00000186051	0.577666	0	0	unlabeled	HGNC:420	1	0	0	98
4769	HOXA1	ENSG00000105991	0.577593	0	0	unlabeled	HGNC:518	1	0	0	98
4770	RBFOX1	ENSG00000078328	0.577586	0	0	unlabeled	HGNC:725	1	0	0	95
4771	BAIAP2L1	ENSG00000006453	0.577578	0	0	unlabeled	HGNC:1287	1	1	0	99
4772	METTL1	ENSG00000037897	0.577524	0	0	unlabeled	HGNC:3364	1	1	1	97
4773	ACTRT3	ENSG00000184378	0.577521	0	0	unlabeled	HGNC:1436	1	0	0	97
4774	PCK2	ENSG00000100889	0.577453	0	0	unlabeled	HGNC:3807	1	1	0	95
4775	GDF10	ENSG00000266524	0.577445	0	0	unlabeled	HGNC:1932	1	0	0	97
4776	LIX1	ENSG00000145721	0.577376	0	0	unlabeled	PFX:LIX	1	0	0	99
4777	KDSR	ENSG00000119537	0.577336	0	0	unlabeled	HGNC:743	1	1	0	94
4778	FST	ENSG00000134363	0.577332	0	0	unlabeled	PFX:FST	1	0	0	100
4779	MOGS	ENSG00000115275	0.577250	0	0	unlabeled	HGNC:1650	0	1	1	94
4780	C1GALT1	ENSG00000106392	0.577077	0	0	unlabeled	HGNC:426	1	1	0	98
4781	SARNP	ENSG00000205323	0.577056	0	0	unlabeled	HGNC:1348	1	1	1	95
4782	GDF15	ENSG00000130513	0.576752	0	0	unlabeled	HGNC:1691	1	0	0	97
4783	MEF2A	ENSG00000068305	0.576576	0	0	unlabeled	HGNC:649	1	1	0	99
4784	DOK4	ENSG00000125170	0.576496	0	0	unlabeled	HGNC:682	1	1	0	98
4785	GARIN6	ENSG00000180219	0.576485	0	0	unlabeled	HGNC:2323	1	0	0	98
4786	RNF146	ENSG00000118518	0.576448	0	0	unlabeled	HGNC:58	1	1	0	100
4787	SYNE3	ENSG00000176438	0.576413	0	0	unlabeled	HGNC:1252	1	1	0	98
4788	TRAPPC10	ENSG00000160218	0.576381	0	0	unlabeled	HGNC:772	1	1	0	100
4789	CTXN2	ENSG00000233932	0.576345	0	0	unlabeled	PFX:CTX	1	0	0	98
4790	CIMIP3	ENSG00000287363	0.576276	0	0	unlabeled	PFX:CIM	1	0	0	97
