rank	gene	gene_id	pu_score	label_all	label_immune	label_status	family	gwas_present	perturbseq_measured	polarization_measured	oob_models
69	IKBKB	ENSG00000104365	0.955293	0	0	unlabeled	HGNC:1802	1	1	1	99
70	PDE2A	ENSG00000186642	0.955152	1	1	positive	HGNC:681	1	0	0	0
71	ARPC5	ENSG00000162704	0.955141	0	0	unlabeled	HGNC:39	1	1	0	99
72	NUTM2F	ENSG00000130950	0.954920	0	0	unlabeled	PFX:NUT	1	0	0	97
73	IRF8	ENSG00000140968	0.954714	0	0	unlabeled	HGNC:1691	1	1	1	96
74	CASR	ENSG00000036828	0.954626	0	0	unlabeled	HGNC:279	1	0	0	97
75	NCF2	ENSG00000116701	0.954457	0	0	unlabeled	HGNC:769	1	1	0	99
76	IL6R	ENSG00000160712	0.953616	1	1	positive	HGNC:471	1	1	0	0
77	IKZF3	ENSG00000161405	0.953531	0	0	unlabeled	HGNC:28	1	1	0	97
78	IL2RB	ENSG00000100385	0.953318	1	1	positive	HGNC:471	1	1	1	0
79	IL21R	ENSG00000103522	0.953146	0	0	unlabeled	HGNC:471	1	1	1	99
80	OTULIN	ENSG00000154124	0.953066	0	0	unlabeled	HGNC:669	1	1	0	98
81	IL21	ENSG00000138684	0.952852	0	0	unlabeled	HGNC:601	1	1	1	99
82	FASLG	ENSG00000117560	0.952624	0	0	unlabeled	HGNC:471	1	1	0	96
83	PGM3	ENSG00000013375	0.952554	0	0	unlabeled	PFX:PGM	1	0	0	98
84	COL4A2	ENSG00000134871	0.951708	0	0	unlabeled	HGNC:1691	1	0	0	99
85	STAT3	ENSG00000168610	0.951686	0	0	unlabeled	HGNC:741	1	1	1	98
86	LINGO1	ENSG00000169783	0.951224	0	0	unlabeled	HGNC:593	1	0	0	95
87	ANO3	ENSG00000134343	0.951199	0	0	unlabeled	HGNC:865	1	0	0	100
88	COPG1	ENSG00000181789	0.950572	0	0	unlabeled	HGNC:1493	1	1	0	98
89	IL23R	ENSG00000162594	0.950375	0	0	unlabeled	PFX:IL2	1	1	1	99
90	BLM	ENSG00000197299	0.950312	0	0	unlabeled	HGNC:1049	1	1	0	95
91	SOCS1	ENSG00000185338	0.949892	0	0	unlabeled	HGNC:741	1	1	0	98
92	CTNNA2	ENSG00000066032	0.949802	0	0	unlabeled	HGNC:1543	1	0	0	100
93	IRF1	ENSG00000125347	0.949468	0	0	unlabeled	HGNC:1743	1	1	1	100
94	FAS	ENSG00000026103	0.949393	0	0	unlabeled	HGNC:471	1	1	0	100
95	PDE10A	ENSG00000112541	0.949362	1	1	positive	HGNC:681	1	0	0	0
96	RGPD4	ENSG00000196862	0.949098	0	0	unlabeled	HGNC:769	1	0	0	99
97	FKBP1A	ENSG00000088832	0.948830	1	1	positive	HGNC:910	1	0	0	0
98	TPP2	ENSG00000134900	0.948478	0	0	unlabeled	PFX:TPP	1	1	1	97
99	TRPM3	ENSG00000083067	0.948469	0	0	unlabeled	HGNC:249	1	0	0	99
100	KCNH7	ENSG00000184611	0.948434	1	1	positive	HGNC:274	1	0	0	0
101	PRKG1	ENSG00000185532	0.948252	0	0	unlabeled	HGNC:1691	1	0	0	100
102	NFATC2	ENSG00000101096	0.947780	0	0	unlabeled	HGNC:665	1	1	1	99
103	NFKB1	ENSG00000109320	0.947644	0	0	unlabeled	HGNC:403	1	1	1	98
104	FOXN1	ENSG00000109101	0.947479	0	0	unlabeled	HGNC:508	1	0	0	98
105	NDST3	ENSG00000164100	0.947439	0	0	unlabeled	HGNC:763	1	0	0	98
106	IFNGR1	ENSG00000027697	0.947340	1	1	positive	HGNC:471	1	1	1	0
107	MTHFD1	ENSG00000100714	0.947295	0	0	unlabeled	HGNC:870	1	1	1	97
108	ERBB3	ENSG00000065361	0.947126	1	1	positive	HGNC:1096	1	0	0	0
109	IL12RB1	ENSG00000096996	0.947107	0	0	unlabeled	HGNC:471	1	1	1	99
110	LIMS1	ENSG00000169756	0.946905	0	0	unlabeled	HGNC:1163	1	0	0	98
111	IKZF2	ENSG00000030419	0.946870	0	0	unlabeled	HGNC:28	1	1	1	99
112	CD55	ENSG00000196352	0.946831	0	0	unlabeled	HGNC:454	1	1	0	98
113	CCR2	ENSG00000121807	0.946722	0	0	unlabeled	HGNC:471	1	1	1	98
114	KCNA1	ENSG00000111262	0.946359	1	1	positive	HGNC:274	1	0	0	0
115	SLC4A10	ENSG00000144290	0.945986	0	0	unlabeled	HGNC:2157	1	0	0	94
116	AMY2A	ENSG00000243480	0.945908	0	0	unlabeled	HGNC:1648	1	0	0	99
117	AK2	ENSG00000004455	0.945176	0	0	unlabeled	HGNC:356	1	0	0	98
118	HECW2	ENSG00000138411	0.945114	0	0	unlabeled	HGNC:823	1	0	0	98
119	KCNJ6	ENSG00000157542	0.945053	0	0	unlabeled	HGNC:276	1	0	0	96
120	CD27	ENSG00000139193	0.944938	0	0	unlabeled	HGNC:471	1	1	0	96
121	SCN3A	ENSG00000153253	0.944561	1	1	positive	HGNC:1203	1	0	0	0
122	PSTPIP1	ENSG00000140368	0.944384	0	0	unlabeled	HGNC:1288	1	1	0	98
123	LCT	ENSG00000115850	0.944348	0	0	unlabeled	HGNC:1652	1	0	0	98
124	CACNA2D1	ENSG00000153956	0.944063	1	1	positive	HGNC:1514	1	0	0	0
125	GJA1	ENSG00000152661	0.944005	0	0	unlabeled	HGNC:314	1	0	0	100
126	CATSPERT	ENSG00000155754	0.943740	0	0	unlabeled	HGNC:823	1	0	0	98
127	SLC6A11	ENSG00000132164	0.943595	0	0	unlabeled	HGNC:2159	1	0	0	97
128	RHOH	ENSG00000168421	0.943560	0	0	unlabeled	HGNC:390	1	1	0	98
129	CXCR4	ENSG00000121966	0.943125	1	1	positive	HGNC:471	1	1	0	0
130	PTPRC	ENSG00000081237	0.943124	0	0	unlabeled	HGNC:471	1	1	1	99
131	CACNA1B	ENSG00000148408	0.942855	1	1	positive	HGNC:863	1	0	0	0
132	TNFRSF11A	ENSG00000141655	0.942846	0	0	unlabeled	HGNC:471	1	1	0	99
133	PPP2R2C	ENSG00000074211	0.942595	0	0	unlabeled	HGNC:362	1	0	0	97
134	CARD9	ENSG00000187796	0.942442	0	0	unlabeled	HGNC:959	1	0	0	99
135	RAPGEF2	ENSG00000109756	0.942410	0	0	unlabeled	HGNC:1220	1	1	0	100
136	RASGRF1	ENSG00000058335	0.942117	0	0	unlabeled	HGNC:682	1	0	0	100
137	CASP8	ENSG00000064012	0.942046	0	0	unlabeled	HGNC:468	1	1	0	98
138	EFR3B	ENSG00000084710	0.941966	0	0	unlabeled	HGNC:1492	1	0	0	97
139	CD163	ENSG00000177575	0.941932	0	0	unlabeled	HGNC:471	1	0	0	100
140	ASCC3	ENSG00000112249	0.941870	0	0	unlabeled	HGNC:1916	1	0	0	98
141	GFI1	ENSG00000162676	0.941674	0	0	unlabeled	HGNC:28	1	1	1	99
142	ZNG1A	ENSG00000172785	0.941653	0	0	unlabeled	HGNC:3573	1	0	0	99
143	TNFRSF1A	ENSG00000067182	0.941511	0	0	unlabeled	HGNC:471	1	1	1	96
144	IFNAR2	ENSG00000159110	0.941348	1	1	positive	HGNC:599	1	1	1	0
145	SLC1A2	ENSG00000110436	0.941260	0	0	unlabeled	HGNC:2154	1	0	0	98
146	CASTOR2	ENSG00000274070	0.941120	0	0	unlabeled	PFX:CAS	1	0	0	96
147	SPDYE12	ENSG00000184616	0.941010	0	0	unlabeled	HGNC:756	1	0	0	98
148	TRPV4	ENSG00000111199	0.940995	0	0	unlabeled	HGNC:249	1	0	0	98
149	CSF2RB	ENSG00000100368	0.940860	1	1	positive	HGNC:471	1	1	0	0
150	TRAF3	ENSG00000131323	0.940839	0	0	unlabeled	HGNC:58	1	1	1	100
151	KCNT2	ENSG00000162687	0.940550	0	0	unlabeled	HGNC:856	1	0	0	95
152	FAT4	ENSG00000196159	0.940390	0	0	unlabeled	HGNC:24	1	0	0	100
153	MAPK8	ENSG00000107643	0.940343	0	0	unlabeled	HGNC:3761	1	1	0	99
154	GABRB2	ENSG00000145864	0.940283	1	1	positive	HGNC:563	1	0	0	0
155	CD247	ENSG00000198821	0.940230	0	0	unlabeled	HGNC:471	1	1	1	99
156	SYK	ENSG00000165025	0.939936	1	1	positive	HGNC:741	1	1	1	0
157	PLXNA2	ENSG00000076356	0.939797	0	0	unlabeled	HGNC:683	1	0	0	99
158	TLR4	ENSG00000136869	0.939550	0	0	unlabeled	HGNC:471	1	0	0	99
159	GRIK4	ENSG00000149403	0.939425	1	1	positive	HGNC:1199	1	0	0	0
160	TBX21	ENSG00000073861	0.939191	0	0	unlabeled	HGNC:766	1	1	1	100
161	RHD	ENSG00000187010	0.938760	0	0	unlabeled	HGNC:454	1	0	0	97
162	IL17RA	ENSG00000177663	0.938674	1	1	positive	HGNC:471	1	1	0	0
163	GABRA2	ENSG00000151834	0.937934	1	1	positive	HGNC:563	1	0	0	0
164	SLU7	ENSG00000164609	0.937781	0	0	unlabeled	HGNC:1498	1	0	0	99
165	AP3D1	ENSG00000065000	0.937686	0	0	unlabeled	HGNC:1493	1	1	1	98
166	TPTE	ENSG00000274391	0.937511	0	0	unlabeled	HGNC:837	1	0	0	96
167	WDR1	ENSG00000071127	0.937046	0	0	unlabeled	HGNC:362	1	0	0	97
168	CD28	ENSG00000178562	0.936675	0	0	unlabeled	HGNC:471	1	1	1	99
169	MECOM	ENSG00000085276	0.936624	0	0	unlabeled	HGNC:28	1	0	0	97
170	CHD7	ENSG00000171316	0.936600	0	0	unlabeled	HGNC:532	1	1	1	99
171	SERPING1	ENSG00000149131	0.936550	0	0	unlabeled	HGNC:739	1	0	0	96
172	GABRG2	ENSG00000113327	0.936505	1	1	positive	HGNC:563	1	0	0	0
173	CFHR4	ENSG00000134365	0.936434	0	0	unlabeled	HGNC:1179	1	0	0	98
174	KCND2	ENSG00000184408	0.936316	1	1	positive	HGNC:274	1	0	0	0
175	SLC4A4	ENSG00000080493	0.936065	0	0	unlabeled	HGNC:2157	1	0	0	100
176	F2	ENSG00000180210	0.935959	1	1	positive	HGNC:542	1	0	0	0
177	SLIT1	ENSG00000187122	0.935908	0	0	unlabeled	HGNC:3803	1	0	0	98
178	SLC4A3	ENSG00000114923	0.935882	0	0	unlabeled	HGNC:2157	1	0	0	99
179	STAT5B	ENSG00000173757	0.935444	0	0	unlabeled	HGNC:741	1	1	1	97
180	KCNJ2	ENSG00000123700	0.935260	0	0	unlabeled	HGNC:276	1	0	0	98
181	NFE2L2	ENSG00000116044	0.935076	0	0	unlabeled	HGNC:1691	1	1	1	98
182	PHF19	ENSG00000119403	0.934985	0	0	unlabeled	HGNC:88	1	1	1	99
183	ADCY2	ENSG00000078295	0.934755	0	0	unlabeled	HGNC:53	1	0	0	100
184	ELANE	ENSG00000197561	0.934744	1	1	positive	HGNC:1636	1	0	0	0
185	SGF29	ENSG00000176476	0.934626	0	0	unlabeled	HGNC:780	1	1	1	97
186	CNR1	ENSG00000118432	0.934557	1	1	positive	HGNC:202	1	0	0	0
187	FNIP1	ENSG00000217128	0.934455	0	0	unlabeled	HGNC:504	1	1	0	97
188	KCNJ11	ENSG00000187486	0.934233	1	1	positive	HGNC:276	1	0	0	0
189	AIRE	ENSG00000160224	0.934214	0	0	unlabeled	HGNC:88	1	0	0	98
190	USP18	ENSG00000184979	0.934178	0	0	unlabeled	HGNC:366	1	1	1	99
191	LILRA6	ENSG00000244482	0.933914	0	0	unlabeled	HGNC:471	1	0	0	100
192	EIF3C	ENSG00000184110	0.933889	0	0	unlabeled	HGNC:1121	1	0	0	98
193	KCNH1	ENSG00000143473	0.933884	1	1	positive	HGNC:274	1	0	0	0
194	NOS1	ENSG00000089250	0.933880	0	0	unlabeled	HGNC:1220	1	0	0	99
195	PTPRB	ENSG00000127329	0.933785	0	0	unlabeled	HGNC:555	1	0	0	100
196	DNASE1L3	ENSG00000163687	0.933549	0	0	unlabeled	PFX:DNA	1	0	0	99
197	KCND3	ENSG00000171385	0.933548	1	1	positive	HGNC:274	1	0	0	0
198	GRIA1	ENSG00000155511	0.933201	1	1	positive	HGNC:1200	1	0	0	0
199	GABRA1	ENSG00000022355	0.933097	1	1	positive	HGNC:563	1	0	0	0
200	CHUK	ENSG00000213341	0.932823	0	0	unlabeled	HGNC:1802	1	1	1	97
201	SLIT3	ENSG00000184347	0.932685	0	0	unlabeled	HGNC:1691	1	0	0	99
202	MARK1	ENSG00000116141	0.932547	0	0	unlabeled	HGNC:2132	1	0	0	98
203	BMP8A	ENSG00000183682	0.932437	0	0	unlabeled	HGNC:455	1	0	1	97
204	ASAP1	ENSG00000153317	0.932333	0	0	unlabeled	HGNC:395	1	0	0	100
205	SMARCD3	ENSG00000082014	0.932320	0	0	unlabeled	HGNC:1604	1	0	0	98
206	SNRPC	ENSG00000124562	0.932290	0	0	unlabeled	HGNC:84	1	1	0	99
207	C2orf69	ENSG00000178074	0.932277	0	0	unlabeled	PFX:C2O	1	1	0	98
208	VPS13D	ENSG00000048707	0.932190	0	0	unlabeled	HGNC:1835	1	0	0	97
209	WNT3	ENSG00000108379	0.932105	0	0	unlabeled	HGNC:360	1	0	0	97
210	SCUBE3	ENSG00000146197	0.932036	0	0	unlabeled	PFX:SCU	1	0	0	96
211	ZBTB24	ENSG00000112365	0.931991	0	0	unlabeled	HGNC:28	1	1	1	100
212	PDE8B	ENSG00000113231	0.931880	1	1	positive	HGNC:681	1	0	0	0
213	ESRRG	ENSG00000196482	0.931649	0	0	unlabeled	HGNC:2078	1	0	0	100
214	SNED1	ENSG00000162804	0.931634	0	0	unlabeled	HGNC:555	1	0	0	98
215	CUL1	ENSG00000055130	0.931595	0	0	unlabeled	HGNC:1032	1	0	0	97
216	TET2	ENSG00000168769	0.931562	0	0	unlabeled	HGNC:2049	1	1	1	98
