symbol	gene_group	gene_group_id
ABL1	SH2 domain containing|Abl family tyrosine kinases	741|1463
ABL2	SH2 domain containing|Abl family tyrosine kinases	741|1463
ABLIM1	LIM domain containing	1218
ABLIM2	LIM domain containing|MicroRNA protein coding host genes	1218|1691
ABLIM2-DT	Divergent transcripts	1990
ABLIM3	LIM domain containing	1218
ABO	Glycosyltransferase family 6|Blood group antigens	429|454
ABR	Pleckstrin homology domain containing|Dbl family Rho GEFs|C2 domain containing|MicroRNA protein coding host genes	682|722|823|1691
ABR-AS1	Antisense RNAs	1987
ABRA		
ABRACL		
ABRAXAS1	BRCA1 A complex	1328
ABRAXAS1P1		
ABRAXAS1P2		
ABRAXAS2	BRISC complex	1375
ABT1	SSU processome	1484
ABT1P1		
ABTB1	Ankyrin repeat domain containing|BTB domain containing	403|861
ABTB2	Ankyrin repeat domain containing|BTB domain containing	403|861
ABTB3	Ankyrin repeat domain containing|BTB domain containing	403|861
ACAA1		
ACAA2		
ACAA2P1		
ACACA	Acetyl-CoA carboxylase family|ATP-grasp fold containing	3437|3752
ACACB	Acetyl-CoA carboxylase family|ATP-grasp fold containing	3437|3752
ACAD8	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACAD9	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex|Flavoproteins	974|1387|2258
ACAD9-DT	Divergent transcripts	1990
ACAD10	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACAD11	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACADL	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACADM	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACADS	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACADSB	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACADVL	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
ACAN	Hyalectan proteoglycans|V-set domain containing|Sushi domain containing|C-type lectin domain containing	574|590|1179|1298
ACAP1	ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing	395|403|1291
ACAP2	ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing	395|403|1291
ACAP2-IT1	Intronic transcripts	1989
ACAP3	ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing|MicroRNA protein coding host genes	395|403|1291|1691
ACAT1		
ACAT2		
ACBD3	A-kinase anchoring proteins	396
ACBD3-AS1	Antisense RNAs	1987
ACBD4		
ACBD5		
ACBD6	Ankyrin repeat domain containing|MicroRNA protein coding host genes	403|1691
ACBD7		
ACBD7P1		
ACCS		
ACCSL		
ACCSLP1		
ACD	Shelterin complex	1334
ACE	CD molecules	471
ACE2		
ACE2-DT	Divergent transcripts	1990
ACE3P	Unitary pseudogenes	3418
ACER1	Alkaline ceramidases	400
ACER2	Alkaline ceramidases	400
ACER2P1		
ACER3	Alkaline ceramidases	400
ACER3-AS1	Antisense RNAs	1987
ACHE	Blood group antigens|Cholinesterase family	454|3435
ACIN1	ASAP complex subunits	1236
ACKR1	Blood group antigens|CD molecules|Atypical chemokine receptors	454|471|1090
ACKR2	Atypical chemokine receptors	1090
ACKR3	Atypical chemokine receptors	1090
ACKR4	Atypical chemokine receptors	1090
ACKR4P1		
ACKR5	G protein-coupled receptors, Class A orphans|Atypical chemokine receptors	262|1090
ACLY		
ACMSD	MicroRNA protein coding host genes|Decarboxylases	1691|3807
ACNATP	Unitary pseudogenes	3418
ACO1	Aconitases	3924
ACO2	Aconitases	3924
ACO2P1		
ACO2P2		
ACOD1	Decarboxylases	3807
ACOT1	Acyl-CoA thioesterases	41
ACOT2	Acyl-CoA thioesterases	41
ACOT4	Acyl-CoA thioesterases	41
ACOT4P1		
ACOT6	Acyl-CoA thioesterases	41
ACOT7	Acyl-CoA thioesterases	41
ACOT8	Acyl-CoA thioesterases	41
ACOT9	Acyl-CoA thioesterases	41
ACOT11	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	41|759
ACOT12	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	41|759
ACOT12-DT	Divergent transcripts	1990
ACOT13	Acyl-CoA thioesterases	41
ACOX1	Flavoproteins	2258
ACOX2	Flavoproteins	2258
ACOX3	Flavoproteins	2258
ACOXL	Flavoproteins	2258
ACOXL-AS1	Antisense RNAs	1987
ACP1	Class II Cys-based phosphatases|Acid phosphatases	712|1071
ACP2	Acid phosphatases	1071
ACP3	Acid phosphatases	1071
ACP4	Acid phosphatases	1071
ACP5	Acid phosphatases	1071
ACP6	Acid phosphatases	1071
ACP7	Acid phosphatases	1071
ACR	Serine proteases	738
ACRBP	Armadillo like helical domain containing	1492
ACRP1		
ACRV1		
ACSBG1	Acyl-CoA synthetase family	40
ACSBG2	Acyl-CoA synthetase family	40
ACSBG3P	Unitary pseudogenes	3418
ACSF2	Acyl-CoA synthetase family	40
ACSF3	Acyl-CoA synthetase family	40
ACSL1	Acyl-CoA synthetase family	40
ACSL1-DT	Divergent transcripts	1990
ACSL3	Acyl-CoA synthetase family	40
ACSL3-AS1	Antisense RNAs	1987
ACSL3P1		
ACSL4	Acyl-CoA synthetase family	40
ACSL5	Acyl-CoA synthetase family	40
ACSL6	Acyl-CoA synthetase family	40
ACSL6-AS1	Antisense RNAs	1987
ACSL6-AS2	Antisense RNAs	1987
ACSM1	Acyl-CoA synthetase family	40
ACSM2A	Acyl-CoA synthetase family	40
ACSM2B	Acyl-CoA synthetase family	40
ACSM3	Acyl-CoA synthetase family	40
ACSM4	Acyl-CoA synthetase family	40
ACSM5	Acyl-CoA synthetase family	40
ACSM5P1		
ACSM6	Acyl-CoA synthetase family	40
ACSS1	Acyl-CoA synthetase family	40
ACSS2	Acyl-CoA synthetase family	40
ACSS3	Acyl-CoA synthetase family|MicroRNA protein coding host genes	40|1691
ACSS3-AS1	Antisense RNAs	1987
ACTA1	Actins	929
ACTA2	Actins	929
ACTA2-AS1	Antisense RNAs	1987
ACTB	Actins|BAF complex subunits|PBAF complex subunits|GBAF complex subunits	929|1604|1605|1606
ACTBL2	Actins	929
ACTBP1		
ACTBP2		
ACTBP3		
ACTBP4		
ACTBP6		
ACTBP7		
ACTBP8		
ACTBP9		
ACTBP10		
ACTBP11		
ACTBP12		
ACTBP14		
ACTBP15		
ACTBP16		
ACTC1	Actins	929
ACTE1P	Unitary pseudogenes	3418
ACTG1	Actins	929
ACTG1P1		
ACTG1P2		
ACTG1P3		
ACTG1P4		
ACTG1P6		
ACTG1P7		
ACTG1P8		
ACTG1P9		
ACTG1P10		
ACTG1P11		
ACTG1P12		
ACTG1P13		
ACTG1P14		
ACTG1P15		
ACTG1P16		
ACTG1P17		
ACTG1P18		
ACTG1P19		
ACTG1P20		
ACTG1P21		
ACTG1P22		
ACTG1P23		
ACTG1P24		
ACTG1P25		
ACTG2	Actins	929
ACTL6A	INO80 complex|SRCAP complex subunits|Actin related proteins|BAF complex subunits|PBAF complex subunits|GBAF complex subunits|Tip60/Nua4 histone acetyltransferase complex subunits	595|1329|1436|1604|1605|1606|1634
ACTL6A-AS1	Antisense RNAs	1987
ACTL6B	Actin related proteins|BAF complex subunits|PBAF complex subunits|GBAF complex subunits	1436|1604|1605|1606
ACTL7A	Actin related proteins	1436
ACTL7B	Actin related proteins	1436
ACTL8	Actin related proteins	1436
ACTL9	Actin related proteins	1436
ACTL10	Actin related proteins	1436
ACTL11P	Unitary pseudogenes	3418
ACTMAP		
ACTN1	Actinins	1112
ACTN1-DT	Divergent transcripts	1990
ACTN2	Actinins	1112
ACTN3	Actinins	1112
ACTN3-AS1	Antisense RNAs	1987
ACTN4	Actinins	1112
ACTN4-AS1	Antisense RNAs	1987
ACTN4P1		
ACTN4P2		
ACTP1		
ACTR1A	Dynactin subunits|Actin related proteins	943|1436
ACTR1AP1		
ACTR1B	Actin related proteins	1436
ACTR2	Actin related protein 2/3 complex subunits|Actin related proteins	39|1436
ACTR2P1		
ACTR2P2		
ACTR3	Actin related protein 2/3 complex subunits|Actin related proteins	39|1436
ACTR3-AS1	Antisense RNAs	1987
ACTR3B	Actin related proteins	1436
ACTR3BP1		
ACTR3BP2		
ACTR3BP3		
ACTR3BP4		
ACTR3BP5		
ACTR3BP6		
ACTR3BP7		
ACTR3C	Actin related proteins	1436
ACTR3P1		
ACTR3P2		
ACTR3P3		
ACTR5	INO80 complex|Actin related proteins	595|1436
ACTR6	SRCAP complex subunits|Actin related proteins	1329|1436
ACTR6P1		
ACTR8	INO80 complex|Actin related proteins	595|1436
ACTR10	Dynactin subunits|Actin related proteins	943|1436
ACTRT1	Actin related proteins	1436
ACTRT1P1		
ACTRT2	Actin related proteins	1436
ACTRT3	Actin related proteins	1436
ACVR1	Type 1 receptor serine/threonine kinases	345
ACVR1B	Type 1 receptor serine/threonine kinases	345
ACVR1C	Type 1 receptor serine/threonine kinases	345
ACVR2A	Type 2 receptor serine/threonine kinases	346
ACVR2B	Type 2 receptor serine/threonine kinases	346
ACVR2B-AS1	Antisense RNAs	1987
ACVRL1	Type 1 receptor serine/threonine kinases	345
ACY1	M20 metallopeptidases	1443
ACY3		
ACYP1		
ACYP2		
ADA	Adenosine deaminase family	1302
ADA2	Adenosine deaminase family	1302
ADAD1	Adenosine deaminases acting on RNA	1303
ADAD1-AS1	Antisense RNAs	1987
ADAD1P1		
ADAD1P2		
ADAD2	Adenosine deaminases acting on RNA	1303
ADAD2-AS1	Antisense RNAs	1987
ADAM1A	ADAM metallopeptidase domain containing|Unitary pseudogenes	47|3418
ADAM1B	ADAM metallopeptidase domain containing|Unitary pseudogenes	47|3418
ADAM2	ADAM metallopeptidase domain containing	47
ADAM3A	ADAM metallopeptidase domain containing|Unitary pseudogenes	47|3418
ADAM3B	ADAM metallopeptidase domain containing	47
ADAM5	ADAM metallopeptidase domain containing|Unitary pseudogenes	47|3418
ADAM6	ADAM metallopeptidase domain containing|Unitary pseudogenes	47|3418
ADAM7	ADAM metallopeptidase domain containing	47
ADAM7-AS1	Antisense RNAs	1987
ADAM7-AS2	Antisense RNAs	1987
ADAM8	ADAM metallopeptidase domain containing|CD molecules	47|471
ADAM9	ADAM metallopeptidase domain containing	47
