symbol	gene_group	gene_group_id
HMGB3	Canonical high mobility group	511
HMGB3P1		
HMGB3P2		
HMGB3P3		
HMGB3P4		
HMGB3P5		
HMGB3P6		
HMGB3P7		
HMGB3P8		
HMGB3P9		
HMGB3P10		
HMGB3P11		
HMGB3P12		
HMGB3P13		
HMGB3P14		
HMGB3P15		
HMGB3P16		
HMGB3P17		
HMGB3P18		
HMGB3P19		
HMGB3P20		
HMGB3P21		
HMGB3P22		
HMGB3P23		
HMGB3P24		
HMGB3P25		
HMGB3P26		
HMGB3P27		
HMGB3P28		
HMGB3P29		
HMGB3P30		
HMGB3P31		
HMGB3P32		
HMGB4	Canonical high mobility group	511
HMGCL		
HMGCLL1		
HMGCR		
HMGCS1		
HMGCS1-DT	Divergent transcripts	1990
HMGCS2		
HMGN1	Canonical high mobility group	511
HMGN1P1		
HMGN1P2		
HMGN1P3		
HMGN1P4		
HMGN1P5		
HMGN1P6		
HMGN1P7		
HMGN1P8		
HMGN1P9		
HMGN1P10		
HMGN1P11		
HMGN1P12		
HMGN1P13		
HMGN1P14		
HMGN1P15		
HMGN1P16		
HMGN1P17		
HMGN1P18		
HMGN1P19		
HMGN1P20		
HMGN1P21		
HMGN1P22		
HMGN1P23		
HMGN1P24		
HMGN1P25		
HMGN1P26		
HMGN1P27		
HMGN1P28		
HMGN1P29		
HMGN1P30		
HMGN1P31		
HMGN1P32		
HMGN1P33		
HMGN1P34		
HMGN1P35		
HMGN1P36		
HMGN1P37		
HMGN1P38		
HMGN2	Canonical high mobility group	511
HMGN2P1		
HMGN2P2		
HMGN2P3		
HMGN2P4		
HMGN2P5		
HMGN2P6		
HMGN2P7		
HMGN2P8		
HMGN2P9		
HMGN2P10		
HMGN2P11		
HMGN2P12		
HMGN2P13		
HMGN2P14		
HMGN2P15		
HMGN2P16		
HMGN2P17		
HMGN2P18		
HMGN2P19		
HMGN2P20		
HMGN2P21		
HMGN2P22		
HMGN2P23		
HMGN2P24		
HMGN2P25		
HMGN2P26		
HMGN2P27		
HMGN2P28		
HMGN2P29		
HMGN2P30		
HMGN2P31		
HMGN2P32		
HMGN2P33		
HMGN2P34		
HMGN2P35		
HMGN2P36		
HMGN2P37		
HMGN2P38		
HMGN2P39		
HMGN2P40		
HMGN2P41		
HMGN2P42		
HMGN2P43		
HMGN2P44		
HMGN2P45		
HMGN2P46	Small nucleolar RNA non-coding host genes	1839
HMGN2P47		
HMGN2P48		
HMGN3	Canonical high mobility group	511
HMGN3-AS1	Antisense RNAs	1987
HMGN3P1		
HMGN4	Canonical high mobility group	511
HMGN5	Canonical high mobility group	511
HMGXB3	Non-canonical high mobility group	512
HMGXB4	Non-canonical high mobility group	512
HMHB1	Minor histocompatibility antigens	870
HMMR	CD molecules	471
HMMR-AS1	Antisense RNAs	1987
HMOX1	Heme oxygenase family	3873
HMOX2	Heme oxygenase family	3873
HMSD	Minor histocompatibility antigens	870
HMX1	NKL subclass homeoboxes and pseudogenes	519
HMX1-AS1	Antisense RNAs	1987
HMX2	NKL subclass homeoboxes and pseudogenes	519
HMX3	NKL subclass homeoboxes and pseudogenes	519
HNF1A	HNF class homeoboxes	524
HNF1A-AS1	Antisense RNAs	1987
HNF1B	HNF class homeoboxes	524
HNF4A	MicroRNA protein coding host genes|Hepatocyte nuclear factor 4 family	1691|2085
HNF4A-AS1	Antisense RNAs	1987
HNF4G	Hepatocyte nuclear factor 4 family	2085
HNF4GP1		
HNMT	7BS small molecule methyltransferases|Small molecule methyltransferases	2063|3372
HNRNPA0	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPA1	RNA binding motif containing|Spliceosomal A complex|Heterogeneous nuclear ribonucleoproteins	725|1504|1950
HNRNPA1L2	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPA1L3		
HNRNPA1P1		
HNRNPA1P2		
HNRNPA1P3		
HNRNPA1P4		
HNRNPA1P5		
HNRNPA1P6		
HNRNPA1P7		
HNRNPA1P8		
HNRNPA1P9		
HNRNPA1P10		
HNRNPA1P11		
HNRNPA1P12		
HNRNPA1P13		
HNRNPA1P14		
HNRNPA1P15		
HNRNPA1P16		
HNRNPA1P17		
HNRNPA1P18		
HNRNPA1P19		
HNRNPA1P20		
HNRNPA1P21		
HNRNPA1P22		
HNRNPA1P23		
HNRNPA1P24		
HNRNPA1P25		
HNRNPA1P26		
HNRNPA1P27		
HNRNPA1P28		
HNRNPA1P29		
HNRNPA1P30		
HNRNPA1P31		
HNRNPA1P32		
HNRNPA1P33		
HNRNPA1P34		
HNRNPA1P35		
HNRNPA1P36		
HNRNPA1P37		
HNRNPA1P38		
HNRNPA1P39		
HNRNPA1P40		
HNRNPA1P41		
HNRNPA1P42		
HNRNPA1P43		
HNRNPA1P44		
HNRNPA1P45		
HNRNPA1P46		
HNRNPA1P47		
HNRNPA1P49		
HNRNPA1P50		
HNRNPA1P51		
HNRNPA1P52		
HNRNPA1P53		
HNRNPA1P54		
HNRNPA1P55		
HNRNPA1P56		
HNRNPA1P57		
HNRNPA1P58		
HNRNPA1P59		
HNRNPA1P60		
HNRNPA1P61		
HNRNPA1P62		
HNRNPA1P63		
HNRNPA1P64		
HNRNPA1P65		
HNRNPA1P66		
HNRNPA1P67		
HNRNPA1P68		
HNRNPA1P69		
HNRNPA1P70		
HNRNPA1P71		
HNRNPA1P72		
HNRNPA1P73		
HNRNPA1P74		
HNRNPA1P75		
HNRNPA1P76		
HNRNPA1P77		
HNRNPA2B1	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPA3	RNA binding motif containing|MicroRNA protein coding host genes|Heterogeneous nuclear ribonucleoproteins	725|1691|1950
HNRNPA3P1		
HNRNPA3P2		
HNRNPA3P3		
HNRNPA3P4		
HNRNPA3P5		
HNRNPA3P6		
HNRNPA3P7		
HNRNPA3P8		
HNRNPA3P9		
HNRNPA3P10		
HNRNPA3P11		
HNRNPA3P12		
HNRNPA3P13		
HNRNPA3P14		
HNRNPA3P15		
HNRNPA3P16		
HNRNPA3P17		
HNRNPAB	RNA binding motif containing|Spliceosomal A complex|Heterogeneous nuclear ribonucleoproteins	725|1504|1950
HNRNPABP1		
HNRNPC	RNA binding motif containing|Spliceosomal C complex|Spliceosomal P complex|Heterogeneous nuclear ribonucleoproteins	725|1510|1516|1950
HNRNPCL1	RNA binding motif containing	725
HNRNPCL2		
HNRNPCL3		
HNRNPCL4		
HNRNPCP1		
HNRNPCP2		
HNRNPCP3		
HNRNPCP4		
HNRNPCP6		
HNRNPCP7		
HNRNPCP8		
HNRNPCP9		
HNRNPCP10		
HNRNPD	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPD-DT	Divergent transcripts	1990
HNRNPDL	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPDLP1		
HNRNPDLP2		
HNRNPDLP3		
HNRNPDLP4		
HNRNPDLP5		
HNRNPDP1		
HNRNPDP2		
HNRNPF	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPFP1		
HNRNPH1	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPH1P1		
HNRNPH1P2		
HNRNPH1P3		
HNRNPH2	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPH3	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPH3P1		
HNRNPK	MicroRNA protein coding host genes|Heterogeneous nuclear ribonucleoproteins	1691|1950
HNRNPK-AS1	Antisense RNAs	1987
HNRNPKP1		
HNRNPKP2		
HNRNPKP3		
HNRNPKP4		
HNRNPKP5		
HNRNPL	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPLL	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPLL-AS1	Antisense RNAs	1987
HNRNPLP1		
HNRNPLP2		
HNRNPM	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPMP1		
HNRNPMP2		
HNRNPR	RNA binding motif containing|Heterogeneous nuclear ribonucleoproteins	725|1950
HNRNPRP1		
HNRNPRP2		
HNRNPRP3		
HNRNPU	Heterogeneous nuclear ribonucleoproteins	1950
HNRNPUL1		
HNRNPUL2		
HNRNPUL2-BSCL2		
HNRNPUP1		
HOATZ		
HOGA1		
HOMER1	Homer scaffold proteins 	871
HOMER1-DT	Divergent transcripts	1990
HOMER2	Homer scaffold proteins 	871
HOMER2P1		
HOMER2P2		
HOMER3	Homer scaffold proteins 	871
HOMER3-AS1	Antisense RNAs	1987
HOMEZ	ZF class homeoboxes and pseudogenes	529
HOOK1	FHF complex|HOOK family	2012|3500
HOOK2	FHF complex|HOOK family	2012|3500
HOOK3	FHF complex|HOOK family|Centriolar satellite proteins	2012|3500|3838
HOPX	PRD class homeoboxes and pseudogenes	521
HOPX-AS1	Antisense RNAs	1987
HORMAD1		
HORMAD1P1		
HORMAD2		
HORMAD2-AS1	Antisense RNAs	1987
HOTAIR	Long non-coding RNAs with non-systematic symbols	1992
HOTAIRM1	Long non-coding RNAs with non-systematic symbols	1992
HOTTIP	Long non-coding RNAs with non-systematic symbols	1992
HOXA-AS2	Antisense RNAs	1987
HOXA-AS3	Antisense RNAs	1987
HOXA1	HOXL subclass homeoboxes	518
HOXA2	HOXL subclass homeoboxes	518
HOXA3	HOXL subclass homeoboxes	518
HOXA4	HOXL subclass homeoboxes	518
HOXA5	HOXL subclass homeoboxes	518
HOXA6	HOXL subclass homeoboxes	518
HOXA7	HOXL subclass homeoboxes	518
HOXA9	HOXL subclass homeoboxes	518
HOXA10	HOXL subclass homeoboxes	518
HOXA10-AS	Antisense RNAs	1987
HOXA10-HOXA9		
HOXA11	HOXL subclass homeoboxes	518
HOXA11-AS	Antisense RNAs	1987
HOXA13	HOXL subclass homeoboxes	518
HOXA@		
HOXB-AS1	Antisense RNAs	1987
HOXB-AS2	Antisense RNAs	1987
HOXB-AS3	Antisense RNAs	1987
HOXB-AS4	Antisense RNAs	1987
HOXB1	HOXL subclass homeoboxes	518
HOXB2	HOXL subclass homeoboxes	518
HOXB3	HOXL subclass homeoboxes|MicroRNA protein coding host genes	518|1691
HOXB4	HOXL subclass homeoboxes	518
HOXB5	HOXL subclass homeoboxes	518
HOXB6	HOXL subclass homeoboxes	518
HOXB7	HOXL subclass homeoboxes	518
HOXB8	HOXL subclass homeoboxes	518
HOXB9	HOXL subclass homeoboxes	518
HOXB13	HOXL subclass homeoboxes	518
HOXB@		
HOXC-AS1	Antisense RNAs	1987
HOXC-AS2	Antisense RNAs	1987
HOXC-AS3	Antisense RNAs	1987
HOXC4	HOXL subclass homeoboxes	518
HOXC5	HOXL subclass homeoboxes|MicroRNA protein coding host genes	518|1691
HOXC6	HOXL subclass homeoboxes	518
HOXC8	HOXL subclass homeoboxes	518
HOXC9	HOXL subclass homeoboxes	518
HOXC10	HOXL subclass homeoboxes	518
HOXC11	HOXL subclass homeoboxes	518
HOXC12	HOXL subclass homeoboxes	518
HOXC13	HOXL subclass homeoboxes	518
HOXC13-AS	Antisense RNAs	1987
HOXC@		
HOXD-AS2	Antisense RNAs	1987
HOXD1	HOXL subclass homeoboxes|MicroRNA protein coding host genes	518|1691
HOXD3	HOXL subclass homeoboxes	518
HOXD4	HOXL subclass homeoboxes|MicroRNA protein coding host genes	518|1691
HOXD8	HOXL subclass homeoboxes	518
HOXD9	HOXL subclass homeoboxes	518
HOXD10	HOXL subclass homeoboxes	518
HOXD11	HOXL subclass homeoboxes	518
HOXD12	HOXL subclass homeoboxes	518
HOXD13	HOXL subclass homeoboxes	518
HOXD@		
HP	Sushi domain containing	1179
HP1BP3		
HPCA	EF-hand domain containing	863
HPCAL1	EF-hand domain containing	863
HPCAL4	EF-hand domain containing	863
HPD	Glyoxalase domain containing|Oxygenases	2111|3876
HPDL	Glyoxalase domain containing|Oxygenases	2111|3876
HPF1		
HPF1-DT	Divergent transcripts	1990
HPF1P1		
HPF1P2		
HPGD	Short chain dehydrogenase/reductase superfamily	743
HPGD-AS2	Antisense RNAs	1987
HPGDS	Soluble glutathione S-transferases	567
HPN	Scavenger receptor cysteine rich domain containing|Type II transmembrane serine proteases	1404|2020
HPN-AS1	Antisense RNAs	1987
HPR	Sushi domain containing	1179
HPRT1		
HPRT1P1		
HPRT1P2		
HPRT1P3		
HPS1	Biogenesis of lysosomal organelles complex 3 |MicroRNA protein coding host genes	1039|1691
HPS1-AS1	Antisense RNAs	1987
HPS3	Biogenesis of lysosomal organelles complex 2 	1038
HPS4	Biogenesis of lysosomal organelles complex 3 	1039
HPS5	WD repeat domain containing|Biogenesis of lysosomal organelles complex 2 	362|1038
HPS6	Biogenesis of lysosomal organelles complex 2 	1038
HPSE	Heparanase family	1651
HPSE-AS1	Antisense RNAs	1987
HPSE2	Heparanase family|MicroRNA protein coding host genes	1651|1691
HPV6AI1		
HPV18I1		
HPV18I2		
HPX		
HPYR1	Long non-coding RNAs with non-systematic symbols	1992
HR	Lysine demethylases	485
HRAS	RAS type GTPase family	389
HRC		
HRCT1		
HRDAL	Long non-coding RNAs with non-systematic symbols	1992
HRES1		
HRG	Cystatins, type 4	968
HRG-AS1	Antisense RNAs	1987
HRGP1		
HRGP2		
HRH1	Histamine receptors	187
HRH2	Histamine receptors	187
HRH3	Histamine receptors	187
HRH4	Histamine receptors	187
HRK	BCL2 homology region 3 (BH3) only	1277
HRNR	EF-hand domain containing|S100 fused type protein family	863|1350
HROB		
HRURF		
HS1BP3		
HS1BP3-IT1	Intronic transcripts	1989
HS2ST1	Sulfotransferases, membrane bound	763
HS3ST1	Sulfotransferases, membrane bound	763
HS3ST1-AS1	Antisense RNAs	1987
HS3ST2	Sulfotransferases, membrane bound	763
HS3ST3A1	Sulfotransferases, membrane bound|MicroRNA protein coding host genes	763|1691
HS3ST3B1	Sulfotransferases, membrane bound	763
HS3ST4	Sulfotransferases, membrane bound|MicroRNA protein coding host genes	763|1691
HS3ST5	Sulfotransferases, membrane bound	763
HS3ST6	Sulfotransferases, membrane bound	763
HS6ST1	Sulfotransferases, membrane bound	763
HS6ST1P1		
HS6ST2	Sulfotransferases, membrane bound	763
HS6ST2-AS1	Antisense RNAs	1987
HS6ST3	Sulfotransferases, membrane bound|MicroRNA protein coding host genes	763|1691
HSALR1	Long non-coding RNAs with non-systematic symbols	1992
HSBP1		
HSBP1L1		
HSBP1P1		
HSBP1P2		
HSCB	DNAJ (HSP40) heat shock proteins	584
HSD3B1	Short chain dehydrogenase/reductase superfamily	743
HSD3B2	Short chain dehydrogenase/reductase superfamily	743
HSD3B7	Short chain dehydrogenase/reductase superfamily	743
HSD3BP1		
HSD3BP2		
HSD3BP3		
HSD3BP4		
HSD3BP5		
HSD11B1	Short chain dehydrogenase/reductase superfamily	743
HSD11B1-AS1	Antisense RNAs	1987
HSD11B1L	Short chain dehydrogenase/reductase superfamily	743
HSD11B2	Short chain dehydrogenase/reductase superfamily	743
HSD17B1	Short chain dehydrogenase/reductase superfamily	743
HSD17B1-AS1	Antisense RNAs	1987
HSD17B1P1		
HSD17B2	Short chain dehydrogenase/reductase superfamily	743
HSD17B2-AS1	Antisense RNAs	1987
HSD17B3	Short chain dehydrogenase/reductase superfamily	743
HSD17B3-AS1	Antisense RNAs	1987
HSD17B4	Short chain dehydrogenase/reductase superfamily|SCP2 domain containing|Carbon-oxygen lyases	743|3686|3925
HSD17B6	Short chain dehydrogenase/reductase superfamily	743
HSD17B7	Short chain dehydrogenase/reductase superfamily	743
HSD17B7P1		
HSD17B7P2		
HSD17B8	Short chain dehydrogenase/reductase superfamily	743
HSD17B10	Short chain dehydrogenase/reductase superfamily|Mitochondrial RNase P complex	743|1534
HSD17B11	Short chain dehydrogenase/reductase superfamily	743
HSD17B12	Short chain dehydrogenase/reductase superfamily	743
HSD17B12P1		
HSD17B12P2		
HSD17B13	Short chain dehydrogenase/reductase superfamily	743
HSD17B14	Short chain dehydrogenase/reductase superfamily	743
HSDL1	Short chain dehydrogenase/reductase superfamily	743
HSDL2	Short chain dehydrogenase/reductase superfamily|SCP2 domain containing	743|3686
HSDL2-AS1	Antisense RNAs	1987
HSF1		
HSF2		
HSF2BP	Armadillo like helical domain containing|MicroRNA protein coding host genes	1492|1691
HSF4		
HSF5		
HSFX1	Proteins encoded by multiple genes	2293
HSFX2	Proteins encoded by multiple genes	2293
HSFX3		
HSFX4		
HSFY1	Proteins encoded by multiple genes	2293
HSFY1P1		
HSFY2	Proteins encoded by multiple genes	2293
HSFY3P		
HSFY4P		
HSFY5P		
HSFY6P		
HSFY7P		
HSFY8P		
HSH2D	SH2 domain containing	741
HSH2D-AS1	Antisense RNAs	1987
HSP90AA1	Heat shock 90kDa proteins	586
HSP90AA2P		
HSP90AA3P	Heat shock 90kDa proteins	586
HSP90AA4P		
HSP90AA5P		
HSP90AA6P		
HSP90AB1	Heat shock 90kDa proteins	586
HSP90AB2P		
HSP90AB3P		
HSP90AB4P		
HSP90AB5P		
HSP90AB6P		
HSP90AB7P		
HSP90B1	Heat shock 90kDa proteins|MicroRNA protein coding host genes	586|1691
HSP90B2P		
HSP90B3P		
HSPA1A	Heat shock 70kDa proteins|TIM23 complex	583|1552
HSPA1B	Heat shock 70kDa proteins|TIM23 complex	583|1552
HSPA1L	Heat shock 70kDa proteins|TIM23 complex	583|1552
HSPA2	Heat shock 70kDa proteins	583
HSPA2-AS1	Antisense RNAs	1987
HSPA4	Heat shock 70kDa proteins	583
HSPA4L	Heat shock 70kDa proteins	583
HSPA5	Heat shock 70kDa proteins	583
HSPA5-DT	Divergent transcripts	1990
HSPA5P1		
HSPA6	Heat shock 70kDa proteins	583
HSPA7	Heat shock 70kDa proteins	583
HSPA8	Heat shock 70kDa proteins|Spliceosomal C complex|Spliceosomal P complex	583|1510|1516
HSPA8P1		
HSPA8P2		
HSPA8P3		
HSPA8P4		
HSPA8P5		
HSPA8P6		
HSPA8P7		
HSPA8P8		
HSPA8P9		
HSPA8P10		
HSPA8P11		
HSPA8P12		
HSPA8P13		
HSPA8P14		
HSPA8P15		
HSPA8P16		
HSPA8P17		
HSPA8P18		
HSPA8P19		
HSPA8P20		
HSPA9	Heat shock 70kDa proteins|Small nucleolar RNA protein coding host genes	583|1835
HSPA9-AS1	Antisense RNAs	1987
HSPA9P1		
HSPA9P2		
HSPA12A	Heat shock 70kDa proteins	583
HSPA12A-AS1	Antisense RNAs	1987
HSPA12B	Heat shock 70kDa proteins	583
HSPA13	Heat shock 70kDa proteins	583
HSPA14	Heat shock 70kDa proteins	583
HSPB1	Small heat shock proteins	585
HSPB1P1		
HSPB1P2		
HSPB2	Small heat shock proteins	585
HSPB2-C11orf52		
HSPB3	Small heat shock proteins	585
HSPB6	Small heat shock proteins|Protein phosphatase 1 regulatory subunits	585|694
HSPB7	Small heat shock proteins	585
HSPB8	Small heat shock proteins	585
HSPB8-AS1	Antisense RNAs	1987
HSPB9	Small heat shock proteins	585
HSPBAP1	Iron (II) and 2-oxoglutarate dependent oxygenases	1368
HSPBAP1P1		
HSPBP1	Armadillo like helical domain containing	1492
HSPD1	Chaperonins|Mitochondrial nucleoid associated proteins	587|2290
HSPD1P1		
HSPD1P2		
HSPD1P3		
HSPD1P4		
HSPD1P5		
HSPD1P6		
HSPD1P7		
HSPD1P8		
HSPD1P9		
HSPD1P10		
HSPD1P11		
HSPD1P12		
HSPD1P13		
HSPD1P14		
HSPD1P15		
HSPD1P16		
HSPD1P17		
HSPD1P18		
HSPD1P19		
HSPD1P20		
HSPD1P21		
HSPD1P22		
HSPE1	Chaperonins	587
HSPE1-MOB4		
HSPE1P1		
HSPE1P2		
HSPE1P3		
HSPE1P4		
HSPE1P5		
HSPE1P6		
HSPE1P7		
HSPE1P8		
HSPE1P9		
HSPE1P10		
HSPE1P11		
HSPE1P12		
HSPE1P13		
HSPE1P14		
HSPE1P15		
HSPE1P16		
HSPE1P17		
HSPE1P18		
HSPE1P19		
HSPE1P20		
HSPE1P21		
HSPE1P22		
HSPE1P23		
HSPE1P24		
HSPE1P25		
HSPE1P26		
HSPE1P27		
HSPE1P28		
HSPG2	Proteoglycans|I-set domain containing	570|593
HSPH1	Heat shock 70kDa proteins	583
HTATIP2	Short chain dehydrogenase/reductase superfamily	743
HTATSF1	RNA binding motif containing	725
HTATSF1P1		
HTATSF1P2		
HTD2	3-hydroxyacyl-[acyl-carrier-protein] dehydratases	3943
HTN1	Histatins and statherin|Secretory calcium-binding phosphoprotein family	971|2245
HTN3	Histatins and statherin|Secretory calcium-binding phosphoprotein family	971|2245
HTOR		
HTR1A	5-hydroxytryptamine receptors, G protein-coupled	170
HTR1B	5-hydroxytryptamine receptors, G protein-coupled	170
HTR1D	5-hydroxytryptamine receptors, G protein-coupled	170
HTR1DP1		
HTR1E	5-hydroxytryptamine receptors, G protein-coupled	170
HTR1F	5-hydroxytryptamine receptors, G protein-coupled	170
HTR2A	5-hydroxytryptamine receptors, G protein-coupled	170
HTR2A-AS1	Antisense RNAs	1987
HTR2B	5-hydroxytryptamine receptors, G protein-coupled	170
HTR2C	5-hydroxytryptamine receptors, G protein-coupled|MicroRNA protein coding host genes|Small nucleolar RNA protein coding host genes	170|1691|1835
HTR3A	5-hydroxytryptamine receptors, ionotropic	172
HTR3B	5-hydroxytryptamine receptors, ionotropic	172
HTR3C	5-hydroxytryptamine receptors, ionotropic	172
HTR3C2P		
HTR3D	5-hydroxytryptamine receptors, ionotropic	172
HTR3E	5-hydroxytryptamine receptors, ionotropic	172
HTR3E-AS1	Antisense RNAs	1987
HTR4	5-hydroxytryptamine receptors, G protein-coupled	170
HTR5A	5-hydroxytryptamine receptors, G protein-coupled	170
HTR5A-AS1	Antisense RNAs	1987
HTR5BP	5-hydroxytryptamine receptors, G protein-coupled|Unitary pseudogenes	170|3418
HTR6	5-hydroxytryptamine receptors, G protein-coupled	170
HTR7	5-hydroxytryptamine receptors, G protein-coupled	170
HTR7P1		
HTRA1	PDZ domain containing|HtrA serine protease family	1220|3932
HTRA1-AS1	Antisense RNAs	1987
HTRA2	PDZ domain containing|HtrA serine protease family	1220|3932
HTRA3	PDZ domain containing|HtrA serine protease family	1220|3932
HTRA3-AS1	Antisense RNAs	1987
HTRA4	PDZ domain containing|HtrA serine protease family	1220|3932
HTT	Receptor ligands|Armadillo like helical domain containing|Centriolar satellite proteins	542|1492|3838
HTT-AS	Antisense RNAs	1987
HULC	Long non-coding RNAs with non-systematic symbols	1992
HUNK	HUNK family kinases	3544
HUNK-AS1	Antisense RNAs	1987
HUPCOS	Long non-coding RNAs with non-systematic symbols	1992
HUS1	Checkpoint clamp complex	1339
HUS1B		
HUWE1	Armadillo like helical domain containing|MicroRNA protein coding host genes|HECT domain containing	1492|1691|1959
HVBS7		
HVBS8		
HVCN1	Hydrogen voltage gated channels	254
HYAL1	Hyaluronidases	1448
HYAL2	Hyaluronidases	1448
HYAL3	Hyaluronidases	1448
HYAL4	Hyaluronidases	1448
HYAL6P	Hyaluronidases|Unitary pseudogenes	1448|3418
HYCC1	PI4KA lipid kinase complex	1588
HYCC2	PI4KA lipid kinase complex	1588
HYDIN	Protein phosphatase 1 regulatory subunits	694
HYDIN-AS1	Antisense RNAs	1987
HYDIN2		
HYDINP1		
HYI		
HYI-AS1	Antisense RNAs	1987
HYKK		
HYLS1		
HYMAI	Long non-coding RNAs with non-systematic symbols	1992
HYOU1	Heat shock 70kDa proteins	583
HYOU1-AS1	Antisense RNAs	1987
HYPK		
IADEN	Long non-coding RNAs with non-systematic symbols	1992
IAH1		
IAPP	Neuropeptides	1902
IARS1	Aminoacyl tRNA synthetases, Class I|MicroRNA protein coding host genes|Small nucleolar RNA protein coding host genes	131|1691|1835
IARS2	Aminoacyl tRNA synthetases, Class I	131
IARS2P1		
IATPR	Long non-coding RNAs with non-systematic symbols	1992
IBA57	Mitochondrial iron-sulfur assembly components	1853
IBA57-DT	Divergent transcripts	1990
IBSP	SIBLING family	1279
IBTK	Ankyrin repeat domain containing|BTB domain containing	403|861
IBTKP1		
ICA1	AH domain containing	1921
ICA1-AS1	Antisense RNAs	1987
ICA1L	AH domain containing	1921
ICAM1	CD molecules|Receptor ligands|Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	471|542|594|1410
ICAM2	CD molecules|Receptor ligands|Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	471|542|594|1410
ICAM3	CD molecules|Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	471|594|1410
ICAM4	Blood group antigens|CD molecules|Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	454|471|594|1410
ICAM4-AS1	Antisense RNAs	1987
ICAM5	Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	594|1410
ICE1		
ICE1-DT	Divergent transcripts	1990
ICE2		
ICE2P1		
ICE2P2		
ICMT	Membrane-bound methyltransferase family|N- and C-terminal methyltransferases	3353|3411
ICMT-DT	Divergent transcripts	1990
ICOS	CD molecules	471
ICOSLG	CD molecules|Receptor ligands|V-set domain containing|C2-set domain containing|B7 family	471|542|590|592|1824
ID1	Basic helix-loop-helix proteins|Inhibitor of DNA binding family	420|3831
ID2	Basic helix-loop-helix proteins|Inhibitor of DNA binding family	420|3831
ID2-AS1	Antisense RNAs	1987
ID2B		
ID3	Basic helix-loop-helix proteins|Inhibitor of DNA binding family	420|3831
ID4	Basic helix-loop-helix proteins|Inhibitor of DNA binding family	420|3831
IDE	M16 metallopeptidases	1440
IDH1	Isocitrate dehydrogenases	1926
IDH1-AS1	Antisense RNAs	1987
IDH1P1		
IDH2	Isocitrate dehydrogenases	1926
IDH2-DT	Divergent transcripts	1990
IDH3A	Isocitrate dehydrogenases	1926
IDH3B	Isocitrate dehydrogenases	1926
IDH3B-DT	Divergent transcripts	1990
IDH3G	Isocitrate dehydrogenases	1926
IDI1		
IDI1P1		
IDI1P2		
IDI1P3		
IDI2		
IDI2-AS1	Antisense RNAs	1987
IDNK		
IDO1	Indoleamine 2,3-dioxygenase family	3874
IDO2	Indoleamine 2,3-dioxygenase family	3874
IDS	Sulfatases	410
IDSP1		
IDUA	Glycoside hydrolase family	1650
IER2		
IER2-AS1	Antisense RNAs	1987
IER3		
IER3-AS1	Antisense RNAs	1987
IER3IP1		
IER5		
IER5L		
IER5L-AS1	Antisense RNAs	1987
IFFO1	Intermediate filament family orphans	614
IFFO2	Intermediate filament family orphans	614
IFI6		
IFI16	Pyrin domain containing|Pyrin and HIN domain family	994|995
IFI27		
IFI27L1		
IFI27L2		
IFI30		
IFI35		
IFI44	TLDc domain containing	2055
IFI44L	TLDc domain containing	2055
IFIH1	Caspase recruitment domain containing|RIG-I RNA sensor family	959|3439
IFIT1	Tetratricopeptide repeat domain containing	769
IFIT1B	Tetratricopeptide repeat domain containing	769
IFIT1P1		
IFIT2	Tetratricopeptide repeat domain containing	769
IFIT3	Tetratricopeptide repeat domain containing	769
IFIT5	Tetratricopeptide repeat domain containing	769
IFIT6P		
IFITM1	CD molecules|Interferon induced transmembrane protein family|Dispanins	471|1598|1600
IFITM2	Interferon induced transmembrane protein family|Dispanins	1598|1600
IFITM3	Interferon induced transmembrane protein family|Dispanins	1598|1600
IFITM3-AS1	Antisense RNAs	1987
IFITM3P1		
IFITM3P2		
IFITM3P3		
IFITM3P4		
IFITM3P5		
IFITM3P6		
IFITM3P7		
IFITM3P8		
IFITM3P9		
IFITM4P		
IFITM5	Interferon induced transmembrane protein family|Dispanins	1598|1600
IFITM8P		
IFITM9P		
IFITM10	Interferon induced transmembrane protein family|Dispanins	1598|1600
IFNA1	Interferons|Proteins encoded by multiple genes	598|2293
IFNA2	Interferons	598
IFNA4	Interferons	598
IFNA5	Interferons	598
IFNA6	Interferons	598
