Target (Gene),Drug Name,maxClinicalStage
FKBP1A,TACROLIMUS ANHYDROUS,APPROVAL
FKBP1A,PIMECROLIMUS,APPROVAL
FKBP1A,EVEROLIMUS,APPROVAL
FKBP1A,ZOTAROLIMUS,APPROVAL
FKBP1A,SIROLIMUS,APPROVAL
FKBP1A,TACROLIMUS,APPROVAL
ANGPT2,FARICIMAB,APPROVAL
CHRM2,ALCURONIUM,APPROVAL
CHRM2,DARIFENACIN HYDROBROMIDE,APPROVAL
CHRM2,GLYCOPYRRONIUM TOSYLATE,APPROVAL
CHRM2,BETHANECHOL CHLORIDE,APPROVAL
CHRM2,TOLTERODINE,APPROVAL
CHRM2,TOLTERODINE TARTRATE,APPROVAL
CHRM2,FESOTERODINE FUMARATE,APPROVAL
CHRM2,TROSPIUM CHLORIDE,APPROVAL
CHRM2,SOLIFENACIN SUCCINATE,APPROVAL
CHRM2,OXYBUTYNIN,APPROVAL
CHRM2,DARIFENACIN,APPROVAL
CHRM2,FESOTERODINE,APPROVAL
CHRM2,SOLIFENACIN,APPROVAL
CHRM2,OXYBUTYNIN CHLORIDE,APPROVAL
CHRM2,GLYCOPYRRONIUM,APPROVAL
CHRM2,ATROPINE SULFATE,APPROVAL
CHRM2,PROPANTHELINE,APPROVAL
CHRM2,TROSPIUM,APPROVAL
CHRM2,TERODILINE,APPROVAL
CHRM2,SOFPIRONIUM BROMIDE,APPROVAL
CHRM2,PROPANTHELINE BROMIDE,APPROVAL
CHRM2,ATROPINE,APPROVAL
CHRM2,BETHANECHOL,APPROVAL
KCNQ3,EZOGABINE,APPROVAL
KCNQ3,TEDISAMIL,APPROVAL
KCNQ3,AMIFAMPRIDINE,APPROVAL
KCNQ3,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNQ3,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNQ3,DALFAMPRIDINE,APPROVAL
KCNG1,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNG1,AMIFAMPRIDINE,APPROVAL
KCNG1,DALFAMPRIDINE,APPROVAL
KCNG1,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNG1,TEDISAMIL,APPROVAL
KCNH8,DALFAMPRIDINE,APPROVAL
KCNH8,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNH8,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNH8,AMIFAMPRIDINE,APPROVAL
KCNH8,TEDISAMIL,APPROVAL
KCNB2,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNB2,TEDISAMIL,APPROVAL
KCNB2,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNB2,DALFAMPRIDINE,APPROVAL
KCNB2,AMIFAMPRIDINE,APPROVAL
PRIM2,GEMCITABINE HYDROCHLORIDE,APPROVAL
PRIM2,GEMCITABINE,APPROVAL
PRIM2,CLOFARABINE,APPROVAL
PRIM2,CYTARABINE,APPROVAL
PRIM2,FLUDARABINE PHOSPHATE,APPROVAL
RPS26,ATALUREN,APPROVAL
PPIA,CYCLOSPORINE,APPROVAL
EDNRB,BOSENTAN,APPROVAL
EDNRB,AMBRISENTAN,APPROVAL
EDNRB,APROCITENTAN,APPROVAL
EDNRB,SITAXENTAN,APPROVAL
EDNRB,MACITENTAN,APPROVAL
EDNRB,SITAXENTAN SODIUM,APPROVAL
CSF2RA,SARGRAMOSTIM,APPROVAL
HDAC4,PANOBINOSTAT LACTATE,APPROVAL
HDAC4,ENTINOSTAT,APPROVAL
HDAC4,ROMIDEPSIN,APPROVAL
HDAC4,GIVINOSTAT HYDROCHLORIDE,APPROVAL
HDAC4,PANOBINOSTAT,APPROVAL
HDAC4,BELINOSTAT,APPROVAL
HDAC4,GIVINOSTAT,APPROVAL
NDUFA8,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFA8,METFORMIN,APPROVAL
ACHE,GALANTAMINE,APPROVAL
ACHE,NEOSTIGMINE METHYLSULFATE,APPROVAL
ACHE,MINAPRINE,APPROVAL
ACHE,TACRINE,APPROVAL
ACHE,ITOPRIDE,APPROVAL
ACHE,DEMECARIUM BROMIDE,APPROVAL
ACHE,HUPERZINE A,APPROVAL
ACHE,ACOTIAMIDE HYDROCHLORIDE,APPROVAL
ACHE,PHYSOSTIGMINE,APPROVAL
ACHE,AMBENONIUM,APPROVAL
ACHE,DEMECARIUM,APPROVAL
ACHE,DONEPEZIL HYDROCHLORIDE,APPROVAL
ACHE,GALANTAMINE HYDROBROMIDE,APPROVAL
ACHE,ECHOTHIOPHATE,APPROVAL
ACHE,RIVASTIGMINE TARTRATE,APPROVAL
ACHE,ISOFLUROPHATE,APPROVAL
ACHE,RIVASTIGMINE,APPROVAL
ACHE,ACOTIAMIDE,APPROVAL
ACHE,PYRIDOSTIGMINE BROMIDE,APPROVAL
ACHE,HEXAFLUORENIUM BROMIDE,APPROVAL
ACHE,ECHOTHIOPHATE IODIDE,APPROVAL
ACHE,PYRIDOSTIGMINE,APPROVAL
ACHE,PRALIDOXIME CHLORIDE,APPROVAL
ACHE,NEOSTIGMINE,APPROVAL
ACHE,EDROPHONIUM,APPROVAL
ACHE,DONEPEZIL,APPROVAL
ACHE,BENZGALANTAMINE GLUCONATE,APPROVAL
IFNGR1,INTERFERON GAMMA-1B,APPROVAL
DNMT1,DECITABINE,APPROVAL
DNMT1,AZACITIDINE,APPROVAL
FAAH,ACETAMINOPHEN,APPROVAL
PSMD14,CARFILZOMIB,APPROVAL
PSMD14,BORTEZOMIB,APPROVAL
PSMD14,IXAZOMIB CITRATE,APPROVAL
PSMD14,IXAZOMIB,APPROVAL
PSMD14,BORTEZOMIB D-MANNITOL,APPROVAL
PGR,MIFEPRISTONE,APPROVAL
PGR,ULIPRISTAL ACETATE,APPROVAL
PGR,TRIMEGESTONE,APPROVAL
PGR,LEVONORGESTREL,APPROVAL
PGR,NORGESTIMATE,APPROVAL
PGR,NORGESTREL,APPROVAL
PGR,NORETHINDRONE,APPROVAL
PGR,HYDROXYPROGESTERONE CAPROATE,APPROVAL
PGR,NORELGESTROMIN,APPROVAL
PGR,DESOGESTREL,APPROVAL
PGR,ETHYNODIOL DIACETATE,APPROVAL
PGR,SEGESTERONE ACETATE,APPROVAL
PGR,PROGESTERONE,APPROVAL
PGR,DYDROGESTERONE,APPROVAL
PGR,ETONOGESTREL,APPROVAL
PGR,ULIPRISTAL,APPROVAL
PGR,MEGESTROL ACETATE,APPROVAL
PGR,DROSPIRENONE,APPROVAL
PGR,MEDROXYPROGESTERONE ACETATE,APPROVAL
PGR,NOMEGESTROL ACETATE,APPROVAL
PGR,NOMEGESTROL,APPROVAL
PGR,DANAZOL,APPROVAL
PGR,NORETHINDRONE ACETATE,APPROVAL
KCNS3,DALFAMPRIDINE,APPROVAL
KCNS3,AMIFAMPRIDINE,APPROVAL
KCNS3,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNS3,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNS3,TEDISAMIL,APPROVAL
KCNQ2,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNQ2,AMIFAMPRIDINE,APPROVAL
KCNQ2,DALFAMPRIDINE,APPROVAL
KCNQ2,TEDISAMIL,APPROVAL
KCNQ2,EZOGABINE,APPROVAL
KCNQ2,GUANIDINE HYDROCHLORIDE,APPROVAL
PSMB7,IXAZOMIB,APPROVAL
PSMB7,BORTEZOMIB D-MANNITOL,APPROVAL
PSMB7,CARFILZOMIB,APPROVAL
PSMB7,IXAZOMIB CITRATE,APPROVAL
PSMB7,BORTEZOMIB,APPROVAL
PSMD3,BORTEZOMIB,APPROVAL
PSMD3,IXAZOMIB,APPROVAL
PSMD3,BORTEZOMIB D-MANNITOL,APPROVAL
PSMD3,CARFILZOMIB,APPROVAL
PSMD3,IXAZOMIB CITRATE,APPROVAL
POLD3,CLOFARABINE,APPROVAL
POLD3,GEMCITABINE HYDROCHLORIDE,APPROVAL
POLD3,GEMCITABINE,APPROVAL
POLD3,FLUDARABINE PHOSPHATE,APPROVAL
POLD3,CYTARABINE,APPROVAL
ADRA2A,GUANFACINE,APPROVAL
ADRA2A,EPHEDRINE SULFATE,APPROVAL
ADRA2A,HYDROXYAMPHETAMINE HYDROBROMIDE,APPROVAL
ADRA2A,RAUWOLFIA SERPENTINA,APPROVAL
ADRA2A,LOFEXIDINE,APPROVAL
ADRA2A,METHYLDOPATE HYDROCHLORIDE,APPROVAL
ADRA2A,DEXMEDETOMIDINE,APPROVAL
ADRA2A,ERGOTAMINE TARTRATE,APPROVAL
ADRA2A,GUANABENZ,APPROVAL
ADRA2A,TETRAHYDROZOLINE,APPROVAL
ADRA2A,ERGOLOID MESYLATES,APPROVAL
ADRA2A,NOREPINEPHRINE,APPROVAL
ADRA2A,BRIMONIDINE,APPROVAL
ADRA2A,XYLOMETAZOLINE,APPROVAL
ADRA2A,PHENTOLAMINE MESYLATE,APPROVAL
ADRA2A,EPHEDRINE HYDROCHLORIDE,APPROVAL
ADRA2A,LABETALOL HYDROCHLORIDE,APPROVAL
ADRA2A,NAPHAZOLINE,APPROVAL
ADRA2A,DIPIVEFRIN,APPROVAL
ADRA2A,ALSEROXYLON,APPROVAL
ADRA2A,BRIMONIDINE TARTRATE,APPROVAL
ADRA2A,EPHEDRINE,APPROVAL
ADRA2A,OXYMETAZOLINE HYDROCHLORIDE,APPROVAL
ADRA2A,TIZANIDINE,APPROVAL
ADRA2A,EPINEPHRINE BITARTRATE,APPROVAL
ADRA2A,TOLAZOLINE,APPROVAL
ADRA2A,DROXIDOPA,APPROVAL
ADRA2A,MOXISYLYTE,APPROVAL
ADRA2A,CLONIDINE HYDROCHLORIDE,APPROVAL
ADRA2A,EPINEPHRINE,APPROVAL
ADRA2A,LOFEXIDINE HYDROCHLORIDE,APPROVAL
ADRA2A,CELIPROLOL,APPROVAL
ADRA2A,PHENOXYBENZAMINE HYDROCHLORIDE,APPROVAL
ADRA2A,PHENTOLAMINE,APPROVAL
ADRA2A,ERGOTAMINE,APPROVAL
ADRA2A,GUANFACINE HYDROCHLORIDE,APPROVAL
ADRA2A,NAPHAZOLINE HYDROCHLORIDE,APPROVAL
ADRA2A,MIRTAZAPINE,APPROVAL
ADRA2A,NOREPINEPHRINE BITARTRATE,APPROVAL
ADRA2A,LABETALOL,APPROVAL
ADRA2A,PHENOXYBENZAMINE,APPROVAL
ADRA2A,CLONIDINE,APPROVAL
ADRA2A,APRACLONIDINE,APPROVAL
ADRA2A,TIZANIDINE HYDROCHLORIDE,APPROVAL
ADRA2A,METHYLDOPA,APPROVAL
ADRA2A,MEPHENTERMINE,APPROVAL
ADRA2A,OXYMETAZOLINE,APPROVAL
PRKCH,MIDOSTAURIN,APPROVAL
PTGS2,MELOXICAM,APPROVAL
PTGS2,DEXKETOPROFEN,APPROVAL
PTGS2,SUPROFEN,APPROVAL
PTGS2,DICLOFENAC,APPROVAL
PTGS2,DICLOFENAC EPOLAMINE,APPROVAL
PTGS2,NABUMETONE,APPROVAL
PTGS2,PHENYLBUTAZONE,APPROVAL
PTGS2,ACETAMINOPHEN,APPROVAL
PTGS2,LORNOXICAM,APPROVAL
PTGS2,OLSALAZINE SODIUM,APPROVAL
PTGS2,BISMUTH SUBSALICYLATE,APPROVAL
PTGS2,NAPROXEN SODIUM,APPROVAL
PTGS2,MECLOFENAMATE SODIUM,APPROVAL
PTGS2,DICLOFENAC POTASSIUM,APPROVAL
PTGS2,ETORICOXIB,APPROVAL
PTGS2,FENOPROFEN,APPROVAL
PTGS2,BROMFENAC,APPROVAL
PTGS2,LOXOPROFEN,APPROVAL
PTGS2,INDOPROFEN,APPROVAL
PTGS2,KETOROLAC TROMETHAMINE,APPROVAL
PTGS2,CELECOXIB,APPROVAL
PTGS2,IBUPROFEN,APPROVAL
PTGS2,PIROXICAM,APPROVAL
PTGS2,FENOPROFEN CALCIUM,APPROVAL
PTGS2,NAPROXCINOD,APPROVAL
PTGS2,KETOPROFEN,APPROVAL
PTGS2,DIPYRONE,APPROVAL
PTGS2,ESFLURBIPROFEN,APPROVAL
PTGS2,FLURBIPROFEN,APPROVAL
PTGS2,PARECOXIB SODIUM,APPROVAL
PTGS2,APAZONE,APPROVAL
PTGS2,ROFECOXIB,APPROVAL
PTGS2,DICLOFENAC SODIUM,APPROVAL
PTGS2,ETODOLAC,APPROVAL
PTGS2,CARPROFEN,APPROVAL
PTGS2,DIFLUNISAL,APPROVAL
PTGS2,NEPAFENAC,APPROVAL
PTGS2,NAPROXEN,APPROVAL
PTGS2,OXYPHENBUTAZONE,APPROVAL
PTGS2,MEFENAMIC ACID,APPROVAL
PTGS2,ACECLOFENAC,APPROVAL
PTGS2,MESALAMINE,APPROVAL
PTGS2,PARECOXIB,APPROVAL
PTGS2,TOLMETIN SODIUM,APPROVAL
PTGS2,MECLOFENAMIC ACID,APPROVAL
PTGS2,GLAFENINE,APPROVAL
PTGS2,OXAPROZIN,APPROVAL
PTGS2,BROMFENAC SODIUM,APPROVAL
PTGS2,DICLOFENAC ETALHYALURONATE SODIUM,APPROVAL
PTGS2,PIRPROFEN,APPROVAL
PTGS2,SULFASALAZINE,APPROVAL
PTGS2,ALOXIPRIN,APPROVAL
PTGS2,BALSALAZIDE,APPROVAL
PTGS2,ACEMETACIN,APPROVAL
PTGS2,TOLMETIN,APPROVAL
PTGS2,POLMACOXIB,APPROVAL
PTGS2,DEXIBUPROFEN,APPROVAL
PTGS2,IBUPROFEN LYSINE,APPROVAL
PTGS2,LUMIRACOXIB,APPROVAL
PTGS2,BALSALAZIDE DISODIUM,APPROVAL
PTGS2,IGURATIMOD,APPROVAL
PTGS2,SULINDAC,APPROVAL
PTGS2,KETOROLAC,APPROVAL
PTGS2,VALDECOXIB,APPROVAL
PTGS2,OLSALAZINE,APPROVAL
PTGS2,BENZYDAMINE,APPROVAL
PTGS2,INDOMETHACIN,APPROVAL
PTGS2,ASPIRIN,APPROVAL
FGA,ANCROD,APPROVAL
FGA,"FIBRINOGEN, HUMAN",APPROVAL
FGA,"FIBRINOLYSIN, HUMAN",APPROVAL
YES1,DASATINIB ANHYDROUS,APPROVAL
CD2,ALEFACEPT,APPROVAL
PRKCG,MIDOSTAURIN,APPROVAL
IL17A,IXEKIZUMAB,APPROVAL
IL17A,SECUKINUMAB,APPROVAL
IL17A,BIMEKIZUMAB,APPROVAL
FGFR4,ERDAFITINIB,APPROVAL
FGFR4,NINTEDANIB ESYLATE,APPROVAL
FGFR4,INFIGRATINIB,APPROVAL
FGFR4,NINTEDANIB,APPROVAL
FGFR4,FUTIBATINIB,APPROVAL
FGFR4,INFIGRATINIB PHOSPHATE,APPROVAL
PDCD1,DOSTARLIMAB,APPROVAL
PDCD1,RETIFANLIMAB,APPROVAL
PDCD1,SINTILIMAB,APPROVAL
PDCD1,SERPLULIMAB,APPROVAL
PDCD1,TORIPALIMAB,APPROVAL
PDCD1,NIVOLUMAB,APPROVAL
PDCD1,PEMBROLIZUMAB,APPROVAL
PDCD1,TISLELIZUMAB,APPROVAL
PDCD1,CEMIPLIMAB,APPROVAL
TNFSF11,DENOSUMAB,APPROVAL
TLR9,HYDROXYCHLOROQUINE SULFATE,APPROVAL
TLR9,HYDROXYCHLOROQUINE,APPROVAL
HDAC9,PANOBINOSTAT,APPROVAL
HDAC9,PANOBINOSTAT LACTATE,APPROVAL
HDAC9,GIVINOSTAT,APPROVAL
HDAC9,ROMIDEPSIN,APPROVAL
HDAC9,ENTINOSTAT,APPROVAL
HDAC9,BELINOSTAT,APPROVAL
HDAC9,GIVINOSTAT HYDROCHLORIDE,APPROVAL
VDR,PARICALCITOL,APPROVAL
VDR,ELDECALCITOL,APPROVAL
VDR,ERGOCALCIFEROL,APPROVAL
VDR,CALCIPOTRIENE,APPROVAL
VDR,CALCITRIOL,APPROVAL
VDR,CALCIFEDIOL,APPROVAL
VDR,DIHYDROTACHYSTEROL,APPROVAL
VDR,CHOLECALCIFEROL,APPROVAL
VDR,DOXERCALCIFEROL,APPROVAL
CSF1R,PAZOPANIB HYDROCHLORIDE,APPROVAL
CSF1R,PEXIDARTINIB HYDROCHLORIDE,APPROVAL
CSF1R,QUIZARTINIB,APPROVAL
CSF1R,PEXIDARTINIB,APPROVAL
CSF1R,SUNITINIB MALATE,APPROVAL
CSF1R,SUNITINIB,APPROVAL
CSF1R,PAZOPANIB,APPROVAL
NDUFS5,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFS5,METFORMIN,APPROVAL
KCNV2,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNV2,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNV2,AMIFAMPRIDINE,APPROVAL
KCNV2,DALFAMPRIDINE,APPROVAL
KCNV2,TEDISAMIL,APPROVAL
RRM1,GALLIUM NITRATE,APPROVAL
RRM1,GEMCITABINE HYDROCHLORIDE,APPROVAL
RRM1,GEMCITABINE,APPROVAL
RRM1,CLOFARABINE,APPROVAL
RRM1,HYDROXYUREA,APPROVAL
RRM1,FLUDARABINE PHOSPHATE,APPROVAL
RRM1,MOTEXAFIN GADOLINIUM,APPROVAL
POLA1,FLUDARABINE PHOSPHATE,APPROVAL
POLA1,CLOFARABINE,APPROVAL
POLA1,GEMCITABINE,APPROVAL
POLA1,GEMCITABINE HYDROCHLORIDE,APPROVAL
POLA1,CYTARABINE,APPROVAL
ALOX5,MECLOFENAMIC ACID,APPROVAL
ALOX5,ZILEUTON,APPROVAL
ALOX5,SULFASALAZINE,APPROVAL
ALOX5,MECLOFENAMATE SODIUM,APPROVAL
ALOX5,BALSALAZIDE,APPROVAL
ALOX5,OLSALAZINE,APPROVAL
ALOX5,MESALAMINE,APPROVAL
ALOX5,BALSALAZIDE DISODIUM,APPROVAL
ALOX5,OLSALAZINE SODIUM,APPROVAL
PSMB6,IXAZOMIB,APPROVAL
PSMB6,BORTEZOMIB D-MANNITOL,APPROVAL
PSMB6,CARFILZOMIB,APPROVAL
PSMB6,IXAZOMIB CITRATE,APPROVAL
PSMB6,BORTEZOMIB,APPROVAL
S1PR1,SIPONIMOD,APPROVAL
S1PR1,ETRASIMOD,APPROVAL
S1PR1,PONESIMOD,APPROVAL
S1PR1,ETRASIMOD ARGININE,APPROVAL
S1PR1,OZANIMOD HYDROCHLORIDE,APPROVAL
S1PR1,OZANIMOD,APPROVAL
S1PR1,FINGOLIMOD,APPROVAL
S1PR1,FINGOLIMOD LAURYL SULFATE,APPROVAL
S1PR1,SIPONIMOD FUMARIC ACID,APPROVAL
S1PR1,FINGOLIMOD HYDROCHLORIDE,APPROVAL
PRKCI,MIDOSTAURIN,APPROVAL
CD38,ISATUXIMAB,APPROVAL
CD38,DARATUMUMAB,APPROVAL
NDUFV2,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFV2,METFORMIN,APPROVAL
HDAC3,ROMIDEPSIN,APPROVAL
HDAC3,GIVINOSTAT,APPROVAL
HDAC3,PANOBINOSTAT,APPROVAL
HDAC3,VORINOSTAT,APPROVAL
HDAC3,ENTINOSTAT,APPROVAL
HDAC3,BELINOSTAT,APPROVAL
HDAC3,PANOBINOSTAT LACTATE,APPROVAL
HDAC3,GIVINOSTAT HYDROCHLORIDE,APPROVAL
ITGB7,NATALIZUMAB,APPROVAL
ITGB7,VEDOLIZUMAB,APPROVAL
HDAC8,GIVINOSTAT,APPROVAL
HDAC8,PANOBINOSTAT,APPROVAL
HDAC8,GIVINOSTAT HYDROCHLORIDE,APPROVAL
HDAC8,PANOBINOSTAT LACTATE,APPROVAL
HDAC8,ROMIDEPSIN,APPROVAL
HDAC8,ENTINOSTAT,APPROVAL
HDAC8,BELINOSTAT,APPROVAL
FGB,"FIBRINOLYSIN, HUMAN",APPROVAL
FGB,"FIBRINOGEN, HUMAN",APPROVAL
FGB,ANCROD,APPROVAL
HMGCR,PRAVASTATIN,APPROVAL
HMGCR,ROSUVASTATIN CALCIUM,APPROVAL
HMGCR,LOVASTATIN,APPROVAL
HMGCR,PITAVASTATIN,APPROVAL
HMGCR,ATORVASTATIN CALCIUM,APPROVAL
HMGCR,PITAVASTATIN CALCIUM,APPROVAL
HMGCR,PITAVASTATIN SODIUM,APPROVAL
HMGCR,ATORVASTATIN,APPROVAL
HMGCR,PITAVASTATIN MAGNESIUM,APPROVAL
HMGCR,CERIVASTATIN,APPROVAL
HMGCR,SIMVASTATIN,APPROVAL
HMGCR,FLUVASTATIN SODIUM,APPROVAL
HMGCR,FLUVASTATIN,APPROVAL
HMGCR,ROSUVASTATIN,APPROVAL
HMGCR,PRAVASTATIN SODIUM,APPROVAL
RPS10,ATALUREN,APPROVAL
S1PR2,FINGOLIMOD HYDROCHLORIDE,APPROVAL
S1PR2,FINGOLIMOD LAURYL SULFATE,APPROVAL
S1PR2,FINGOLIMOD,APPROVAL
S1PR5,FINGOLIMOD HYDROCHLORIDE,APPROVAL
S1PR5,ETRASIMOD,APPROVAL
S1PR5,OZANIMOD,APPROVAL
S1PR5,ETRASIMOD ARGININE,APPROVAL
S1PR5,FINGOLIMOD LAURYL SULFATE,APPROVAL
S1PR5,FINGOLIMOD,APPROVAL
TRPV1,ZUCAPSAICIN,APPROVAL
TRPV1,ACETAMINOPHEN,APPROVAL
TRPV1,CAPSAICIN,APPROVAL
KCNG3,AMIFAMPRIDINE PHOSPHATE,APPROVAL
KCNG3,TEDISAMIL,APPROVAL
KCNG3,GUANIDINE HYDROCHLORIDE,APPROVAL
KCNG3,AMIFAMPRIDINE,APPROVAL
KCNG3,DALFAMPRIDINE,APPROVAL
TGFB2,LUSPATERCEPT,APPROVAL
PTGS1,INDOMETHACIN,APPROVAL
PTGS1,ASPIRIN,APPROVAL
PTGS1,ESFLURBIPROFEN,APPROVAL
PTGS1,DIFLUNISAL,APPROVAL
PTGS1,TOLMETIN SODIUM,APPROVAL
PTGS1,MECLOFENAMIC ACID,APPROVAL
PTGS1,GLAFENINE,APPROVAL
PTGS1,DICLOFENAC POTASSIUM,APPROVAL
PTGS1,DICLOFENAC,APPROVAL
PTGS1,ALOXIPRIN,APPROVAL
PTGS1,NEPAFENAC,APPROVAL
PTGS1,LOXOPROFEN,APPROVAL
PTGS1,ALCLOFENAC,APPROVAL
PTGS1,ANTIPYRINE,APPROVAL
PTGS1,TOLMETIN,APPROVAL
PTGS1,ACETAMINOPHEN,APPROVAL
PTGS1,NAPROXEN SODIUM,APPROVAL
PTGS1,DIPYRONE,APPROVAL
PTGS1,PHENYLBUTAZONE,APPROVAL
PTGS1,OLSALAZINE SODIUM,APPROVAL
PTGS1,BENZYDAMINE,APPROVAL
PTGS1,SULINDAC,APPROVAL
PTGS1,LORNOXICAM,APPROVAL
PTGS1,OXYPHENBUTAZONE,APPROVAL
PTGS1,BALSALAZIDE,APPROVAL
PTGS1,APAZONE,APPROVAL
PTGS1,OXAPROZIN,APPROVAL
PTGS1,NAPROXCINOD,APPROVAL
PTGS1,MECLOFENAMATE SODIUM,APPROVAL
PTGS1,DICLOFENAC EPOLAMINE,APPROVAL
PTGS1,BISMUTH SUBSALICYLATE,APPROVAL
PTGS1,FLURBIPROFEN,APPROVAL
PTGS1,BROMFENAC SODIUM,APPROVAL
PTGS1,IBUPROFEN,APPROVAL
PTGS1,BALSALAZIDE DISODIUM,APPROVAL
PTGS1,DICLOFENAC SODIUM,APPROVAL
PTGS1,SULFASALAZINE,APPROVAL
PTGS1,NAPROXEN,APPROVAL
PTGS1,PIRPROFEN,APPROVAL
PTGS1,INDOPROFEN,APPROVAL
PTGS1,FENOPROFEN,APPROVAL
PTGS1,ACEMETACIN,APPROVAL
PTGS1,DEXIBUPROFEN,APPROVAL
PTGS1,OLSALAZINE,APPROVAL
PTGS1,DEXKETOPROFEN,APPROVAL
PTGS1,DICLOFENAC ETALHYALURONATE SODIUM,APPROVAL
PTGS1,MEFENAMIC ACID,APPROVAL
PTGS1,MESALAMINE,APPROVAL
PTGS1,KETOROLAC,APPROVAL
PTGS1,SUPROFEN,APPROVAL
PTGS1,FENOPROFEN CALCIUM,APPROVAL
PTGS1,IBUPROFEN LYSINE,APPROVAL
PTGS1,BROMFENAC,APPROVAL
PTGS1,KETOPROFEN,APPROVAL
PTGS1,PIROXICAM,APPROVAL
PTGS1,KETOROLAC TROMETHAMINE,APPROVAL
DHODH,LEFLUNOMIDE,APPROVAL
DHODH,TERIFLUNOMIDE,APPROVAL
TOP2A,DEXRAZOXANE,APPROVAL
TOP2A,PAZUFLOXACIN,APPROVAL
TOP2A,DOXORUBICIN,APPROVAL
TOP2A,DOXORUBICIN HYDROCHLORIDE,APPROVAL
TOP2A,TENIPOSIDE,APPROVAL
TOP2A,MITOXANTRONE HYDROCHLORIDE,APPROVAL
TOP2A,VALRUBICIN,APPROVAL
TOP2A,VOSAROXIN,APPROVAL
TOP2A,IDARUBICIN,APPROVAL
TOP2A,DEXRAZOXANE HYDROCHLORIDE,APPROVAL
TOP2A,IDARUBICIN HYDROCHLORIDE,APPROVAL
TOP2A,ETOPOSIDE,APPROVAL
TOP2A,DAUNORUBICIN HYDROCHLORIDE,APPROVAL
TOP2A,MITOXANTRONE,APPROVAL
TOP2A,AMRUBICIN,APPROVAL
TOP2A,DAUNORUBICIN,APPROVAL
TOP2A,AMSACRINE,APPROVAL
NDUFS1,METFORMIN,APPROVAL
NDUFS1,METFORMIN HYDROCHLORIDE,APPROVAL
RRM2B,GEMCITABINE,APPROVAL
RRM2B,GEMCITABINE HYDROCHLORIDE,APPROVAL
RRM2B,CLOFARABINE,APPROVAL
RRM2B,FLUDARABINE PHOSPHATE,APPROVAL
RRM2B,MOTEXAFIN GADOLINIUM,APPROVAL
RRM2B,GALLIUM NITRATE,APPROVAL
RRM2B,HYDROXYUREA,APPROVAL
TUBB1,GLEMBATUMUMAB VEDOTIN,APPROVAL
TUBB1,VINFLUNINE,APPROVAL
TUBB1,POLATUZUMAB VEDOTIN,APPROVAL
TUBB1,VINORELBINE,APPROVAL
TUBB1,ERIBULIN,APPROVAL
TUBB1,BRENTUXIMAB VEDOTIN,APPROVAL
TUBB1,VINBLASTINE,APPROVAL
TUBB1,TISOTUMAB VEDOTIN,APPROVAL
TUBB1,ENFORTUMAB VEDOTIN,APPROVAL
TUBB1,VINCRISTINE,APPROVAL
TUBB1,CABAZITAXEL,APPROVAL
TUBB1,MIRVETUXIMAB SORAVTANSINE,APPROVAL
TUBB1,VINORELBINE TARTRATE,APPROVAL
TUBB1,VINBLASTINE SULFATE,APPROVAL
TUBB1,ERIBULIN MESYLATE,APPROVAL
TUBB1,VINFLUNINE DITARTRATE,APPROVAL
TUBB1,PACLITAXEL,APPROVAL
TUBB1,PACLITAXEL POLIGLUMEX,APPROVAL
TUBB1,COLCHICINE,APPROVAL
TUBB1,VINCRISTINE SULFATE,APPROVAL
TUBB1,BELANTAMAB MAFODOTIN,APPROVAL
TUBB1,IXABEPILONE,APPROVAL
TUBB1,TRASTUZUMAB EMTANSINE,APPROVAL
TUBB1,DOCETAXEL ANHYDROUS,APPROVAL
TUBB1,DOCETAXEL,APPROVAL
PSMD1,IXAZOMIB CITRATE,APPROVAL
PSMD1,IXAZOMIB,APPROVAL
PSMD1,BORTEZOMIB,APPROVAL
PSMD1,CARFILZOMIB,APPROVAL
PSMD1,BORTEZOMIB D-MANNITOL,APPROVAL
RARB,ISOTRETINOIN,APPROVAL
RARB,ALITRETINOIN,APPROVAL
RARB,ACITRETIN,APPROVAL
RARB,TRETINOIN,APPROVAL
RARB,ETRETINATE,APPROVAL
RARB,TAZAROTENE,APPROVAL
RARB,ADAPALENE,APPROVAL
ROCK2,BELUMOSUDIL,APPROVAL
ROCK2,FASUDIL,APPROVAL
ROCK2,RIPASUDIL HYDROCHLORIDE DIHYDRATE,APPROVAL
ROCK2,BELUMOSUDIL MESYLATE,APPROVAL
