Target (Gene),Drug Name,maxClinicalStage
FLT3,GILTERITINIB,APPROVAL
FLT3,SORAFENIB,APPROVAL
ADAMTS13,APADAMTASE ALFA,APPROVAL
CTLA4,IPILIMUMAB,APPROVAL
CTLA4,TREMELIMUMAB,APPROVAL
ITGB2,EFALIZUMAB,APPROVAL
ITGB2,LIFITEGRAST,APPROVAL
NOD2,MIFAMURTIDE,APPROVAL
MPL,ELTROMBOPAG,APPROVAL
MPL,ELTROMBOPAG CHOLINE,APPROVAL
MPL,AVATROMBOPAG,APPROVAL
MPL,AVATROMBOPAG MALEATE,APPROVAL
MPL,ROMIPLOSTIM,APPROVAL
MPL,ELTROMBOPAG OLAMINE,APPROVAL
MPL,LUSUTROMBOPAG,APPROVAL
IL2RA,DENILEUKIN DIFTITOX,APPROVAL
IL2RA,BASILIXIMAB,APPROVAL
IL2RA,ALDESLEUKIN,APPROVAL
IL2RA,DACLIZUMAB,APPROVAL
CD3D,EPCORITAMAB,APPROVAL
CD3D,MUROMONAB-CD3,APPROVAL
CD3D,CATUMAXOMAB,APPROVAL
CD3D,GLOFITAMAB,APPROVAL
CD3D,BLINATUMOMAB,APPROVAL
CD3D,ODRONEXTAMAB,APPROVAL
CD3D,MOSUNETUZUMAB,APPROVAL
CD3D,TARLATAMAB,APPROVAL
CD3D,TALQUETAMAB,APPROVAL
CD3D,ELRANATAMAB,APPROVAL
CD3D,TECLISTAMAB,APPROVAL
TLR7,HYDROXYCHLOROQUINE,APPROVAL
TLR7,HYDROXYCHLOROQUINE SULFATE,APPROVAL
TLR7,IMIQUIMOD,APPROVAL
CTSC,BRENSOCATIB,APPROVAL
CD79B,POLATUZUMAB VEDOTIN,APPROVAL
ABL1,PONATINIB,APPROVAL
ABL1,UMBRALISIB,APPROVAL
ABL1,PONATINIB HYDROCHLORIDE,APPROVAL
ABL1,NILOTINIB,APPROVAL
ABL1,ASCIMINIB,APPROVAL
ABL1,DASATINIB,APPROVAL
ABL1,ASCIMINIB HYDROCHLORIDE,APPROVAL
ABL1,IMATINIB,APPROVAL
ABL1,REGORAFENIB,APPROVAL
ABL1,UMBRALISIB TOSYLATE,APPROVAL
ABL1,BOSUTINIB MONOHYDRATE,APPROVAL
ABL1,NILOTINIB HYDROCHLORIDE MONOHYDRATE,APPROVAL
ABL1,BOSUTINIB,APPROVAL
ABL1,IMATINIB MESYLATE,APPROVAL
ABL1,DASATINIB ANHYDROUS,APPROVAL
CD3G,ELRANATAMAB,APPROVAL
CD3G,TALQUETAMAB,APPROVAL
CD3G,GLOFITAMAB,APPROVAL
CD3G,BLINATUMOMAB,APPROVAL
CD3G,TECLISTAMAB,APPROVAL
CD3G,ODRONEXTAMAB,APPROVAL
CD3G,MOSUNETUZUMAB,APPROVAL
CD3G,MUROMONAB-CD3,APPROVAL
CD3G,TARLATAMAB,APPROVAL
CD3G,EPCORITAMAB,APPROVAL
CD3G,CATUMAXOMAB,APPROVAL
IL17RA,BRODALUMAB,APPROVAL
C3,PEGCETACOPLAN,APPROVAL
CD3E,BLINATUMOMAB,APPROVAL
CD3E,TEPLIZUMAB,APPROVAL
CD3E,TARLATAMAB,APPROVAL
CD3E,TALQUETAMAB,APPROVAL
CD3E,EPCORITAMAB,APPROVAL
CD3E,ODRONEXTAMAB,APPROVAL
CD3E,CATUMAXOMAB,APPROVAL
CD3E,MOSUNETUZUMAB,APPROVAL
CD3E,GLOFITAMAB,APPROVAL
CD3E,TECLISTAMAB,APPROVAL
CD3E,MUROMONAB-CD3,APPROVAL
CD3E,ELRANATAMAB,APPROVAL
BCR,BOSUTINIB,APPROVAL
BCR,PONATINIB,APPROVAL
BCR,DASATINIB ANHYDROUS,APPROVAL
BCR,NILOTINIB HYDROCHLORIDE MONOHYDRATE,APPROVAL
BCR,IMATINIB MESYLATE,APPROVAL
BCR,PONATINIB HYDROCHLORIDE,APPROVAL
BCR,BOSUTINIB MONOHYDRATE,APPROVAL
BCR,IMATINIB,APPROVAL
BCR,ASCIMINIB,APPROVAL
BCR,DASATINIB,APPROVAL
BCR,ASCIMINIB HYDROCHLORIDE,APPROVAL
BCR,NILOTINIB,APPROVAL
CXCR4,MAVORIXAFOR,APPROVAL
CXCR4,PLERIXAFOR,APPROVAL
CXCR4,MOTIXAFORTIDE,APPROVAL
TRAF3IP2,IGURATIMOD,APPROVAL
LCK,DASATINIB ANHYDROUS,APPROVAL
LCK,PAZOPANIB,APPROVAL
LCK,PAZOPANIB HYDROCHLORIDE,APPROVAL
CD19,TISAGENLECLEUCEL,APPROVAL
CD19,INEBILIZUMAB,APPROVAL
CD19,OBECABTAGENE AUTOLEUCEL,APPROVAL
CD19,AXICABTAGENE CILOLEUCEL,APPROVAL
CD19,BLINATUMOMAB,APPROVAL
CD19,TAFASITAMAB,APPROVAL
CD19,BREXUCABTAGENE AUTOLEUCEL,APPROVAL
CD19,LONCASTUXIMAB TESIRINE,APPROVAL
CD19,LISOCABTAGENE MARALEUCEL,APPROVAL
POLE,CYTARABINE,APPROVAL
POLE,GEMCITABINE,APPROVAL
POLE,GEMCITABINE HYDROCHLORIDE,APPROVAL
POLE,CLOFARABINE,APPROVAL
POLE,FLUDARABINE PHOSPHATE,APPROVAL
JAK1,RUXOLITINIB PHOSPHATE,APPROVAL
JAK1,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,APPROVAL
JAK1,DEURUXOLITINIB PHOSPHATE,APPROVAL
JAK1,TOFACITINIB CITRATE,APPROVAL
JAK1,FILGOTINIB MALEATE,APPROVAL
JAK1,UPADACITINIB,APPROVAL
JAK1,UPADACITINIB HEMIHYDRATE,APPROVAL
JAK1,ABROCITINIB,APPROVAL
JAK1,BARICITINIB,APPROVAL
JAK1,DELGOCITINIB,APPROVAL
JAK1,MOMELOTINIB,APPROVAL
JAK1,FILGOTINIB,APPROVAL
JAK1,TOFACITINIB,APPROVAL
JAK1,RUXOLITINIB,APPROVAL
PSMB8,BORTEZOMIB D-MANNITOL,APPROVAL
PSMB8,CARFILZOMIB,APPROVAL
PSMB8,IXAZOMIB,APPROVAL
PSMB8,BORTEZOMIB,APPROVAL
PSMB8,IXAZOMIB CITRATE,APPROVAL
IL6R,SATRALIZUMAB,APPROVAL
IL6R,TOCILIZUMAB,APPROVAL
IL6R,LEVILIMAB,APPROVAL
IL6R,SARILUMAB,APPROVAL
FLT4,TIVOZANIB,APPROVAL
FLT4,SUNITINIB,APPROVAL
FLT4,SORAFENIB,APPROVAL
FLT4,LENVATINIB,APPROVAL
FLT4,SUNITINIB MALATE,APPROVAL
FLT4,FRUQUINTINIB,APPROVAL
FLT4,LENVATINIB MESYLATE,APPROVAL
FLT4,NINTEDANIB ESYLATE,APPROVAL
FLT4,VANDETANIB,APPROVAL
FLT4,TIVOZANIB HYDROCHLORIDE,APPROVAL
FLT4,SORAFENIB TOSYLATE,APPROVAL
FLT4,REGORAFENIB,APPROVAL
FLT4,NINTEDANIB,APPROVAL
FLT4,PAZOPANIB,APPROVAL
FLT4,SURUFATINIB,APPROVAL
FLT4,AXITINIB,APPROVAL
FLT4,CEDIRANIB,APPROVAL
FLT4,PAZOPANIB HYDROCHLORIDE,APPROVAL
IFNAR1,INTERFERON BETA-1B,APPROVAL
IFNAR1,INTERFERON ALFA-2B,APPROVAL
IFNAR1,INTERFERON ALFA-N3,APPROVAL
IFNAR1,INTERFERON ALFACON-1,APPROVAL
IFNAR1,PEGINTERFERON BETA-1A,APPROVAL
IFNAR1,ANIFROLUMAB,APPROVAL
IFNAR1,PEGINTERFERON ALFA-2A,APPROVAL
IFNAR1,PEGINTERFERON ALFA-2B,APPROVAL
IFNAR1,ALBINTERFERON ALFA-2B,APPROVAL
IFNAR1,ROPEGINTERFERON ALFA-2B,APPROVAL
IFNAR1,INTERFERON ALFA-2A,APPROVAL
IFNAR1,INTERFERON BETA-1A,APPROVAL
IFNAR2,PEGINTERFERON ALFA-2A,APPROVAL
IFNAR2,ALBINTERFERON ALFA-2B,APPROVAL
IFNAR2,PEGINTERFERON ALFA-2B,APPROVAL
IFNAR2,INTERFERON ALFA-N3,APPROVAL
IFNAR2,INTERFERON BETA-1B,APPROVAL
IFNAR2,INTERFERON ALFACON-1,APPROVAL
IFNAR2,INTERFERON ALFA-2A,APPROVAL
IFNAR2,ROPEGINTERFERON ALFA-2B,APPROVAL
IFNAR2,PEGINTERFERON BETA-1A,APPROVAL
IFNAR2,INTERFERON BETA-1A,APPROVAL
IFNAR2,INTERFERON ALFA-2B,APPROVAL
BCL2,NAVITOCLAX,APPROVAL
BCL2,OBLIMERSEN,APPROVAL
BCL2,VENETOCLAX,APPROVAL
CFB,IPTACOPAN,APPROVAL
CFB,IPTACOPAN HYDROCHLORIDE,APPROVAL
PSMB9,BORTEZOMIB D-MANNITOL,APPROVAL
PSMB9,IXAZOMIB,APPROVAL
PSMB9,BORTEZOMIB,APPROVAL
PSMB9,CARFILZOMIB,APPROVAL
PSMB9,IXAZOMIB CITRATE,APPROVAL
PSMB10,IXAZOMIB CITRATE,APPROVAL
PSMB10,CARFILZOMIB,APPROVAL
PSMB10,BORTEZOMIB D-MANNITOL,APPROVAL
PSMB10,BORTEZOMIB,APPROVAL
PSMB10,IXAZOMIB,APPROVAL
C5,POZELIMAB,APPROVAL
C5,VILOBELIMAB,APPROVAL
C5,ECULIZUMAB,APPROVAL
C5,ZILUCOPLAN,APPROVAL
C5,RAVULIZUMAB,APPROVAL
C5,AVACINCAPTAD PEGOL SODIUM,APPROVAL
C5,ZILUCOPLAN SODIUM,APPROVAL
C5,CROVALIMAB,APPROVAL
IFNGR2,INTERFERON GAMMA-1B,APPROVAL
PDGFRA,CEDIRANIB,APPROVAL
PDGFRA,OLARATUMAB,APPROVAL
PDGFRA,RIPRETINIB,APPROVAL
PDGFRA,PAZOPANIB,APPROVAL
PDGFRA,SUNITINIB MALATE,APPROVAL
PDGFRA,SUNITINIB,APPROVAL
PDGFRA,PAZOPANIB HYDROCHLORIDE,APPROVAL
PDGFRA,NINTEDANIB,APPROVAL
PDGFRA,REGORAFENIB,APPROVAL
PDGFRA,BECAPLERMIN,APPROVAL
PDGFRA,AVAPRITINIB,APPROVAL
PDGFRA,NINTEDANIB ESYLATE,APPROVAL
PDGFRA,QUIZARTINIB,APPROVAL
PDGFRA,MASITINIB,APPROVAL
PDGFRA,MIDOSTAURIN,APPROVAL
SYK,FOSTAMATINIB DISODIUM,APPROVAL
SYK,FOSTAMATINIB,APPROVAL
XPO1,SELINEXOR,APPROVAL
PSMB4,BORTEZOMIB D-MANNITOL,APPROVAL
PSMB4,IXAZOMIB,APPROVAL
PSMB4,IXAZOMIB CITRATE,APPROVAL
PSMB4,CARFILZOMIB,APPROVAL
